Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	22250	Villanúa	30	0	30	23	1710	2222	4	4	0	10
1989	22251	Villanueva de Sigena	116	1	115	99	16639	8048	40	39	1	105
1989	22252	Yebra de Basa	37	0	37	24	3930	1175	8	8	0	16
1989	22253	Yésero	36	0	36	18	1898	2019	4	4	0	9
1989	22254	Zaidín	632	9	623	347	101856	5407	48	48	0	424
1989	22901	Valle de Hecho	281	0	281	190	24301	9434	1	1	0	94
1989	22902	Puente la Reina de Jaca	99	0	99	68	13941	6576	10	10	0	69
1989	22903	San Miguel del Cinca	426	0	426	268	55487	25651	21	21	0	258
1989	22904	Sotonera (La)	483	0	483	400	19780	20768	47	47	0	152
1989	22905	Lupiñén-Ortilla	116	0	116	102	12035	1259	45	45	0	86
1989	22906	Santa María de Dulcis	90	0	90	80	10491	1763	2	2	0	41
1989	22907	Aínsa-Sobrarbe	191	0	191	159	21477	7538	31	31	0	99
1989	22908	Hoz y Costeán	218	0	218	166	9129	9258	2	2	0	50
1989	22909	Vencillón	128	1	127	82	18149	12998	2	2	0	84
1989	44001	Ababuj	52	0	52	29	4682	4192	3	3	0	23
1989	44002	Abejuela	25	0	25	20	2120	107	2	2	0	7
1989	44003	Aguatón	18	0	18	11	3379	181	1	1	0	10
1989	44004	Aguaviva	220	0	220	151	20972	11317	2	2	0	90
1989	44005	Aguilar del Alfambra	52	0	52	31	10370	412	3	3	0	35
1989	44006	Alacón	200	0	200	113	20387	7068	5	5	0	80
1989	44007	Alba	107	0	107	68	18756	4367	5	5	0	64
1989	44008	Albalate del Arzobispo	518	2	516	358	46918	12434	25	25	0	200
1989	44009	Albarracín	103	1	102	77	10564	2083	60	58	2	91
1989	44010	Albentosa	181	0	181	158	6525	3706	7	7	0	30
1989	44011	Alcaine	34	0	34	29	2830	826	3	3	0	9
1989	44012	Alcalá de la Selva	200	0	200	181	17488	2489	32	23	9	59
1989	44013	Alcañiz	1414	4	1410	861	130162	57688	70	66	4	610
1989	44014	Alcorisa	729	0	729	484	30729	20302	15	15	0	158
1989	44016	Alfambra	220	0	220	159	17511	8034	16	16	0	88
1989	44017	Aliaga	177	0	177	153	16495	3760	16	15	1	60
1989	44018	Almohaja	6	0	6	5	1315	20	3	3	0	5
1989	44019	Alobras	70	0	70	36	4112	4374	2	2	0	25
