Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
44008	Albalate del Arzobispo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,6755661295
44009	Albarracín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	25,2250163685
44010	Albentosa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,2652325764
44012	Alcalá de la Selva	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,4507685056
44013	Alcañiz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	412,5994046262
44014	Alcorisa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	86,6584627343
44016	Alfambra	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	34,3313052016
44017	Aliaga	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2087975348
44021	Allepuz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,09383254
44022	Alloza	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	22,2839495416
44025	Andorra	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	142,9684606489
44027	Arens de Lledó	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,5921305473
44029	Ariño	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,9136741609
44031	Azaila	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5148853376
44033	Báguena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,8098391785
44034	Bañón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	0,7205606265
44037	Beceite	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,8953839088
44038	Belmonte de San José	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2341896746
44039	Bello	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,8662976218
44040	Berge	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,8485877651
44041	Bezas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,3887333183
44042	Blancas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,769793502
44043	Blesa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,7102153265
44044	Bordón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,2384085267
44048	Cabra de Mora	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	0,7856494864
44049	Calaceite	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,261167162
44050	Calamocha	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	98,8197618235
44051	Calanda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	94,96617254
44052	Calomarde	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,4677942812
44054	Camarena de la Sierra	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	0,9584668719
44055	Camarillas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,236383614
44056	Caminreal	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	22,002674951
44059	Cantavieja	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	21,3231628141
44061	Cañada de Verich (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,1154889128
44066	Castel de Cabra	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,471521983
44067	Castelnou	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,5535564616
44068	Castelserás	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,5553291513
44071	Castellote	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,5302646423
44074	Cedrillas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,7381260417
44075	Celadas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,1104872537
44076	Cella	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	38,9614826619
44080	Codoñera (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3366842655
44086	Cretas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	15,2141169202
44087	Crivillén	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2960475118
44088	Cuba (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,0082314759
44090	Cucalón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3633037261
44092	Cuervo (El)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,2145696749
44093	Cuevas de Almudén	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,2527036056
44094	Cuevas Labradas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,0779208591
44096	Ejulve	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,9015432
44097	Escorihuela	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,1761663245
44099	Escucha	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,4440484036
44100	Estercuel	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2981319765
44101	Ferreruela de Huerva	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5828220699
44105	Fórnoles	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,0451960528
