Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos	CCAA nombre
Mayo 2020	202005	Mayo	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2219	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	454	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1755	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	438	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	12257	Aragón
Mayo 2020	202005	Mayo	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	6187	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	1	Directores y gerentes	Hombres	13	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	1	Directores y gerentes	Mujeres	7	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	454	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	482	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	261	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	179	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	290	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	610	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	603	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1619	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	190	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	44	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	1568	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	319	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1078	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	198	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	7131	Aragón
Abril 2020	202004	Abril	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	3924	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	1	Directores y gerentes	Hombres	49	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	1	Directores y gerentes	Mujeres	14	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	1126	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1073	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1032	Aragón
Marzo 2020	202003	Marzo	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	852	Aragón
