Año	Código del municipio	Nombre del municipio	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva otra máquina
1989	50030	Añón de Moncayo	30	25	1	4	0	23	22	1	4	0	69	50	1	47	1
1989	50031	Aranda de Moncayo	38	31	2	1	4	30	30	2	1	3	54	34	1	35	0
1989	50032	Arándiga	108	98	9	0	1	96	88	9	0	1	32	31	0	1	0
1989	50033	Ardisa	24	16	1	6	1	14	13	1	6	1	28	22	0	14	1
1989	50034	Ariza	115	76	3	16	20	64	63	3	15	16	153	110	1	126	5
1989	50035	Artieda	23	12	1	6	4	9	9	1	6	4	9	5	0	8	4
1989	50036	Asín	13	7	3	3	0	8	5	3	3	0	19	18	0	9	1
1989	50037	Atea	58	55	1	2	0	46	45	1	2	0	126	126	0	0	0
1989	50038	Ateca	107	87	20	0	0	95	78	20	0	0	270	252	4	16	0
1989	50039	Azuara	123	86	2	24	11	81	78	2	22	10	183	126	0	101	22
1989	50040	Badules	39	26	2	3	8	21	21	2	3	8	23	5	0	23	2
1989	50041	Bagüés	6	4	0	1	1	3	3	0	1	1	10	9	0	10	0
1989	50042	Balconchán	10	8	0	2	0	6	6	0	2	0	22	19	0	11	0
1989	50043	Bárboles	44	40	3	1	0	29	27	3	1	0	65	33	10	42	7
1989	50044	Bardallur	37	30	5	1	1	27	25	5	1	1	74	47	1	68	5
1989	50045	Belchite	356	255	58	28	15	270	226	58	26	15	423	263	2	393	10
1989	50046	Belmonte de Gracián	41	38	0	1	2	38	37	0	1	2	91	71	0	30	0
1989	50047	Berdejo	2	2	0	0	0	2	2	0	0	0	4	1	1	4	0
1989	50048	Berrueco	8	7	0	1	0	7	7	0	1	0	11	5	0	11	0
1989	50050	Bijuesca	27	19	5	3	0	21	16	5	3	0	72	62	0	43	1
1989	50051	Biota	217	170	13	28	6	144	138	13	28	5	285	179	14	278	2
1989	50052	Bisimbre	35	22	12	1	0	20	16	12	1	0	35	12	1	34	0
1989	50053	Boquiñeni	241	115	118	4	4	162	106	118	4	3	224	178	19	189	16
1989	50054	Bordalba	35	29	0	4	2	25	25	0	4	2	22	1	0	22	0
1989	50055	Borja	366	247	102	9	8	292	224	102	9	6	477	410	7	224	20
1989	50056	Botorrita	35	19	13	2	1	22	17	13	2	1	17	3	3	13	0
1989	50057	Brea de Aragón	29	28	1	0	0	26	26	1	0	0	132	132	0	0	0
1989	50058	Bubierca	15	15	0	0	0	13	13	0	0	0	26	26	0	0	0
1989	50059	Bujaraloz	157	119	0	28	10	113	112	0	28	10	167	82	0	162	29
1989	50060	Bulbuente	57	49	5	2	1	46	41	5	2	1	172	142	0	52	2
1989	50061	Bureta	59	56	3	0	0	50	47	3	0	0	67	26	0	56	1
1989	50062	Burgo de Ebro (El)	210	80	112	6	12	154	70	101	6	11	209	142	25	152	16
1989	50063	Buste (El)	22	21	0	1	0	17	17	0	1	0	20	6	3	16	6
1989	50064	Cabañas de Ebro	80	45	32	2	1	63	45	32	2	1	117	93	3	111	62
