Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Número de contratos	Grupo de tipo de jornada
Marzo 2019	201903	Marzo	2019	22	Huesca	Mujeres	83	3 - Fijos Discontinuos
Marzo 2019	201903	Marzo	2019	44	Teruel	Hombres	2055	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	44	Teruel	Mujeres	1142	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	44	Teruel	Hombres	319	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	44	Teruel	Mujeres	628	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	44	Teruel	Hombres	56	3 - Fijos Discontinuos
Marzo 2019	201903	Marzo	2019	44	Teruel	Mujeres	13	3 - Fijos Discontinuos
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Hombres	13334	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Mujeres	8329	1 - Jornada Completa
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Hombres	4110	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Mujeres	7359	2 - Jornada Parcial
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Hombres	96	3 - Fijos Discontinuos
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Mujeres	59	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	22	Huesca	Hombres	2689	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	22	Huesca	Mujeres	1538	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	22	Huesca	Hombres	776	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	22	Huesca	Mujeres	1169	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	22	Huesca	Hombres	57	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	22	Huesca	Mujeres	27	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	44	Teruel	Hombres	1808	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	44	Teruel	Mujeres	1006	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	44	Teruel	Hombres	322	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	44	Teruel	Mujeres	600	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	44	Teruel	Hombres	35	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	44	Teruel	Mujeres	3	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Hombres	12680	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Mujeres	7744	1 - Jornada Completa
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Hombres	3875	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Mujeres	7065	2 - Jornada Parcial
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Hombres	102	3 - Fijos Discontinuos
Febrero 2019	201902	Febrero	2019	50	Zaragoza	Mujeres	84	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	22	Huesca	Hombres	2925	1 - Jornada Completa
Enero 2019	201901	Enero	2019	22	Huesca	Mujeres	1567	1 - Jornada Completa
Enero 2019	201901	Enero	2019	22	Huesca	Hombres	712	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	22	Huesca	Mujeres	1358	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	22	Huesca	Hombres	97	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	22	Huesca	Mujeres	60	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	44	Teruel	Hombres	2164	1 - Jornada Completa
Enero 2019	201901	Enero	2019	44	Teruel	Mujeres	1070	1 - Jornada Completa
Enero 2019	201901	Enero	2019	44	Teruel	Hombres	276	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	44	Teruel	Mujeres	613	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	44	Teruel	Hombres	21	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	44	Teruel	Mujeres	7	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	50	Zaragoza	Hombres	14958	1 - Jornada Completa
Enero 2019	201901	Enero	2019	50	Zaragoza	Mujeres	9445	1 - Jornada Completa
Enero 2019	201901	Enero	2019	50	Zaragoza	Hombres	4599	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	50	Zaragoza	Mujeres	7863	2 - Jornada Parcial
Enero 2019	201901	Enero	2019	50	Zaragoza	Hombres	61	3 - Fijos Discontinuos
Enero 2019	201901	Enero	2019	50	Zaragoza	Mujeres	55	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Hombres	2488	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Mujeres	1675	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Hombres	786	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Mujeres	1394	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Hombres	99	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	22	Huesca	Mujeres	63	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Hombres	1526	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Mujeres	888	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Hombres	287	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Mujeres	604	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Hombres	31	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	44	Teruel	Mujeres	20	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Hombres	11472	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Mujeres	7854	1 - Jornada Completa
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Hombres	4300	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Mujeres	7867	2 - Jornada Parcial
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Hombres	96	3 - Fijos Discontinuos
Diciembre 2018	201812	Diciembre	2018	50	Zaragoza	Mujeres	74	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Hombres	2925	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Mujeres	1455	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Hombres	608	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Mujeres	1292	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Hombres	104	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	22	Huesca	Mujeres	57	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Hombres	2102	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Mujeres	1190	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Hombres	358	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Mujeres	688	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Hombres	31	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	44	Teruel	Mujeres	5	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Hombres	14396	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Mujeres	9499	1 - Jornada Completa
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Hombres	4766	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Mujeres	8444	2 - Jornada Parcial
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Hombres	115	3 - Fijos Discontinuos
Noviembre 2018	201811	Noviembre	2018	50	Zaragoza	Mujeres	164	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	22	Huesca	Hombres	3231	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	22	Huesca	Mujeres	1959	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	22	Huesca	Hombres	919	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	22	Huesca	Mujeres	1724	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	22	Huesca	Hombres	155	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	22	Huesca	Mujeres	75	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	44	Teruel	Hombres	2436	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	44	Teruel	Mujeres	1288	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	44	Teruel	Hombres	409	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	44	Teruel	Mujeres	875	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	44	Teruel	Hombres	63	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	44	Teruel	Mujeres	32	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Hombres	19039	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Mujeres	12326	1 - Jornada Completa
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Hombres	7084	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Mujeres	11344	2 - Jornada Parcial
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Hombres	185	3 - Fijos Discontinuos
Octubre 2018	201810	Octubre	2018	50	Zaragoza	Mujeres	350	3 - Fijos Discontinuos
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Hombres	3737	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Mujeres	1911	1 - Jornada Completa
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Hombres	803	2 - Jornada Parcial
Septiembre 2018	201809	Septiembre	2018	22	Huesca	Mujeres	1604	2 - Jornada Parcial
