Mes y año	Mes (código)	Mes nombre	Año	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	CNAE año	CCAA nombre
Septiembre 2016	201609	Septiembre	2016	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	655	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	U	Actividades de organizaciones y organismos extraterritoriales	Hombres	1	CNAE - 2009	Aragón
Septiembre 2016	201609	Septiembre	2016	U	Actividades de organizaciones y organismos extraterritoriales	Mujeres	2	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	A	Agricultura, ganadería, silvicultura y pesca	Hombres	6464	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	1623	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	B	Industrias extractivas	Hombres	11	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	B	Industrias extractivas	Mujeres	2	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	C	Industria manufacturera	Hombres	5208	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	C	Industria manufacturera	Mujeres	2571	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	24	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	4	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	145	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	71	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	F	Construcción	Hombres	1713	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	F	Construcción	Mujeres	79	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	1978	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	2246	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	H	Transporte y almacenamiento	Hombres	1894	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	H	Transporte y almacenamiento	Mujeres	420	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	I	Hostelería	Hombres	3356	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	I	Hostelería	Mujeres	4085	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	J	Información y comunicaciones	Hombres	369	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	J	Información y comunicaciones	Mujeres	336	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	K	Actividades financieras y de seguros	Hombres	35	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	K	Actividades financieras y de seguros	Mujeres	65	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	L	Actividades inmobiliarias	Hombres	17	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	L	Actividades inmobiliarias	Mujeres	20	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	M	Actividades profesionales, científicas y técnicas	Hombres	449	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	M	Actividades profesionales, científicas y técnicas	Mujeres	387	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	N	Actividades administrativas y servicios auxiliares	Hombres	2169	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	N	Actividades administrativas y servicios auxiliares	Mujeres	2943	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Hombres	283	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	O	Administración Pública y defensa; Seguridad Social obligatoria	Mujeres	372	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	P	Educación	Hombres	200	CNAE - 2009	Aragón
Agosto 2016	201608	Agosto	2016	P	Educación	Mujeres	348	CNAE - 2009	Aragón
