Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
04	La Ribagorza	Resto de instalaciones deportivas y recreativas	37,477242	2000
04	La Ribagorza	Rocas desnudas con fuerte pendiente (acantilados, etc.)	4878,131642	2000
04	La Ribagorza	Ríos y cauces naturales	0	2000
04	La Ribagorza	Tejido urbano continuo	334,142793	2000
04	La Ribagorza	Tierras de labor en secano	24770,961553	2000
04	La Ribagorza	Turberas y prados turbosos	36,522313	2000
04	La Ribagorza	Urbanizaciones extensas y/o ajardinadas	349,191606	2000
04	La Ribagorza	Viñedos en regadío	0	2000
04	La Ribagorza	Viñedos en secano	0	2000
04	La Ribagorza	Xeroestepa subdesértica	0	2000
04	La Ribagorza	Zonas de extracción minera	92,962165	2000
04	La Ribagorza	Zonas en construcción	43,347487	2000
04	La Ribagorza	Zonas industriales	20,217369	2000
04	La Ribagorza	Zonas quemadas	0	2000
04	La Ribagorza	Zonas verdes urbanas	0	2000
05	Cinco Villas	Aeropuertos	0	2000
05	Cinco Villas	Afloramientos rocosos y canchales	315,030594	2000
05	Cinco Villas	Arrozales	4680,077918	2000
05	Cinco Villas	Autopistas, autovías y terrenos asociados	0	2000
05	Cinco Villas	Bosque mixto	8242,999112	2000
05	Cinco Villas	Bosques de coníferas con hojas aciculares	31216,410926	2000
05	Cinco Villas	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
05	Cinco Villas	Bosques de ribera	433,536681	2000
05	Cinco Villas	Caducifolias y marcescentes	6019,084151	2000
05	Cinco Villas	Campos de golf	0	2000
05	Cinco Villas	Canales artificiales	0	2000
05	Cinco Villas	Complejos ferroviarios	0	2000
05	Cinco Villas	Cultivos herbáceos en regadío	59179,186834	2000
05	Cinco Villas	Cárcavas y/o zonas en proceso de erosión	422,043477	2000
05	Cinco Villas	Embalses	1187,98813	2000
05	Cinco Villas	Escombreras y vertederos	0	2000
05	Cinco Villas	Espacios orófilos altitudinales con vegetación escasa	0	2000
05	Cinco Villas	Estructura urbana abierta	40,218728	2000
05	Cinco Villas	Frutales en secano	145,159294	2000
05	Cinco Villas	Glaciares y nieves permanentes	0	2000
05	Cinco Villas	Grandes formaciones de matorral denso o medianamente denso	16465,673331	2000
05	Cinco Villas	Grandes superficies de equipamientos y servicios	0	2000
05	Cinco Villas	Humedales y zonas pantanosas	566,389408	2000
05	Cinco Villas	Lagos y lagunas	55,302402	2000
05	Cinco Villas	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
05	Cinco Villas	Matorral boscoso de bosque mixto	3937,36322	2000
05	Cinco Villas	Matorral boscoso de coníferas	7389,407903	2000
05	Cinco Villas	Matorral boscoso de frondosas	11481,626811	2000
