Municipio código	Municipio nombre	Estado civil	Personas residentes viviendas familiares
22223	Sopeira	Solteros/as	30
22223	Sopeira	Casados/as	38
22223	Sopeira	Viudos/as	20
22223	Sopeira	Separados/as	3
22223	Sopeira	Divorciados/as	1
22225	Tamarite de Litera	Solteros/as	894
22225	Tamarite de Litera	Casados/as	1874
22225	Tamarite de Litera	Viudos/as	344
22225	Tamarite de Litera	Separados/as	28
22225	Tamarite de Litera	Divorciados/as	21
22226	Tardienta	Solteros/as	336
22226	Tardienta	Casados/as	524
22226	Tardienta	Viudos/as	97
22226	Tardienta	Separados/as	8
22226	Tardienta	Divorciados/as	3
22227	Tella-Sin	Solteros/as	91
22227	Tella-Sin	Casados/as	128
22227	Tella-Sin	Viudos/as	34
22227	Tella-Sin	Separados/as	4
22227	Tella-Sin	Divorciados/as	1
22228	Tierz	Solteros/as	55
22228	Tierz	Casados/as	91
22228	Tierz	Viudos/as	14
22228	Tierz	Separados/as	2
22229	Tolva	Solteros/as	43
22229	Tolva	Casados/as	101
22229	Tolva	Viudos/as	22
22229	Tolva	Separados/as	2
22229	Tolva	Divorciados/as	1
22230	Torla	Solteros/as	82
22230	Torla	Casados/as	166
22230	Torla	Viudos/as	40
22230	Torla	Separados/as	1
22230	Torla	Divorciados/as	6
22232	Torralba de Aragón	Solteros/as	46
22232	Torralba de Aragón	Casados/as	53
22232	Torralba de Aragón	Viudos/as	12
22232	Torralba de Aragón	Separados/as	1
22232	Torralba de Aragón	Divorciados/as	1
22233	Torre la Ribera	Solteros/as	33
22233	Torre la Ribera	Casados/as	37
22233	Torre la Ribera	Viudos/as	13
22234	Torrente de Cinca	Solteros/as	251
22234	Torrente de Cinca	Casados/as	603
22234	Torrente de Cinca	Viudos/as	109
22234	Torrente de Cinca	Separados/as	13
22234	Torrente de Cinca	Divorciados/as	1
22235	Torres de Alcanadre	Solteros/as	41
22235	Torres de Alcanadre	Casados/as	68
22235	Torres de Alcanadre	Viudos/as	8
22235	Torres de Alcanadre	Separados/as	1
22236	Torres de Barbués	Solteros/as	94
22236	Torres de Barbués	Casados/as	191
22236	Torres de Barbués	Viudos/as	41
22236	Torres de Barbués	Separados/as	1
22236	Torres de Barbués	Divorciados/as	1
22239	Tramaced	Solteros/as	38
22239	Tramaced	Casados/as	48
22239	Tramaced	Viudos/as	8
22239	Tramaced	Divorciados/as	1
22242	Valfarta	Solteros/as	50
22242	Valfarta	Casados/as	31
22242	Valfarta	Viudos/as	4
22243	Valle de Bardají	Solteros/as	10
22243	Valle de Bardají	Casados/as	23
22243	Valle de Bardají	Viudos/as	4
22244	Valle de Lierp	Solteros/as	8
22244	Valle de Lierp	Casados/as	31
22244	Valle de Lierp	Viudos/as	7
22244	Valle de Lierp	Divorciados/as	1
22245	Velilla de Cinca	Solteros/as	118
22245	Velilla de Cinca	Casados/as	240
22245	Velilla de Cinca	Viudos/as	50
22245	Velilla de Cinca	Separados/as	2
22245	Velilla de Cinca	Divorciados/as	2
22246	Veracruz	Solteros/as	40
22246	Veracruz	Casados/as	47
22246	Veracruz	Viudos/as	17
22246	Veracruz	Separados/as	2
22247	Viacamp y Litera	Solteros/as	13
22247	Viacamp y Litera	Casados/as	18
22247	Viacamp y Litera	Viudos/as	1
22248	Vicién	Solteros/as	31
22248	Vicién	Casados/as	68
22248	Vicién	Viudos/as	8
22248	Vicién	Separados/as	1
22249	Villanova	Solteros/as	40
22249	Villanova	Casados/as	64
22249	Villanova	Viudos/as	10
22249	Villanova	Separados/as	1
22250	Villanúa	Solteros/as	106
22250	Villanúa	Casados/as	162
22250	Villanúa	Viudos/as	22
22250	Villanúa	Separados/as	6
22250	Villanúa	Divorciados/as	4
22251	Villanueva de Sigena	Solteros/as	115
22251	Villanueva de Sigena	Casados/as	252
22251	Villanueva de Sigena	Viudos/as	37
22251	Villanueva de Sigena	Separados/as	2
22251	Villanueva de Sigena	Divorciados/as	1
22252	Yebra de Basa	Solteros/as	56
22252	Yebra de Basa	Casados/as	78
22252	Yebra de Basa	Viudos/as	7
22252	Yebra de Basa	Separados/as	2
22252	Yebra de Basa	Divorciados/as	2
22253	Yésero	Solteros/as	24
22253	Yésero	Casados/as	45
22253	Yésero	Viudos/as	7
22253	Yésero	Separados/as	1
22253	Yésero	Divorciados/as	1
22254	Zaidín	Solteros/as	396
22254	Zaidín	Casados/as	890
22254	Zaidín	Viudos/as	156
22254	Zaidín	Separados/as	8
22254	Zaidín	Divorciados/as	7
22901	Valle de Hecho	Solteros/as	328
22901	Valle de Hecho	Casados/as	453
22901	Valle de Hecho	Viudos/as	82
22901	Valle de Hecho	Separados/as	5
22901	Valle de Hecho	Divorciados/as	4
22902	Puente la Reina de Jaca	Solteros/as	84
22902	Puente la Reina de Jaca	Casados/as	132
22902	Puente la Reina de Jaca	Viudos/as	24
22903	San Miguel del Cinca	Solteros/as	244
22903	San Miguel del Cinca	Casados/as	445
22903	San Miguel del Cinca	Viudos/as	74
22903	San Miguel del Cinca	Separados/as	5
22903	San Miguel del Cinca	Divorciados/as	4
22904	Sotonera (La)	Solteros/as	339
22904	Sotonera (La)	Casados/as	526
22904	Sotonera (La)	Viudos/as	114
22904	Sotonera (La)	Separados/as	10
22904	Sotonera (La)	Divorciados/as	1
22905	Lupiñén-Ortilla	Solteros/as	111
22905	Lupiñén-Ortilla	Casados/as	164
22905	Lupiñén-Ortilla	Viudos/as	35
22905	Lupiñén-Ortilla	Separados/as	2
22905	Lupiñén-Ortilla	Divorciados/as	1
22906	Santa María de Dulcis	Solteros/as	60
22906	Santa María de Dulcis	Casados/as	107
22906	Santa María de Dulcis	Viudos/as	30
22906	Santa María de Dulcis	Separados/as	2
22906	Santa María de Dulcis	Divorciados/as	1
22907	Aínsa-Sobrarbe	Solteros/as	451
22907	Aínsa-Sobrarbe	Casados/as	704
22907	Aínsa-Sobrarbe	Viudos/as	121
22907	Aínsa-Sobrarbe	Separados/as	15
22907	Aínsa-Sobrarbe	Divorciados/as	16
22908	Hoz y Costeán	Solteros/as	73
22908	Hoz y Costeán	Casados/as	117
22908	Hoz y Costeán	Viudos/as	23
22908	Hoz y Costeán	Separados/as	1
22908	Hoz y Costeán	Divorciados/as	1
22909	Vencillón	Solteros/as	113
22909	Vencillón	Casados/as	254
22909	Vencillón	Viudos/as	43
22909	Vencillón	Separados/as	5
22909	Vencillón	Divorciados/as	1
44001	Ababuj	Solteros/as	28
44001	Ababuj	Casados/as	50
44001	Ababuj	Viudos/as	5
44002	Abejuela	Solteros/as	15
44002	Abejuela	Casados/as	34
44002	Abejuela	Viudos/as	5
44002	Abejuela	Separados/as	1
44002	Abejuela	Divorciados/as	1
44003	Aguatón	Solteros/as	10
44003	Aguatón	Casados/as	13
44003	Aguatón	Viudos/as	2
44003	Aguatón	Divorciados/as	1
44004	Aguaviva	Solteros/as	131
44004	Aguaviva	Casados/as	344
44004	Aguaviva	Viudos/as	67
44004	Aguaviva	Separados/as	3
44004	Aguaviva	Divorciados/as	2
44005	Aguilar del Alfambra	Solteros/as	21
44005	Aguilar del Alfambra	Casados/as	48
44005	Aguilar del Alfambra	Viudos/as	5
44006	Alacón	Solteros/as	79
44006	Alacón	Casados/as	241
44006	Alacón	Viudos/as	51
44006	Alacón	Separados/as	1
44007	Alba	Solteros/as	70
44007	Alba	Casados/as	134
44007	Alba	Viudos/as	38
44008	Albalate del Arzobispo	Solteros/as	495
44008	Albalate del Arzobispo	Casados/as	1147
44008	Albalate del Arzobispo	Viudos/as	210
44008	Albalate del Arzobispo	Separados/as	13
44008	Albalate del Arzobispo	Divorciados/as	7
44009	Albarracín	Solteros/as	242
44009	Albarracín	Casados/as	510
44009	Albarracín	Viudos/as	67
44009	Albarracín	Separados/as	10
44009	Albarracín	Divorciados/as	8
44010	Albentosa	Solteros/as	68
44010	Albentosa	Casados/as	124
44010	Albentosa	Viudos/as	27
44010	Albentosa	Separados/as	3
44010	Albentosa	Divorciados/as	1
44011	Alcaine	Solteros/as	32
44011	Alcaine	Casados/as	39
44011	Alcaine	Viudos/as	1
44012	Alcalá de la Selva	Solteros/as	151
44012	Alcalá de la Selva	Casados/as	234
44012	Alcalá de la Selva	Viudos/as	46
44012	Alcalá de la Selva	Separados/as	2
44012	Alcalá de la Selva	Divorciados/as	2
44013	Alcañiz	Solteros/as	3148
44013	Alcañiz	Casados/as	6817
44013	Alcañiz	Viudos/as	839
44013	Alcañiz	Separados/as	144
44013	Alcañiz	Divorciados/as	67
44014	Alcorisa	Solteros/as	796
44014	Alcorisa	Casados/as	1667
44014	Alcorisa	Viudos/as	208
44014	Alcorisa	Separados/as	31
44014	Alcorisa	Divorciados/as	16
44016	Alfambra	Solteros/as	169
44016	Alfambra	Casados/as	332
44016	Alfambra	Viudos/as	62
44016	Alfambra	Separados/as	3
44016	Alfambra	Divorciados/as	4
44017	Aliaga	Solteros/as	114
44017	Aliaga	Casados/as	194
44017	Aliaga	Viudos/as	45
44017	Aliaga	Separados/as	2
44017	Aliaga	Divorciados/as	2
44018	Almohaja	Solteros/as	8
44018	Almohaja	Casados/as	14
44018	Almohaja	Viudos/as	4
44018	Almohaja	Separados/as	1
44019	Alobras	Solteros/as	24
44019	Alobras	Casados/as	43
44019	Alobras	Viudos/as	16
44020	Alpeñés	Solteros/as	8
44020	Alpeñés	Casados/as	16
44020	Alpeñés	Viudos/as	2
44021	Allepuz	Solteros/as	43
44021	Allepuz	Casados/as	63
44021	Allepuz	Viudos/as	21
44021	Allepuz	Divorciados/as	1
44022	Alloza	Solteros/as	155
44022	Alloza	Casados/as	400
44022	Alloza	Viudos/as	88
44022	Alloza	Divorciados/as	3
44023	Allueva	Solteros/as	3
44023	Allueva	Casados/as	7
44023	Allueva	Viudos/as	2
44023	Allueva	Divorciados/as	1
44024	Anadón	Solteros/as	6
44024	Anadón	Casados/as	11
44024	Anadón	Viudos/as	1
44025	Andorra	Solteros/as	1797
44025	Andorra	Casados/as	4150
44025	Andorra	Viudos/as	410
44025	Andorra	Separados/as	83
44025	Andorra	Divorciados/as	27
44026	Arcos de las Salinas	Solteros/as	33
44026	Arcos de las Salinas	Casados/as	73
44026	Arcos de las Salinas	Viudos/as	21
44026	Arcos de las Salinas	Divorciados/as	1
44027	Arens de Lledó	Solteros/as	53
44027	Arens de Lledó	Casados/as	129
44027	Arens de Lledó	Viudos/as	23
44027	Arens de Lledó	Separados/as	2
44028	Argente	Solteros/as	66
44028	Argente	Casados/as	157
44028	Argente	Viudos/as	25
44029	Ariño	Solteros/as	186
44029	Ariño	Casados/as	482
44029	Ariño	Viudos/as	64
44029	Ariño	Separados/as	2
44029	Ariño	Divorciados/as	3
44031	Azaila	Solteros/as	42
44031	Azaila	Casados/as	96
44031	Azaila	Viudos/as	21
44031	Azaila	Separados/as	1
44031	Azaila	Divorciados/as	3
44032	Bádenas	Solteros/as	10
44032	Bádenas	Casados/as	13
44032	Bádenas	Viudos/as	2
44033	Báguena	Solteros/as	105
44033	Báguena	Casados/as	249
44033	Báguena	Viudos/as	66
44033	Báguena	Separados/as	4
44034	Bañón	Solteros/as	51
44034	Bañón	Casados/as	89
44034	Bañón	Viudos/as	20
44035	Barrachina	Solteros/as	44
44035	Barrachina	Casados/as	80
44035	Barrachina	Viudos/as	14
44035	Barrachina	Divorciados/as	1
44036	Bea	Solteros/as	8
44036	Bea	Casados/as	25
44036	Bea	Viudos/as	2
44036	Bea	Divorciados/as	1
44037	Beceite	Solteros/as	156
44037	Beceite	Casados/as	306
44037	Beceite	Viudos/as	77
44037	Beceite	Separados/as	5
44037	Beceite	Divorciados/as	2
44038	Belmonte de San José	Solteros/as	26
44038	Belmonte de San José	Casados/as	78
44038	Belmonte de San José	Viudos/as	18
44038	Belmonte de San José	Separados/as	4
44038	Belmonte de San José	Divorciados/as	1
44039	Bello	Solteros/as	96
44039	Bello	Casados/as	191
44039	Bello	Viudos/as	45
44039	Bello	Separados/as	4
44040	Berge	Solteros/as	61
44040	Berge	Casados/as	121
44040	Berge	Viudos/as	28
44040	Berge	Separados/as	3
44041	Bezas	Solteros/as	16
44041	Bezas	Casados/as	34
44041	Bezas	Viudos/as	14
44042	Blancas	Solteros/as	43
44042	Blancas	Casados/as	94
44042	Blancas	Viudos/as	22
44042	Blancas	Divorciados/as	2
44043	Blesa	Solteros/as	32
44043	Blesa	Casados/as	87
44043	Blesa	Viudos/as	12
44043	Blesa	Separados/as	1
44044	Bordón	Solteros/as	38
44044	Bordón	Casados/as	61
44044	Bordón	Viudos/as	16
44044	Bordón	Separados/as	3
44045	Bronchales	Solteros/as	119
44045	Bronchales	Casados/as	240
44045	Bronchales	Viudos/as	42
44045	Bronchales	Separados/as	4
44046	Bueña	Solteros/as	23
44046	Bueña	Casados/as	56
44046	Bueña	Viudos/as	10
44046	Bueña	Separados/as	1
44047	Burbáguena	Solteros/as	63
44047	Burbáguena	Casados/as	118
44047	Burbáguena	Viudos/as	40
44047	Burbáguena	Separados/as	2
44048	Cabra de Mora	Solteros/as	24
44048	Cabra de Mora	Casados/as	58
44048	Cabra de Mora	Viudos/as	6
44048	Cabra de Mora	Separados/as	1
44048	Cabra de Mora	Divorciados/as	1
44049	Calaceite	Solteros/as	298
44049	Calaceite	Casados/as	610
44049	Calaceite	Viudos/as	107
44049	Calaceite	Separados/as	8
44049	Calaceite	Divorciados/as	5
44050	Calamocha	Solteros/as	1012
44050	Calamocha	Casados/as	2111
44050	Calamocha	Viudos/as	299
44050	Calamocha	Separados/as	32
44050	Calamocha	Divorciados/as	8
44051	Calanda	Solteros/as	750
44051	Calanda	Casados/as	1846
44051	Calanda	Viudos/as	284
44051	Calanda	Separados/as	32
44051	Calanda	Divorciados/as	7
44052	Calomarde	Solteros/as	22
44052	Calomarde	Casados/as	38
44052	Calomarde	Viudos/as	7
44053	Camañas	Solteros/as	37
44053	Camañas	Casados/as	72
44053	Camañas	Viudos/as	19
44054	Camarena de la Sierra	Solteros/as	60
44054	Camarena de la Sierra	Casados/as	67
44054	Camarena de la Sierra	Viudos/as	17
44054	Camarena de la Sierra	Separados/as	2
44054	Camarena de la Sierra	Divorciados/as	4
44055	Camarillas	Solteros/as	36
44055	Camarillas	Casados/as	50
44055	Camarillas	Viudos/as	13
44056	Caminreal	Solteros/as	190
44056	Caminreal	Casados/as	429
44056	Caminreal	Viudos/as	82
44056	Caminreal	Separados/as	3
44056	Caminreal	Divorciados/as	1
44059	Cantavieja	Solteros/as	211
44059	Cantavieja	Casados/as	367
44059	Cantavieja	Viudos/as	57
44059	Cantavieja	Separados/as	4
44059	Cantavieja	Divorciados/as	2
44060	Cañada de Benatanduz	Solteros/as	22
44060	Cañada de Benatanduz	Casados/as	24
44060	Cañada de Benatanduz	Viudos/as	6
44060	Cañada de Benatanduz	Separados/as	2
44061	Cañada de Verich (La)	Solteros/as	16
44061	Cañada de Verich (La)	Casados/as	63
44061	Cañada de Verich (La)	Viudos/as	8
44061	Cañada de Verich (La)	Separados/as	3
44062	Cañada Vellida	Solteros/as	28
44062	Cañada Vellida	Casados/as	15
44062	Cañada Vellida	Viudos/as	8
44062	Cañada Vellida	Divorciados/as	1
44063	Cañizar del Olivar	Solteros/as	30
44063	Cañizar del Olivar	Casados/as	62
44063	Cañizar del Olivar	Viudos/as	8
44063	Cañizar del Olivar	Separados/as	2
44063	Cañizar del Olivar	Divorciados/as	1
44064	Cascante del Río	Solteros/as	28
44064	Cascante del Río	Casados/as	55
44064	Cascante del Río	Viudos/as	21
44065	Castejón de Tornos	Solteros/as	20
44065	Castejón de Tornos	Casados/as	54
44065	Castejón de Tornos	Viudos/as	15
44066	Castel de Cabra	Solteros/as	32
44066	Castel de Cabra	Casados/as	98
44066	Castel de Cabra	Viudos/as	10
44067	Castelnou	Solteros/as	19
44067	Castelnou	Casados/as	72
44067	Castelnou	Viudos/as	8
44067	Castelnou	Separados/as	2
44067	Castelnou	Divorciados/as	1
44068	Castelserás	Solteros/as	223
44068	Castelserás	Casados/as	429
44068	Castelserás	Viudos/as	72
44068	Castelserás	Separados/as	3
44070	Castellar (El)	Solteros/as	25
44070	Castellar (El)	Casados/as	39
44070	Castellar (El)	Viudos/as	15
44070	Castellar (El)	Separados/as	1
44071	Castellote	Solteros/as	204
44071	Castellote	Casados/as	405
44071	Castellote	Viudos/as	83
44071	Castellote	Separados/as	12
44074	Cedrillas	Solteros/as	111
44074	Cedrillas	Casados/as	279
44074	Cedrillas	Viudos/as	42
44074	Cedrillas	Divorciados/as	2
44075	Celadas	Solteros/as	96
44075	Celadas	Casados/as	224
44075	Celadas	Viudos/as	41
44076	Cella	Solteros/as	701
44076	Cella	Casados/as	1543
44076	Cella	Viudos/as	223
44076	Cella	Separados/as	12
44076	Cella	Divorciados/as	4
44077	Cerollera (La)	Solteros/as	26
44077	Cerollera (La)	Casados/as	63
44077	Cerollera (La)	Viudos/as	12
44080	Codoñera (La)	Solteros/as	72
44080	Codoñera (La)	Casados/as	178
44080	Codoñera (La)	Viudos/as	30
44080	Codoñera (La)	Separados/as	4
44082	Corbalán	Solteros/as	12
44082	Corbalán	Casados/as	52
44082	Corbalán	Viudos/as	8
44082	Corbalán	Separados/as	1
44084	Cortes de Aragón	Solteros/as	21
44084	Cortes de Aragón	Casados/as	74
44084	Cortes de Aragón	Viudos/as	10
44084	Cortes de Aragón	Divorciados/as	1
44085	Cosa	Solteros/as	31
44085	Cosa	Casados/as	48
44085	Cosa	Viudos/as	10
44086	Cretas	Solteros/as	155
44086	Cretas	Casados/as	335
44086	Cretas	Viudos/as	77
44086	Cretas	Separados/as	1
44086	Cretas	Divorciados/as	3
44087	Crivillén	Solteros/as	32
44087	Crivillén	Casados/as	66
44087	Crivillén	Viudos/as	15
44088	Cuba (La)	Solteros/as	18
44088	Cuba (La)	Casados/as	27
44088	Cuba (La)	Viudos/as	7
44088	Cuba (La)	Divorciados/as	2
44089	Cubla	Solteros/as	10
44089	Cubla	Casados/as	26
44089	Cubla	Viudos/as	7
44089	Cubla	Separados/as	1
44090	Cucalón	Solteros/as	29
44090	Cucalón	Casados/as	37
44090	Cucalón	Viudos/as	12
44092	Cuervo (El)	Solteros/as	33
44092	Cuervo (El)	Casados/as	51
44092	Cuervo (El)	Viudos/as	22
44092	Cuervo (El)	Separados/as	1
44092	Cuervo (El)	Divorciados/as	1
44093	Cuevas de Almudén	Solteros/as	29
44093	Cuevas de Almudén	Casados/as	47
44093	Cuevas de Almudén	Viudos/as	13
44093	Cuevas de Almudén	Separados/as	1
44094	Cuevas Labradas	Solteros/as	41
44094	Cuevas Labradas	Casados/as	85
44094	Cuevas Labradas	Viudos/as	16
44094	Cuevas Labradas	Separados/as	2
44096	Ejulve	Solteros/as	43
44096	Ejulve	Casados/as	114
44096	Ejulve	Viudos/as	31
44097	Escorihuela	Solteros/as	49
44097	Escorihuela	Casados/as	125
44097	Escorihuela	Viudos/as	22
44099	Escucha	Solteros/as	266
44099	Escucha	Casados/as	549
44099	Escucha	Viudos/as	72
44099	Escucha	Separados/as	10
44099	Escucha	Divorciados/as	7
44100	Estercuel	Solteros/as	74
44100	Estercuel	Casados/as	153
44100	Estercuel	Viudos/as	36
44100	Estercuel	Separados/as	2
44101	Ferreruela de Huerva	Solteros/as	30
44101	Ferreruela de Huerva	Casados/as	36
44101	Ferreruela de Huerva	Viudos/as	10
44102	Fonfría	Solteros/as	7
44102	Fonfría	Casados/as	21
44102	Fonfría	Viudos/as	1
44103	Formiche Alto	Solteros/as	39
44103	Formiche Alto	Casados/as	113
44103	Formiche Alto	Viudos/as	18
44103	Formiche Alto	Separados/as	2
44105	Fórnoles	Solteros/as	31
44105	Fórnoles	Casados/as	37
44105	Fórnoles	Viudos/as	18
44105	Fórnoles	Separados/as	1
44105	Fórnoles	Divorciados/as	1
44106	Fortanete	Solteros/as	51
44106	Fortanete	Casados/as	93
44106	Fortanete	Viudos/as	18
44106	Fortanete	Separados/as	2
44106	Fortanete	Divorciados/as	1
44107	Foz-Calanda	Solteros/as	63
44107	Foz-Calanda	Casados/as	136
44107	Foz-Calanda	Viudos/as	25
44107	Foz-Calanda	Divorciados/as	1
44108	Fresneda (La)	Solteros/as	98
44108	Fresneda (La)	Casados/as	223
44108	Fresneda (La)	Viudos/as	45
44108	Fresneda (La)	Separados/as	6
44108	Fresneda (La)	Divorciados/as	1
44109	Frías de Albarracín	Solteros/as	51
44109	Frías de Albarracín	Casados/as	71
44109	Frías de Albarracín	Viudos/as	18
44109	Frías de Albarracín	Divorciados/as	1
44110	Fuenferrada	Solteros/as	11
44110	Fuenferrada	Casados/as	32
44110	Fuenferrada	Viudos/as	2
44111	Fuentes Calientes	Solteros/as	35
44111	Fuentes Calientes	Casados/as	63
44111	Fuentes Calientes	Viudos/as	15
44112	Fuentes Claras	Solteros/as	151
44112	Fuentes Claras	Casados/as	332
44112	Fuentes Claras	Viudos/as	87
44112	Fuentes Claras	Separados/as	2
44112	Fuentes Claras	Divorciados/as	2
44113	Fuentes de Rubielos	Solteros/as	27
44113	Fuentes de Rubielos	Casados/as	35
44113	Fuentes de Rubielos	Viudos/as	11
44113	Fuentes de Rubielos	Separados/as	5
44114	Fuentespalda	Solteros/as	86
44114	Fuentespalda	Casados/as	199
44114	Fuentespalda	Viudos/as	31
44114	Fuentespalda	Divorciados/as	1
44115	Galve	Solteros/as	43
44115	Galve	Casados/as	69
44115	Galve	Viudos/as	17
44115	Galve	Divorciados/as	1
44116	Gargallo	Solteros/as	33
44116	Gargallo	Casados/as	72
44116	Gargallo	Viudos/as	9
44117	Gea de Albarracín	Solteros/as	111
44117	Gea de Albarracín	Casados/as	222
44117	Gea de Albarracín	Viudos/as	50
44117	Gea de Albarracín	Separados/as	2
44117	Gea de Albarracín	Divorciados/as	4
44118	Ginebrosa (La)	Solteros/as	60
44118	Ginebrosa (La)	Casados/as	125
44118	Ginebrosa (La)	Viudos/as	30
44118	Ginebrosa (La)	Separados/as	3
44119	Griegos	Solteros/as	42
44119	Griegos	Casados/as	73
44119	Griegos	Viudos/as	10
44119	Griegos	Separados/as	1
44119	Griegos	Divorciados/as	1
44120	Guadalaviar	Solteros/as	71
44120	Guadalaviar	Casados/as	140
44120	Guadalaviar	Viudos/as	27
44120	Guadalaviar	Separados/as	1
44121	Gúdar	Solteros/as	21
44121	Gúdar	Casados/as	37
44121	Gúdar	Viudos/as	8
44122	Híjar	Solteros/as	393
44122	Híjar	Casados/as	1048
44122	Híjar	Viudos/as	155
44122	Híjar	Separados/as	13
44122	Híjar	Divorciados/as	6
44123	Hinojosa de Jarque	Solteros/as	54
44123	Hinojosa de Jarque	Casados/as	89
44123	Hinojosa de Jarque	Viudos/as	13
44123	Hinojosa de Jarque	Separados/as	1
44124	Hoz de la Vieja (La)	Solteros/as	29
44124	Hoz de la Vieja (La)	Casados/as	64
44124	Hoz de la Vieja (La)	Viudos/as	26
44125	Huesa del Común	Solteros/as	38
44125	Huesa del Común	Casados/as	79
44125	Huesa del Común	Viudos/as	13
44125	Huesa del Común	Separados/as	3
44126	Iglesuela del Cid (La)	Solteros/as	129
44126	Iglesuela del Cid (La)	Casados/as	262
44126	Iglesuela del Cid (La)	Viudos/as	40
44126	Iglesuela del Cid (La)	Divorciados/as	2
44127	Jabaloyas	Solteros/as	20
44127	Jabaloyas	Casados/as	54
44127	Jabaloyas	Viudos/as	6
44128	Jarque de la Val	Solteros/as	28
44128	Jarque de la Val	Casados/as	50
44128	Jarque de la Val	Viudos/as	9
44128	Jarque de la Val	Separados/as	2
44129	Jatiel	Solteros/as	7
44129	Jatiel	Casados/as	30
44129	Jatiel	Viudos/as	11
44129	Jatiel	Divorciados/as	1
44130	Jorcas	Solteros/as	20
44130	Jorcas	Casados/as	22
44130	Jorcas	Viudos/as	3
44131	Josa	Solteros/as	15
44131	Josa	Casados/as	10
44131	Josa	Viudos/as	4
44131	Josa	Divorciados/as	1
44132	Lagueruela	Solteros/as	19
44132	Lagueruela	Casados/as	39
44132	Lagueruela	Viudos/as	5
44133	Lanzuela	Solteros/as	9
44133	Lanzuela	Casados/as	13
44133	Lanzuela	Viudos/as	4
44135	Libros	Solteros/as	50
44135	Libros	Casados/as	72
44135	Libros	Viudos/as	29
44135	Libros	Separados/as	1
44136	Lidón	Solteros/as	21
44136	Lidón	Casados/as	36
44136	Lidón	Viudos/as	14
44136	Lidón	Divorciados/as	2
44137	Linares de Mora	Solteros/as	98
44137	Linares de Mora	Casados/as	145
44137	Linares de Mora	Viudos/as	25
44137	Linares de Mora	Separados/as	2
44137	Linares de Mora	Divorciados/as	1
44138	Loscos	Solteros/as	48
44138	Loscos	Casados/as	102
44138	Loscos	Viudos/as	25
44138	Loscos	Separados/as	2
44141	Lledó	Solteros/as	43
44141	Lledó	Casados/as	118
44141	Lledó	Viudos/as	18
44141	Lledó	Separados/as	2
44142	Maicas	Solteros/as	10
44142	Maicas	Casados/as	24
44142	Maicas	Viudos/as	6
44142	Maicas	Separados/as	1
44142	Maicas	Divorciados/as	1
44143	Manzanera	Solteros/as	113
44143	Manzanera	Casados/as	234
44143	Manzanera	Viudos/as	46
44143	Manzanera	Separados/as	6
44144	Martín del Río	Solteros/as	120
44144	Martín del Río	Casados/as	235
44144	Martín del Río	Viudos/as	48
44144	Martín del Río	Separados/as	4
44144	Martín del Río	Divorciados/as	1
44145	Mas de las Matas	Solteros/as	364
44145	Mas de las Matas	Casados/as	715
44145	Mas de las Matas	Viudos/as	118
44145	Mas de las Matas	Separados/as	5
44145	Mas de las Matas	Divorciados/as	4
44146	Mata de los Olmos (La)	Solteros/as	89
44146	Mata de los Olmos (La)	Casados/as	131
44146	Mata de los Olmos (La)	Viudos/as	26
44147	Mazaleón	Solteros/as	135
44147	Mazaleón	Casados/as	311
44147	Mazaleón	Viudos/as	59
44147	Mazaleón	Separados/as	2
44147	Mazaleón	Divorciados/as	3
44148	Mezquita de Jarque	Solteros/as	41
44148	Mezquita de Jarque	Casados/as	66
44148	Mezquita de Jarque	Viudos/as	16
44148	Mezquita de Jarque	Separados/as	2
44148	Mezquita de Jarque	Divorciados/as	1
44149	Mirambel	Solteros/as	42
44149	Mirambel	Casados/as	70
44149	Mirambel	Viudos/as	15
44150	Miravete de la Sierra	Solteros/as	7
44150	Miravete de la Sierra	Casados/as	28
44150	Miravete de la Sierra	Viudos/as	7
44151	Molinos	Solteros/as	78
44151	Molinos	Casados/as	164
44151	Molinos	Viudos/as	31
44151	Molinos	Separados/as	1
44151	Molinos	Divorciados/as	1
44152	Monforte de Moyuela	Solteros/as	21
44152	Monforte de Moyuela	Casados/as	42
44152	Monforte de Moyuela	Viudos/as	7
44152	Monforte de Moyuela	Separados/as	1
44152	Monforte de Moyuela	Divorciados/as	1
44153	Monreal del Campo	Solteros/as	585
44153	Monreal del Campo	Casados/as	1181
44153	Monreal del Campo	Viudos/as	184
44153	Monreal del Campo	Separados/as	9
44153	Monreal del Campo	Divorciados/as	6
44154	Monroyo	Solteros/as	80
44154	Monroyo	Casados/as	199
44154	Monroyo	Viudos/as	40
44155	Montalbán	Solteros/as	417
44155	Montalbán	Casados/as	731
44155	Montalbán	Viudos/as	138
44155	Montalbán	Separados/as	16
44155	Montalbán	Divorciados/as	2
44156	Monteagudo del Castillo	Solteros/as	20
44156	Monteagudo del Castillo	Casados/as	31
44156	Monteagudo del Castillo	Viudos/as	7
44156	Monteagudo del Castillo	Divorciados/as	1
44157	Monterde de Albarracín	Solteros/as	15
44157	Monterde de Albarracín	Casados/as	45
44157	Monterde de Albarracín	Viudos/as	9
44158	Mora de Rubielos	Solteros/as	333
44158	Mora de Rubielos	Casados/as	656
44158	Mora de Rubielos	Viudos/as	117
44158	Mora de Rubielos	Separados/as	11
44158	Mora de Rubielos	Divorciados/as	9
44159	Moscardón	Solteros/as	20
