Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22074	Campo	2017	Secano	2296	156	136	20	0	56	56	0	0	1920	1388	67	465	164	0	45	66	53
22075	Camporrells	2017	Regadío	138	138	93	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22075	Camporrells	2017	Secano	2552	557	360	166	31	186	0	10	176	1743	1013	675	55	66	0	12	41	13
22076	Canal de Berdún	2017	Regadío	163	163	146	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22076	Canal de Berdún	2017	Secano	13186	4094	3641	344	109	86	86	0	0	8081	3299	906	3876	925	0	88	257	580
22077	Candasnos	2017	Regadío	5836	5836	4761	738	337	0	0	0	0	0	0	0	0	0	0	0	0	0
22077	Candasnos	2017	Secano	6387	1707	869	824	14	3812	0	2237	1575	29	29	0	0	839	0	69	644	126
22078	Canfranc	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22078	Canfranc	2017	Secano	7073	11	11	0	0	45	45	0	0	5603	1651	330	3622	1414	0	1259	86	69
22079	Capdesaso	2017	Regadío	1385	1385	1187	196	2	0	0	0	0	0	0	0	0	0	0	0	0	0
22079	Capdesaso	2017	Secano	364	27	24	0	3	206	0	116	90	2	1	1	0	129	0	28	65	36
22080	Capella	2017	Regadío	45	45	28	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22080	Capella	2017	Secano	5995	1655	1440	93	122	9	9	0	0	4029	2894	700	435	302	0	79	97	126
22081	Casbas de Huesca	2017	Regadío	20	20	4	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0
22081	Casbas de Huesca	2017	Secano	13192	3673	2840	578	255	5455	0	7	5448	3761	2815	581	365	303	0	40	160	103
22082	Castejón del Puente	2017	Regadío	1324	1324	1233	86	5	0	0	0	0	0	0	0	0	0	0	0	0	0
22082	Castejón del Puente	2017	Secano	1197	244	117	96	31	144	0	13	131	398	15	52	331	411	0	97	150	164
22083	Castejón de Monegros	2017	Regadío	846	672	658	14	0	0	0	0	0	174	174	0	0	0	0	0	0	0
22083	Castejón de Monegros	2017	Secano	15720	8324	4263	3972	89	5530	0	1676	3854	1314	1306	8	0	552	0	106	340	106
22084	Castejón de Sos	2017	Regadío	76	76	67	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22084	Castejón de Sos	2017	Secano	3043	205	158	47	0	195	195	0	0	2459	523	82	1854	184	0	52	76	56
22085	Castelflorite	2017	Regadío	2198	2198	1933	181	84	0	0	0	0	0	0	0	0	0	0	0	0	0
22085	Castelflorite	2017	Secano	1301	314	130	156	28	704	0	253	451	1	0	1	0	282	0	30	90	162
22086	Castiello de Jaca	2017	Regadío	28	28	12	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22086	Castiello de Jaca	2017	Secano	1695	151	101	49	1	61	61	0	0	1338	1055	98	185	145	0	13	77	55
22087	Castigaleu	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22087	Castigaleu	2017	Secano	2697	923	827	96	0	4	4	0	0	1680	539	671	470	90	0	16	49	25
22088	Castillazuelo	2017	Regadío	63	63	21	27	15	0	0	0	0	0	0	0	0	0	0	0	0	0
22088	Castillazuelo	2017	Secano	1452	690	488	84	118	131	0	4	127	530	85	250	195	101	0	11	62	28
22089	Castillonroy	2017	Regadío	138	138	42	44	52	0	0	0	0	0	0	0	0	0	0	0	0	0
22089	Castillonroy	2017	Secano	3573	1327	922	215	190	1105	0	8	1097	851	422	269	160	290	0	36	102	152
22090	Colungo	2017	Regadío	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22090	Colungo	2017	Secano	4049	474	165	147	162	1170	0	4	1166	2245	1359	809	77	160	0	70	65	25
22094	Chalamera	2017	Regadío	428	428	308	50	70	0	0	0	0	0	0	0	0	0	0	0	0	0
22094	Chalamera	2017	Secano	717	119	54	63	2	413	0	51	362	35	21	14	0	150	0	19	37	94
22095	Chía	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22095	Chía	2017	Secano	2767	160	135	24	1	52	52	0	0	2525	651	257	1617	30	0	6	21	3
22096	Chimillas	2017	Regadío	29	29	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
