Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	19
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Sust. Jubilación	1
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	7
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	10
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Formación	21
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	66
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Formación	12
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	49
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Otros	Otros	46
Enero 2020	202001	Enero	2020	Hombres	50	Zaragoza	Temporal	Otros	Temp. Inserción	4
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Otros	Otros	28
Enero 2020	202001	Enero	2020	Mujeres	50	Zaragoza	Temporal	Otros	Temp. Inserción	3
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	175
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	209
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	149
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	132
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Indefinido	Discapacitados	Minusválidos	5
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Indefinido	Discapacitados	Minusválidos	2
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	1376
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	904
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	2057
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	2151
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Interinidad	Interinidad	74
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Interinidad	Interinidad	325
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	9
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	1
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	8
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	3
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	3
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	4
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Ligados a la formación	Formación	6
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Ligados a la formación	Prácticas	5
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la formación	Formación	5
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la formación	Prácticas	2
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Otros	Otros	1
Diciembre 2019	201912	Diciembre	2019	Hombres	22	Huesca	Temporal	Otros	Temp. Inserción	1
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	110
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	86
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	48
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	89
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Indefinido	Discapacitados	Minusválidos	1
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Indefinido	Discapacitados	Minusválidos	1
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	354
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	227
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1264
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1006
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Interinidad	Interinidad	72
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Temporal	Interinidad	Interinidad	161
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Discapacitados	Temp. Minusv	4
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Temporal	Ligados a la jubilación	Relevo	1
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Ligados a la formación	Formación	5
Diciembre 2019	201912	Diciembre	2019	Hombres	44	Teruel	Temporal	Ligados a la formación	Prácticas	3
Diciembre 2019	201912	Diciembre	2019	Mujeres	44	Teruel	Temporal	Ligados a la formación	Prácticas	1
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	647
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	590
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	556
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	599
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	4
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	10
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	4789
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	3519
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	9141
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	8903
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Interinidad	Interinidad	581
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Interinidad	Interinidad	2198
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	27
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	21
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	51
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	23
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	19
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	20
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Sust. Jubilación	1
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Formación	4
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	48
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Formación	8
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	35
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Otros	Otros	25
Diciembre 2019	201912	Diciembre	2019	Hombres	50	Zaragoza	Temporal	Otros	Temp. Inserción	1
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Otros	Otros	20
Diciembre 2019	201912	Diciembre	2019	Mujeres	50	Zaragoza	Temporal	Otros	Temp. Inserción	3
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	235
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	290
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	143
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	231
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Indefinido	Discapacitados	Minusválidos	2
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Indefinido	Discapacitados	Minusválidos	1
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	1559
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	775
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	1649
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	1505
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Interinidad	Interinidad	106
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Interinidad	Interinidad	399
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	7
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	2
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	7
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	1
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	1
Noviembre 2019	201911	Noviembre	2019	Hombres	22	Huesca	Temporal	Ligados a la formación	Prácticas	3
Noviembre 2019	201911	Noviembre	2019	Mujeres	22	Huesca	Temporal	Ligados a la formación	Prácticas	5
