Año	Población	Comarca código	Comarca nombre
2014	3402	30	Maestrazgo
2014	4690	31	Sierra de Albarracín
2014	7917	32	Gúdar-Javalambre
2014	8491	33	Matarraña / Matarranya
2015	18080	01	La Jacetania
2015	13766	02	Alto Gállego
2015	7556	03	Sobrarbe
2015	12376	04	La Ribagorza
2015	31108	05	Cinco Villas
2015	67806	06	Hoya de Huesca / Plana de Uesca
2015	23925	07	Somontano de Barbastro
2015	23979	08	Cinca Medio
2015	18516	09	La Litera / La Llitera
2015	19566	10	Los Monegros
2015	24619	11	Bajo Cinca / Baix Cinca
2015	14258	12	Tarazona y el Moncayo
2015	14346	13	Campo de Borja
2015	7082	14	Aranda
2015	27141	15	Ribera Alta del Ebro
2015	28763	16	Valdejalón
2015	742656	17	D.C. Zaragoza
2015	8964	18	Ribera Baja del Ebro
2015	14908	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	38362	20	Comunidad de Calatayud
2015	10352	21	Campo de Cariñena
2015	4885	22	Campo de Belchite
2015	6619	23	Bajo Martín
2015	5901	24	Campo de Daroca
2015	12980	25	Jiloca
2015	8591	26	Cuencas Mineras
2015	10743	27	Andorra-Sierra de Arcos
2015	29410	28	Bajo Aragón
2015	46426	29	Comunidad de Teruel
2015	3333	30	Maestrazgo
2015	4652	31	Sierra de Albarracín
2015	7793	32	Gúdar-Javalambre
2015	8385	33	Matarraña / Matarranya
2016	17863	01	La Jacetania
2016	13539	02	Alto Gállego
2016	7411	03	Sobrarbe
2016	12115	04	La Ribagorza
2016	30681	05	Cinco Villas
2016	67697	06	Hoya de Huesca / Plana de Uesca
2016	23735	07	Somontano de Barbastro
2016	23934	08	Cinca Medio
2016	18368	09	La Litera / La Llitera
2016	19171	10	Los Monegros
2016	24457	11	Bajo Cinca / Baix Cinca
2016	14106	12	Tarazona y el Moncayo
2016	14112	13	Campo de Borja
2016	6975	14	Aranda
2016	26922	15	Ribera Alta del Ebro
2016	28489	16	Valdejalón
2016	739788	17	D.C. Zaragoza
2016	8760	18	Ribera Baja del Ebro
2016	14521	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	38228	20	Comunidad de Calatayud
2016	10164	21	Campo de Cariñena
2016	4775	22	Campo de Belchite
2016	6524	23	Bajo Martín
2016	5775	24	Campo de Daroca
2016	12705	25	Jiloca
2016	8400	26	Cuencas Mineras
2016	10458	27	Andorra-Sierra de Arcos
2016	29042	28	Bajo Aragón
2016	46144	29	Comunidad de Teruel
2016	3262	30	Maestrazgo
2016	4560	31	Sierra de Albarracín
2016	7605	32	Gúdar-Javalambre
2016	8277	33	Matarraña / Matarranya
2017	17744	01	La Jacetania
2017	13480	02	Alto Gállego
2017	7317	03	Sobrarbe
2017	12067	04	La Ribagorza
2017	30557	05	Cinco Villas
2017	67393	06	Hoya de Huesca / Plana de Uesca
