Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Año
2009	44	Teruel	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	26
2009	44	Teruel	60	Actividades de programación y emisión de radio y televisión	14
2009	44	Teruel	61	Telecomunicaciones	11
2009	44	Teruel	62	Programación, consultoría y otras actividades relacionadas con la informática	66
2009	44	Teruel	63	Servicios de información	9
2009	44	Teruel	64	Servicios financieros, excepto seguros y fondos de pensiones	239
2009	44	Teruel	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	26
2009	44	Teruel	66	Actividades auxiliares a los servicios financieros y a los seguros	280
2009	44	Teruel	68	Actividades inmobiliarias	1052
2009	44	Teruel	69	Actividades jurídicas y de contabilidad	314
2009	44	Teruel	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	471
2009	44	Teruel	72	Investigación y desarrollo	44
2009	44	Teruel	73	Publicidad y estudios de mercado	64
2009	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	143
2009	44	Teruel	75	Actividades veterinarias	60
2009	44	Teruel	77	Actividades de alquiler	231
2009	44	Teruel	78	Actividades relacionadas con el empleo	16
2009	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	25
2009	44	Teruel	80	Actividades de seguridad e investigación	13
2009	44	Teruel	81	Servicios a edificios y actividades de jardinería	129
2009	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	237
2009	44	Teruel	85	Educación	307
2009	44	Teruel	86	Actividades sanitarias	226
2009	44	Teruel	87	Asistencia en establecimientos residenciales	15
2009	44	Teruel	88	Actividades de servicios sociales sin alojamiento	23
2009	44	Teruel	90	Actividades de creación, artísticas y espectáculos	118
2009	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	39
2009	44	Teruel	92	Actividades de juegos de azar y apuestas	58
2009	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	130
2009	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	110
2009	44	Teruel	96	Otros servicios personales	587
2009	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	2659
2009	50	Zaragoza	02	Silvicultura y explotación forestal	44
2009	50	Zaragoza	05	Extracción de antracita, hulla y lignito	42
2009	50	Zaragoza	07	Extracción de minerales metálicos	2
2009	50	Zaragoza	08	Otras industrias extractivas	140
2009	50	Zaragoza	10	Industria de la alimentación	733
2009	50	Zaragoza	11	Fabricación de bebidas	148
2009	50	Zaragoza	13	Industria textil	183
2009	50	Zaragoza	14	Confección de prendas de vestir	412
2009	50	Zaragoza	15	Industria del cuero y del calzado	183
2009	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	339
2009	50	Zaragoza	17	Industria del papel	63
2009	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	413
2009	50	Zaragoza	20	Industria química	130
2009	50	Zaragoza	21	Fabricación de productos farmacéuticos	19
2009	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	222
2009	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	307
2009	50	Zaragoza	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	59
2009	50	Zaragoza	25	Fabricación de productos metálicos, excepto maquinaria y equipo	1754
2009	50	Zaragoza	26	Fabricación de productos informáticos, electrónicos y ópticos	132
2009	50	Zaragoza	27	Fabricación de material y equipo eléctrico	206
2009	50	Zaragoza	28	Fabricación de maquinaria y equipo n.c.o.p.	490
2009	50	Zaragoza	29	Fabricación de vehículos de motor, remolques y semirremolques	193
2009	50	Zaragoza	30	Fabricación de otro material de transporte	29
2009	50	Zaragoza	31	Fabricación de muebles	550
2009	50	Zaragoza	32	Otras industrias manufactureras	290
2009	50	Zaragoza	33	Reparación e instalación de maquinaria y equipo	431
2009	50	Zaragoza	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	882
2009	50	Zaragoza	36	Captación, depuración y distribución de agua	25
2009	50	Zaragoza	37	Recogida y tratamiento de aguas residuales	93
2009	50	Zaragoza	38	Recogida, tratamiento y eliminación de residuos; valorización	81
