Municipio código	Municipio nombre	Refrigeración	Número hogares
44250	Veguillas de la Sierra	Sin refrigeración	14
44251	Villafranca del Campo	Con refrigeración	1
44251	Villafranca del Campo	Sin refrigeración	154
44252	Villahermosa del Campo	Con refrigeración	1
44252	Villahermosa del Campo	Sin refrigeración	30
44256	Villanueva del Rebollar de la Sierra	Sin refrigeración	19
44257	Villar del Cobo	Sin refrigeración	89
44258	Villar del Salz	Sin refrigeración	41
44260	Villarluengo	Con refrigeración	1
44260	Villarluengo	Sin refrigeración	89
44261	Villarquemado	Con refrigeración	3
44261	Villarquemado	Sin refrigeración	358
44262	Villarroya de los Pinares	Con refrigeración	1
44262	Villarroya de los Pinares	Sin refrigeración	80
44263	Villastar	Sin refrigeración	141
44264	Villel	Sin refrigeración	151
44265	Vinaceite	Con refrigeración	1
44265	Vinaceite	Sin refrigeración	119
44266	Visiedo	Sin refrigeración	83
44267	Vivel del Río Martín	Sin refrigeración	40
44268	Zoma (La)	Sin refrigeración	8
50001	Abanto	Con refrigeración	1
50001	Abanto	Sin refrigeración	79
50002	Acered	Con refrigeración	2
50002	Acered	Sin refrigeración	107
50003	Agón	Con refrigeración	1
50003	Agón	Sin refrigeración	59
50004	Aguarón	Con refrigeración	18
50004	Aguarón	Sin refrigeración	277
50005	Aguilón	Con refrigeración	2
50005	Aguilón	Sin refrigeración	132
50006	Ainzón	Con refrigeración	14
50006	Ainzón	Sin refrigeración	496
50007	Aladrén	Sin refrigeración	38
50008	Alagón	Con refrigeración	371
50008	Alagón	Sin refrigeración	1594
50009	Alarba	Sin refrigeración	59
50010	Alberite de San Juan	Con refrigeración	1
50010	Alberite de San Juan	Sin refrigeración	36
50011	Albeta	Con refrigeración	1
50011	Albeta	Sin refrigeración	51
50012	Alborge	Con refrigeración	5
50012	Alborge	Sin refrigeración	44
50013	Alcalá de Ebro	Con refrigeración	9
50013	Alcalá de Ebro	Sin refrigeración	100
50014	Alcalá de Moncayo	Sin refrigeración	50
50015	Alconchel de Ariza	Sin refrigeración	53
50016	Aldehuela de Liestos	Sin refrigeración	18
50017	Alfajarín	Con refrigeración	129
50017	Alfajarín	Sin refrigeración	430
50018	Alfamén	Con refrigeración	23
50018	Alfamén	Sin refrigeración	414
50019	Alforque	Con refrigeración	5
50019	Alforque	Sin refrigeración	30
50020	Alhama de Aragón	Con refrigeración	30
50020	Alhama de Aragón	Sin refrigeración	429
50021	Almochuel	Sin refrigeración	25
50022	Almolda (La)	Con refrigeración	8
50022	Almolda (La)	Sin refrigeración	223
50023	Almonacid de la Cuba	Con refrigeración	5
50023	Almonacid de la Cuba	Sin refrigeración	119
50024	Almonacid de la Sierra	Con refrigeración	11
50024	Almonacid de la Sierra	Sin refrigeración	306
50025	Almunia de Doña Godina (La)	Con refrigeración	206
50025	Almunia de Doña Godina (La)	Sin refrigeración	1791
50026	Alpartir	Con refrigeración	10
50026	Alpartir	Sin refrigeración	215
50027	Ambel	Con refrigeración	3
50027	Ambel	Sin refrigeración	144
50028	Anento	Sin refrigeración	41
50029	Aniñón	Con refrigeración	5
50029	Aniñón	Sin refrigeración	316
50030	Añón de Moncayo	Sin refrigeración	115
50031	Aranda de Moncayo	Con refrigeración	2
50031	Aranda de Moncayo	Sin refrigeración	97
50032	Arándiga	Con refrigeración	3
50032	Arándiga	Sin refrigeración	199
50033	Ardisa	Con refrigeración	1
50033	Ardisa	Sin refrigeración	32
50034	Ariza	Con refrigeración	2
50034	Ariza	Sin refrigeración	489
50035	Artieda	Sin refrigeración	39
50036	Asín	Sin refrigeración	40
50037	Atea	Con refrigeración	1
50037	Atea	Sin refrigeración	106
50038	Ateca	Con refrigeración	33
50038	Ateca	Sin refrigeración	720
50039	Azuara	Con refrigeración	2
50039	Azuara	Sin refrigeración	281
50040	Badules	Sin refrigeración	48
50041	Bagüés	Sin refrigeración	17
50042	Balconchán	Sin refrigeración	12
50043	Bárboles	Con refrigeración	5
50043	Bárboles	Sin refrigeración	127
50044	Bardallur	Con refrigeración	4
50044	Bardallur	Sin refrigeración	113
50045	Belchite	Con refrigeración	44
50045	Belchite	Sin refrigeración	608
50046	Belmonte de Gracián	Con refrigeración	3
50046	Belmonte de Gracián	Sin refrigeración	108
50047	Berdejo	Sin refrigeración	26
50048	Berrueco	Sin refrigeración	16
50050	Bijuesca	Sin refrigeración	54
50051	Biota	Con refrigeración	18
50051	Biota	Sin refrigeración	438
50052	Bisimbre	Sin refrigeración	51
50053	Boquiñeni	Con refrigeración	20
50053	Boquiñeni	Sin refrigeración	344
50054	Bordalba	Con refrigeración	1
50054	Bordalba	Sin refrigeración	31
50055	Borja	Con refrigeración	58
50055	Borja	Sin refrigeración	1499
50056	Botorrita	Con refrigeración	19
50056	Botorrita	Sin refrigeración	172
50057	Brea de Aragón	Con refrigeración	61
50057	Brea de Aragón	Sin refrigeración	626
50058	Bubierca	Sin refrigeración	44
50059	Bujaraloz	Con refrigeración	33
50059	Bujaraloz	Sin refrigeración	317
50060	Bulbuente	Con refrigeración	3
50060	Bulbuente	Sin refrigeración	116
50061	Bureta	Con refrigeración	4
50061	Bureta	Sin refrigeración	116
50062	Burgo de Ebro (El)	Con refrigeración	75
50062	Burgo de Ebro (El)	Sin refrigeración	532
50063	Buste (El)	Sin refrigeración	39
50064	Cabañas de Ebro	Con refrigeración	14
50064	Cabañas de Ebro	Sin refrigeración	182
50065	Cabolafuente	Con refrigeración	2
50065	Cabolafuente	Sin refrigeración	17
50066	Cadrete	Con refrigeración	157
50066	Cadrete	Sin refrigeración	527
50067	Calatayud	Con refrigeración	564
50067	Calatayud	Sin refrigeración	5907
50068	Calatorao	Con refrigeración	93
50068	Calatorao	Sin refrigeración	945
50069	Calcena	Sin refrigeración	54
50070	Calmarza	Sin refrigeración	40
50071	Campillo de Aragón	Sin refrigeración	76
50072	Carenas	Sin refrigeración	97
50073	Cariñena	Con refrigeración	52
50073	Cariñena	Sin refrigeración	1043
50074	Caspe	Con refrigeración	832
50074	Caspe	Sin refrigeración	2046
50075	Castejón de Alarba	Con refrigeración	1
50075	Castejón de Alarba	Sin refrigeración	43
50076	Castejón de las Armas	Con refrigeración	1
50076	Castejón de las Armas	Sin refrigeración	56
50077	Castejón de Valdejasa	Con refrigeración	1
50077	Castejón de Valdejasa	Sin refrigeración	131
50078	Castiliscar	Con refrigeración	3
50078	Castiliscar	Sin refrigeración	146
50079	Cervera de la Cañada	Con refrigeración	4
50079	Cervera de la Cañada	Sin refrigeración	130
50080	Cerveruela	Sin refrigeración	21
50081	Cetina	Con refrigeración	3
50081	Cetina	Sin refrigeración	309
50082	Cimballa	Sin refrigeración	62
50083	Cinco Olivas	Con refrigeración	8
50083	Cinco Olivas	Sin refrigeración	47
50084	Clarés de Ribota	Sin refrigeración	53
50085	Codo	Sin refrigeración	114
50086	Codos	Con refrigeración	1
50086	Codos	Sin refrigeración	132
50087	Contamina	Sin refrigeración	26
50088	Cosuenda	Con refrigeración	4
50088	Cosuenda	Sin refrigeración	164
50089	Cuarte de Huerva	Con refrigeración	190
50089	Cuarte de Huerva	Sin refrigeración	430
50090	Cubel	Sin refrigeración	79
50091	Cuerlas (Las)	Con refrigeración	1
50091	Cuerlas (Las)	Sin refrigeración	40
50092	Chiprana	Con refrigeración	31
50092	Chiprana	Sin refrigeración	128
50093	Chodes	Con refrigeración	3
50093	Chodes	Sin refrigeración	48
50094	Daroca	Con refrigeración	12
50094	Daroca	Sin refrigeración	838
50095	Ejea de los Caballeros	Con refrigeración	436
50095	Ejea de los Caballeros	Sin refrigeración	5043
50096	Embid de Ariza	Sin refrigeración	30
50098	Encinacorba	Sin refrigeración	136
50099	Épila	Con refrigeración	175
50099	Épila	Sin refrigeración	1250
50100	Erla	Con refrigeración	6
50100	Erla	Sin refrigeración	159
50101	Escatrón	Con refrigeración	182
50101	Escatrón	Sin refrigeración	433
50102	Fabara	Con refrigeración	34
50102	Fabara	Sin refrigeración	403
50104	Farlete	Con refrigeración	15
50104	Farlete	Sin refrigeración	130
50105	Fayón	Con refrigeración	27
50105	Fayón	Sin refrigeración	148
50106	Fayos (Los)	Sin refrigeración	78
50107	Figueruelas	Con refrigeración	48
50107	Figueruelas	Sin refrigeración	323
50108	Fombuena	Sin refrigeración	9
50109	Frago (El)	Con refrigeración	1
50109	Frago (El)	Sin refrigeración	58
50110	Frasno (El)	Con refrigeración	7
50110	Frasno (El)	Sin refrigeración	235
50111	Fréscano	Con refrigeración	6
50111	Fréscano	Sin refrigeración	91
50113	Fuendejalón	Con refrigeración	1
50113	Fuendejalón	Sin refrigeración	317
50114	Fuendetodos	Con refrigeración	2
50114	Fuendetodos	Sin refrigeración	62
50115	Fuentes de Ebro	Con refrigeración	167
50115	Fuentes de Ebro	Sin refrigeración	1238
50116	Fuentes de Jiloca	Con refrigeración	1
50116	Fuentes de Jiloca	Sin refrigeración	143
50117	Gallocanta	Sin refrigeración	64
50118	Gallur	Con refrigeración	78
50118	Gallur	Sin refrigeración	974
50119	Gelsa	Con refrigeración	92
50119	Gelsa	Sin refrigeración	373
50120	Godojos	Sin refrigeración	35
50121	Gotor	Con refrigeración	5
50121	Gotor	Sin refrigeración	144
50122	Grisel	Sin refrigeración	37
50123	Grisén	Con refrigeración	8
50123	Grisén	Sin refrigeración	179
50124	Herrera de los Navarros	Con refrigeración	1
50124	Herrera de los Navarros	Sin refrigeración	252
50125	Ibdes	Con refrigeración	7
50125	Ibdes	Sin refrigeración	206
50126	Illueca	Con refrigeración	186
50126	Illueca	Sin refrigeración	902
50128	Isuerre	Sin refrigeración	24
50129	Jaraba	Con refrigeración	9
50129	Jaraba	Sin refrigeración	118
50130	Jarque	Con refrigeración	6
50130	Jarque	Sin refrigeración	206
50131	Jaulín	Con refrigeración	4
50131	Jaulín	Sin refrigeración	108
50132	Joyosa (La)	Con refrigeración	16
50132	Joyosa (La)	Sin refrigeración	123
50133	Lagata	Sin refrigeración	80
50134	Langa del Castillo	Con refrigeración	1
50134	Langa del Castillo	Sin refrigeración	79
50135	Layana	Sin refrigeración	51
50136	Lécera	Con refrigeración	12
50136	Lécera	Sin refrigeración	341
50137	Leciñena	Con refrigeración	60
50137	Leciñena	Sin refrigeración	429
50138	Lechón	Sin refrigeración	22
50139	Letux	Con refrigeración	5
50139	Letux	Sin refrigeración	185
50140	Litago	Con refrigeración	3
50140	Litago	Sin refrigeración	80
50141	Lituénigo	Sin refrigeración	49
50142	Lobera de Onsella	Sin refrigeración	31
50143	Longares	Con refrigeración	16
50143	Longares	Sin refrigeración	309
50144	Longás	Sin refrigeración	20
50146	Lucena de Jalón	Con refrigeración	3
50146	Lucena de Jalón	Sin refrigeración	96
50147	Luceni	Con refrigeración	33
50147	Luceni	Sin refrigeración	382
50148	Luesia	Con refrigeración	1
50148	Luesia	Sin refrigeración	153
50149	Luesma	Sin refrigeración	13
50150	Lumpiaque	Con refrigeración	11
50150	Lumpiaque	Sin refrigeración	347
50151	Luna	Con refrigeración	17
50151	Luna	Sin refrigeración	372
50152	Maella	Con refrigeración	88
50152	Maella	Sin refrigeración	671
50153	Magallón	Con refrigeración	15
50153	Magallón	Sin refrigeración	448
50154	Mainar	Con refrigeración	1
50154	Mainar	Sin refrigeración	68
50155	Malanquilla	Sin refrigeración	66
50156	Maleján	Sin refrigeración	120
50157	Malón	Con refrigeración	2
50157	Malón	Sin refrigeración	166
50159	Maluenda	Con refrigeración	14
50159	Maluenda	Sin refrigeración	350
50160	Mallén	Con refrigeración	132
50160	Mallén	Sin refrigeración	990
50161	Manchones	Sin refrigeración	59
50162	Mara	Con refrigeración	1
50162	Mara	Sin refrigeración	86
50163	María de Huerva	Con refrigeración	96
50163	María de Huerva	Sin refrigeración	420
50164	Mediana de Aragón	Con refrigeración	11
50164	Mediana de Aragón	Sin refrigeración	174
50165	Mequinenza	Con refrigeración	429
50165	Mequinenza	Sin refrigeración	475
50166	Mesones de Isuela	Con refrigeración	8
50166	Mesones de Isuela	Sin refrigeración	125
50167	Mezalocha	Con refrigeración	8
50167	Mezalocha	Sin refrigeración	99
50168	Mianos	Con refrigeración	1
50168	Mianos	Sin refrigeración	18
50169	Miedes de Aragón	Con refrigeración	2
50169	Miedes de Aragón	Sin refrigeración	180
50170	Monegrillo	Con refrigeración	3
50170	Monegrillo	Sin refrigeración	161
50171	Moneva	Con refrigeración	3
50171	Moneva	Sin refrigeración	77
50172	Monreal de Ariza	Con refrigeración	4
50172	Monreal de Ariza	Sin refrigeración	118
50173	Monterde	Con refrigeración	2
50173	Monterde	Sin refrigeración	114
50174	Montón	Sin refrigeración	61
50175	Morata de Jalón	Con refrigeración	39
50175	Morata de Jalón	Sin refrigeración	552
50176	Morata de Jiloca	Con refrigeración	2
50176	Morata de Jiloca	Sin refrigeración	130
50177	Morés	Con refrigeración	7
50177	Morés	Sin refrigeración	184
50178	Moros	Con refrigeración	4
50178	Moros	Sin refrigeración	218
50179	Moyuela	Con refrigeración	1
50179	Moyuela	Sin refrigeración	146
50180	Mozota	Con refrigeración	1
50180	Mozota	Sin refrigeración	47
50181	Muel	Con refrigeración	40
50181	Muel	Sin refrigeración	380
50182	Muela (La)	Con refrigeración	32
50182	Muela (La)	Sin refrigeración	635
50183	Munébrega	Con refrigeración	4
50183	Munébrega	Sin refrigeración	178
50184	Murero	Sin refrigeración	63
50185	Murillo de Gállego	Con refrigeración	4
50185	Murillo de Gállego	Sin refrigeración	73
50186	Navardún	Sin refrigeración	25
50187	Nigüella	Sin refrigeración	44
50188	Nombrevilla	Con refrigeración	1
50188	Nombrevilla	Sin refrigeración	26
50189	Nonaspe	Con refrigeración	61
50189	Nonaspe	Sin refrigeración	364
50190	Novallas	Con refrigeración	8
50190	Novallas	Sin refrigeración	297
50191	Novillas	Con refrigeración	10
50191	Novillas	Sin refrigeración	240
50192	Nuévalos	Con refrigeración	6
50192	Nuévalos	Sin refrigeración	129
50193	Nuez de Ebro	Con refrigeración	26
50193	Nuez de Ebro	Sin refrigeración	179
50194	Olvés	Sin refrigeración	58
50195	Orcajo	Sin refrigeración	21
50196	Orera	Con refrigeración	2
50196	Orera	Sin refrigeración	49
50197	Orés	Con refrigeración	1
50197	Orés	Sin refrigeración	50
50198	Oseja	Sin refrigeración	24
50199	Osera de Ebro	Con refrigeración	24
50199	Osera de Ebro	Sin refrigeración	103
50200	Paniza	Sin refrigeración	262
50201	Paracuellos de Jiloca	Con refrigeración	6
50201	Paracuellos de Jiloca	Sin refrigeración	181
50202	Paracuellos de la Ribera	Con refrigeración	4
50202	Paracuellos de la Ribera	Sin refrigeración	116
50203	Pastriz	Con refrigeración	47
50203	Pastriz	Sin refrigeración	334
50204	Pedrola	Con refrigeración	111
50204	Pedrola	Sin refrigeración	882
50205	Pedrosas (Las)	Con refrigeración	2
50205	Pedrosas (Las)	Sin refrigeración	42
50206	Perdiguera	Con refrigeración	11
50206	Perdiguera	Sin refrigeración	206
50207	Piedratajada	Sin refrigeración	56
50208	Pina de Ebro	Con refrigeración	231
50208	Pina de Ebro	Sin refrigeración	653
50209	Pinseque	Con refrigeración	106
50209	Pinseque	Sin refrigeración	585
50210	Pintanos (Los)	Sin refrigeración	36
50211	Plasencia de Jalón	Con refrigeración	4
50211	Plasencia de Jalón	Sin refrigeración	142
50212	Pleitas	Sin refrigeración	23
50213	Plenas	Sin refrigeración	75
50214	Pomer	Sin refrigeración	23
50215	Pozuel de Ariza	Sin refrigeración	7
50216	Pozuelo de Aragón	Con refrigeración	5
50216	Pozuelo de Aragón	Sin refrigeración	114
50217	Pradilla de Ebro	Con refrigeración	14
50217	Pradilla de Ebro	Sin refrigeración	229
50218	Puebla de Albortón	Sin refrigeración	62
50219	Puebla de Alfindén (La)	Con refrigeración	181
50219	Puebla de Alfindén (La)	Sin refrigeración	659
50220	Puendeluna	Con refrigeración	1
50220	Puendeluna	Sin refrigeración	27
50221	Purujosa	Sin refrigeración	27
50222	Quinto	Con refrigeración	170
50222	Quinto	Sin refrigeración	602
50223	Remolinos	Con refrigeración	124
50223	Remolinos	Sin refrigeración	344
50224	Retascón	Sin refrigeración	34
50225	Ricla	Con refrigeración	44
50225	Ricla	Sin refrigeración	782
50227	Romanos	Sin refrigeración	49
50228	Rueda de Jalón	Con refrigeración	1
50228	Rueda de Jalón	Sin refrigeración	142
50229	Ruesca	Con refrigeración	1
50229	Ruesca	Sin refrigeración	30
50230	Sádaba	Con refrigeración	75
50230	Sádaba	Sin refrigeración	574
50231	Salillas de Jalón	Con refrigeración	2
50231	Salillas de Jalón	Sin refrigeración	152
50232	Salvatierra de Esca	Sin refrigeración	122
50233	Samper del Salz	Con refrigeración	4
50233	Samper del Salz	Sin refrigeración	60
50234	San Martín de la Virgen de Moncayo	Con refrigeración	1
50234	San Martín de la Virgen de Moncayo	Sin refrigeración	107
50235	San Mateo de Gállego	Con refrigeración	139
50235	San Mateo de Gállego	Sin refrigeración	675
50236	Santa Cruz de Grío	Con refrigeración	3
50236	Santa Cruz de Grío	Sin refrigeración	87
50237	Santa Cruz de Moncayo	Con refrigeración	1
50237	Santa Cruz de Moncayo	Sin refrigeración	47
50238	Santa Eulalia de Gállego	Sin refrigeración	60
50239	Santed	Sin refrigeración	31
50240	Sástago	Con refrigeración	161
50240	Sástago	Sin refrigeración	368
50241	Saviñán	Con refrigeración	6
50241	Saviñán	Sin refrigeración	332
50242	Sediles	Con refrigeración	1
50242	Sediles	Sin refrigeración	41
50243	Sestrica	Con refrigeración	9
50243	Sestrica	Sin refrigeración	182
50244	Sierra de Luna	Con refrigeración	3
50244	Sierra de Luna	Sin refrigeración	104
50245	Sigüés	Sin refrigeración	87
50246	Sisamón	Con refrigeración	1
50246	Sisamón	Sin refrigeración	29
50247	Sobradiel	Con refrigeración	30
50247	Sobradiel	Sin refrigeración	197
50248	Sos del Rey Católico	Con refrigeración	4
50248	Sos del Rey Católico	Sin refrigeración	288
50249	Tabuenca	Con refrigeración	2
50249	Tabuenca	Sin refrigeración	188
50250	Talamantes	Con refrigeración	1
50250	Talamantes	Sin refrigeración	32
50251	Tarazona	Con refrigeración	178
50251	Tarazona	Sin refrigeración	3620
50252	Tauste	Con refrigeración	480
50252	Tauste	Sin refrigeración	1963
50253	Terrer	Con refrigeración	3
50253	Terrer	Sin refrigeración	257
50254	Tierga	Con refrigeración	5
50254	Tierga	Sin refrigeración	90
50255	Tobed	Con refrigeración	4
50255	Tobed	Sin refrigeración	137
50256	Torralba de los Frailes	Con refrigeración	1
50256	Torralba de los Frailes	Sin refrigeración	37
50257	Torralba de Ribota	Con refrigeración	1
50257	Torralba de Ribota	Sin refrigeración	88
50258	Torralbilla	Sin refrigeración	41
50259	Torrehermosa	Sin refrigeración	45
50260	Torrelapaja	Sin refrigeración	22
50261	Torrellas	Con refrigeración	2
50261	Torrellas	Sin refrigeración	129
50262	Torres de Berrellén	Con refrigeración	73
50262	Torres de Berrellén	Sin refrigeración	417
50263	Torrijo de la Cañada	Con refrigeración	3
50263	Torrijo de la Cañada	Sin refrigeración	175
50264	Tosos	Sin refrigeración	87
50265	Trasmoz	Sin refrigeración	28
50266	Trasobares	Con refrigeración	1
50266	Trasobares	Sin refrigeración	113
50267	Uncastillo	Con refrigeración	4
50267	Uncastillo	Sin refrigeración	364
50268	Undués de Lerda	Sin refrigeración	27
50269	Urrea de Jalón	Con refrigeración	12
50269	Urrea de Jalón	Sin refrigeración	114
50270	Urriés	Sin refrigeración	36
50271	Used	Con refrigeración	1
50271	Used	Sin refrigeración	138
50272	Utebo	Con refrigeración	769
50272	Utebo	Sin refrigeración	3336
50273	Valdehorna	Sin refrigeración	25
50274	Val de San Martín	Sin refrigeración	36
50275	Valmadrid	Con refrigeración	2
50275	Valmadrid	Sin refrigeración	33
50276	Valpalmas	Con refrigeración	1
50276	Valpalmas	Sin refrigeración	69
50277	Valtorres	Con refrigeración	1
50277	Valtorres	Sin refrigeración	44
50278	Velilla de Ebro	Con refrigeración	22
50278	Velilla de Ebro	Sin refrigeración	85
50279	Velilla de Jiloca	Sin refrigeración	50
50280	Vera de Moncayo	Con refrigeración	1
50280	Vera de Moncayo	Sin refrigeración	179
50281	Vierlas	Con refrigeración	1
50281	Vierlas	Sin refrigeración	49
50282	Vilueña (La)	Con refrigeración	1
50282	Vilueña (La)	Sin refrigeración	48
50283	Villadoz	Sin refrigeración	32
50284	Villafeliche	Sin refrigeración	105
50285	Villafranca de Ebro	Con refrigeración	29
50285	Villafranca de Ebro	Sin refrigeración	218
50286	Villalba de Perejil	Con refrigeración	1
50286	Villalba de Perejil	Sin refrigeración	44
50287	Villalengua	Con refrigeración	4
50287	Villalengua	Sin refrigeración	155
50288	Villanueva de Gállego	Con refrigeración	264
50288	Villanueva de Gállego	Sin refrigeración	913
50289	Villanueva de Jiloca	Con refrigeración	1
50289	Villanueva de Jiloca	Sin refrigeración	40
50290	Villanueva de Huerva	Con refrigeración	2
50290	Villanueva de Huerva	Sin refrigeración	251
50291	Villar de los Navarros	Sin refrigeración	71
50292	Villarreal de Huerva	Con refrigeración	5
50292	Villarreal de Huerva	Sin refrigeración	68
50293	Villarroya de la Sierra	Con refrigeración	4
50293	Villarroya de la Sierra	Sin refrigeración	300
50294	Villarroya del Campo	Sin refrigeración	31
50295	Vistabella	Sin refrigeración	19
50296	Zaida (La)	Con refrigeración	45
50296	Zaida (La)	Sin refrigeración	161
50297	Zaragoza	Con refrigeración	53681
50297	Zaragoza	Sin refrigeración	172793
50298	Zuera	Con refrigeración	375
50298	Zuera	Sin refrigeración	1663
50901	Biel	Sin refrigeración	114
50902	Marracos	Con refrigeración	4
50902	Marracos	Sin refrigeración	39
