Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22189	Puértolas	940	273	10	263	2937	400	1288	17	1271	21	0	83
1989	22190	Pueyo de Araguás (El)	558	317	18	299	3065	198	292	80	212	3	0	64
1989	22193	Pueyo de Santa Cruz	551	102	2	100	1040	0	1124	253	871	0	0	1
1989	22195	Quicena	989	328	2	326	697	0	52	20	32	59	70	6
1989	22197	Robres	7773	781	39	742	6696	2	17885	511	17374	0	186	3
1989	22199	Sabiñánigo	2435	674	37	637	9928	227	2504	231	2273	4	33	179
1989	22200	Sahún	595	661	53	608	1067	57	0	0	0	7	0	55
1989	22201	Salas Altas	281	0	0	0	107	7	663	74	589	0	9	18
1989	22202	Salas Bajas	182	0	0	0	0	0	566	115	451	0	0	16
1989	22203	Salillas	488	30	0	30	0	4	1672	85	1587	0	0	11
1989	22204	Sallent de Gállego	724	751	16	735	1777	99	17	0	17	0	0	38
1989	22205	San Esteban de Litera	5967	3150	57	3093	4175	140	14450	1987	12463	4	1	186
1989	22206	Sangarrén	2308	524	7	517	539	4	4388	30	4358	0	80	2
1989	22207	San Juan de Plan	825	605	0	605	4034	174	3	0	3	30	0	64
1989	22208	Santa Cilia	423	0	0	0	3580	94	175	65	110	0	0	69
1989	22209	Santa Cruz de la Serós	256	7	5	2	2174	56	90	27	63	1	0	37
1989	22212	Santaliestra y San Quílez	1070	3	3	0	0	0	1231	71	1160	0	103	35
1989	22213	Sariñena	7933	2387	423	1964	21407	312	10272	969	9303	2	116	81
1989	22214	Secastilla	204	10	4	6	1668	22	100	37	63	2	0	64
1989	22215	Seira	236	230	17	213	431	268	0	0	0	9	0	19
1989	22217	Sena	965	219	164	55	6680	226	42	36	6	0	8	8
1989	22218	Senés de Alcubierre	193	0	0	0	1430	0	101	87	14	0	0	3
1989	22220	Sesa	628	310	23	287	419	15	651	199	452	0	46	27
1989	22221	Sesué	305	411	85	326	31	0	0	0	0	1	0	19
1989	22222	Siétamo	1445	300	0	300	3963	159	2741	220	2521	1	7	32
1989	22223	Sopeira	475	117	3	114	2464	203	600	103	497	1	0	48
1989	22225	Tamarite de Litera	23263	8576	1339	7237	10736	809	55817	3761	52056	51	94	389
1989	22226	Tardienta	753	429	77	352	4848	156	39	22	17	1	1	16
1989	22227	Tella-Sin	303	238	0	238	996	374	0	0	0	14	0	82
1989	22228	Tierz	143	40	36	4	833	16	54	30	24	0	0	2
1989	22229	Tolva	1683	0	0	0	2567	97	5995	926	5069	0	0	97
1989	22230	Torla-Ordesa	1234	1053	10	1043	969	37	850	0	850	5	5	3
1989	22232	Torralba de Aragón	325	68	52	16	2278	41	92	34	58	0	0	200
1989	22233	Torre la Ribera	404	118	39	79	2571	57	257	61	196	2	0	62
1989	22234	Torrente de Cinca	1445	0	0	0	900	20	3556	155	3401	0	36	182
1989	22235	Torres de Alcanadre	419	0	0	0	178	15	1769	373	1396	0	0	9
1989	22236	Torres de Barbués	1744	237	126	111	1950	18	5231	375	4856	1	0	0
1989	22239	Tramaced	1871	687	100	587	3	0	3781	107	3674	4	63	2
1989	22242	Valfarta	334	0	0	0	746	26	70	70	0	0	32	100
1989	22243	Valle de Bardají	383	221	140	81	1433	118	266	51	215	0	0	24
1989	22244	Valle de Lierp	277	83	32	51	1459	120	267	72	195	1	0	32
1989	22245	Velilla de Cinca	61	5	5	0	490	0	10	4	6	0	0	10
1989	22246	Beranuy	736	24	11	13	3536	108	1252	163	1089	11	5	61
1989	22247	Viacamp y Litera	509	306	0	306	741	7	1088	15	1073	0	0	20
1989	22248	Vicién	386	260	0	260	2684	30	42	7	35	0	0	0
1989	22249	Villanova	148	152	57	95	298	12	0	0	0	0	0	1
1989	22250	Villanúa	193	224	47	177	186	150	1	0	1	0	0	40
1989	22251	Villanueva de Sigena	1507	893	40	853	9897	66	268	60	208	0	3	0
1989	22252	Yebra de Basa	241	158	13	145	1183	16	35	1	34	0	0	22
1989	22253	Yésero	61	74	2	72	0	0	8	0	8	1	0	16
1989	22254	Zaidín	11059	1031	3	1028	3537	0	24253	579	23674	0	357	0
1989	22901	Valle de Hecho	2174	1853	107	1746	7290	559	174	11	163	13	1	108
1989	22902	Puente la Reina de Jaca	1170	15	6	9	8456	115	1362	226	1136	1	1	53
1989	22903	San Miguel del Cinca	3412	1151	117	1034	5802	25	6197	423	5774	0	82	650
