Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar sólo trabajan en la explotación	Personas mano obra familiar trabajan también en otra activ. lucrativa	Personas mano obra familiar trabajan en otra actividad como principal	Personas mano obra familiar trabajan en otra actividad como secundaria	Personas mano obra familiar titulares que sólo trabajan en la explotación	Personas mano obra familiar titulares que trabajan también en otra activ. lucrativa	Personas mano obra familiar titulares que trabajan en otra actividad como principal	Personas mano obra familiar titulares que trabajan en otra actividad como secundaria	Personas mano obra familiar cónyuges que sólo trabajan en la explotación	Personas mano obra familiar cónyuges que trabajan también en otra activ. Lucrativa	Personas mano obra familiar cónyuges que trabajan en otra actividad como principal	Personas mano obra familiar cónyuges que trabajan en otra actividad como secundaria	Personas mano obra familiar otros, que sólo trabajan en la explotación	Personas mano obra familiar otros, que  trabajan también en otra activ. lucrativa	Personas mano obra familiar otros,  trabajan en otra actividad como principal	Personas mano obra familiar otros, que trabajan en otra actividad como secundaria	Personas mano obra familiar con <25% trabajando en explotación	Personas mano obra familiar con >24,99 y <50% trabajando en explotación	Personas mano obra familiar con >49,99 y <75% trabajando en explotación	Personas mano obra familiar con >74,99 y <100% trabajando en explotación	Personas mano obra familiar con 100% trabajando en explotación
1989	44023	Allueva	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1989	44024	Anadón	13	13	0	0	0	6	0	0	0	5	0	0	0	2	0	0	0	5	1	0	1	6
1989	44025	Andorra	588	379	209	207	2	176	136	134	2	151	15	15	0	52	58	58	0	467	47	18	19	37
1989	44026	Arcos de las Salinas	85	77	8	5	3	44	7	5	2	29	1	0	1	4	0	0	0	65	1	3	2	14
1989	44027	Arens de Lledó	148	121	27	24	3	72	17	14	3	31	3	3	0	18	7	7	0	63	32	5	17	31
1989	44028	Argente	119	114	5	5	0	66	4	4	0	29	0	0	0	19	1	1	0	55	8	6	40	10
1989	44029	Ariño	266	178	88	88	0	126	60	60	0	32	3	3	0	20	25	25	0	204	54	3	0	5
1989	44031	Azaila	57	31	26	8	18	27	23	6	17	2	1	1	0	2	2	1	1	11	7	9	17	13
1989	44032	Bádenas	10	8	2	2	0	7	1	1	0	1	1	1	0	0	0	0	0	3	1	0	0	6
1989	44033	Báguena	363	244	119	99	20	137	70	53	17	75	3	3	0	32	46	43	3	256	33	21	8	45
1989	44034	Bañón	69	64	5	5	0	36	4	4	0	17	0	0	0	11	1	1	0	20	7	3	21	18
1989	44035	Barrachina	79	65	14	9	5	35	11	7	4	23	3	2	1	7	0	0	0	44	6	10	1	18
1989	44036	Bea	13	6	7	5	2	5	7	5	2	0	0	0	0	1	0	0	0	7	3	2	0	1
1989	44037	Beceite	214	145	69	69	0	139	69	69	0	4	0	0	0	2	0	0	0	151	2	7	2	52
1989	44038	Belmonte de San José	157	135	22	20	2	94	18	17	1	36	0	0	0	5	4	3	1	79	47	5	9	17
1989	44039	Bello	203	200	3	3	0	91	3	3	0	70	0	0	0	39	0	0	0	112	27	29	9	26
1989	44040	Berge	131	69	62	58	4	41	43	40	3	18	8	8	0	10	11	10	1	79	24	8	8	12
1989	44041	Bezas	22	18	4	1	3	10	4	1	3	8	0	0	0	0	0	0	0	18	2	0	1	1
1989	44042	Blancas	75	70	5	4	1	45	3	3	0	19	0	0	0	6	2	1	1	31	12	12	3	17
1989	44043	Blesa	70	62	8	6	2	44	6	5	1	15	0	0	0	3	2	1	1	34	6	2	6	22
1989	44044	Bordón	69	63	6	3	3	41	4	1	3	16	1	1	0	6	1	1	0	24	12	5	5	23
1989	44045	Bronchales	75	45	30	25	5	43	30	25	5	1	0	0	0	1	0	0	0	36	14	1	5	19
1989	44046	Bueña	61	52	9	7	2	37	5	3	2	12	0	0	0	3	4	4	0	18	11	3	9	20
1989	44047	Burbáguena	391	241	150	144	6	169	72	67	5	29	6	6	0	43	72	71	1	334	21	9	4	23
1989	44048	Cabra de Mora	63	42	21	18	3	29	17	14	3	11	2	2	0	2	2	2	0	48	4	6	0	5
1989	44049	Calaceite	616	466	150	124	26	253	104	87	17	149	15	14	1	64	31	23	8	311	116	38	25	126
1989	44050	Calamocha	1109	874	235	209	26	649	179	157	22	170	6	5	1	55	50	47	3	780	65	71	28	165
1989	44051	Calanda	626	449	177	154	23	260	136	121	15	128	2	1	1	61	39	32	7	289	87	53	28	169
1989	44052	Calomarde	27	24	3	3	0	20	3	3	0	2	0	0	0	2	0	0	0	6	10	0	1	10
1989	44053	Camañas	69	65	4	3	1	42	2	1	1	13	0	0	0	10	2	2	0	21	7	11	3	27
1989	44054	Camarena de la Sierra	221	171	50	50	0	165	43	43	0	5	3	3	0	1	4	4	0	197	10	4	5	5
1989	44055	Camarillas	77	51	26	22	4	43	24	20	4	6	1	1	0	2	1	1	0	51	9	5	1	11
1989	44056	Caminreal	187	163	24	23	1	125	23	22	1	31	0	0	0	7	1	1	0	48	38	26	38	37
1989	44059	Cantavieja	176	142	34	27	7	70	30	26	4	40	1	1	0	32	3	0	3	66	20	18	7	65
1989	44060	Cañada de Benatanduz	50	43	7	2	5	21	5	2	3	10	0	0	0	12	2	0	2	14	7	9	6	14
1989	44061	Cañada de Verich (La)	93	72	21	20	1	44	17	16	1	19	0	0	0	9	4	4	0	57	25	1	4	6
1989	44062	Cañada Vellida	31	21	10	10	0	14	10	10	0	2	0	0	0	5	0	0	0	9	4	4	0	14
1989	44063	Cañizar del Olivar	70	49	21	21	0	41	17	17	0	5	0	0	0	3	4	4	0	62	2	4	0	2
1989	44064	Cascante del Río	245	175	70	70	0	157	55	55	0	11	3	3	0	7	12	12	0	209	16	5	6	9
1989	44065	Castejón de Tornos	62	55	7	6	1	24	4	3	1	24	0	0	0	7	3	3	0	35	8	10	2	7
1989	44066	Castel de Cabra	71	49	22	22	0	33	14	14	0	11	0	0	0	5	8	8	0	48	10	8	0	5
1989	44067	Castelnou	37	11	26	11	15	6	21	9	12	4	3	2	1	1	2	0	2	10	9	5	3	10
1989	44068	Castelserás	254	134	120	107	13	51	96	88	8	61	2	2	0	22	22	17	5	178	32	13	11	20
1989	44070	Castellar (El)	59	39	20	13	7	20	18	12	6	12	0	0	0	7	2	1	1	32	7	10	2	8
1989	44071	Castellote	552	401	151	140	11	287	100	95	5	71	10	10	0	43	41	35	6	369	69	46	10	58
1989	44074	Cedrillas	193	132	61	53	8	91	54	46	8	31	1	1	0	10	6	6	0	104	20	31	14	24
1989	44075	Celadas	222	198	24	18	6	106	15	10	5	61	1	1	0	31	8	7	1	98	31	45	3	45
1989	44076	Cella	911	660	251	238	13	317	184	176	8	235	11	10	1	108	56	52	4	501	134	125	65	86
1989	44077	Cerollera (La)	54	18	36	18	18	18	36	18	18	0	0	0	0	0	0	0	0	48	3	3	0	0
1989	44080	Codoñera (La)	130	111	19	15	4	59	11	8	3	36	3	3	0	16	5	4	1	37	27	17	1	48
1989	44082	Corbalán	54	47	7	7	0	26	7	7	0	16	0	0	0	5	0	0	0	31	4	8	1	10
1989	44084	Cortes de Aragón	32	24	8	8	0	14	6	6	0	9	0	0	0	1	2	2	0	16	6	0	3	7
1989	44085	Cosa	49	49	0	0	0	29	0	0	0	11	0	0	0	9	0	0	0	12	3	5	11	18
1989	44086	Cretas	412	324	88	79	9	204	60	54	6	80	6	5	1	40	22	20	2	96	168	23	15	110
1989	44087	Crivillén	100	83	17	17	0	80	17	17	0	2	0	0	0	1	0	0	0	91	1	0	2	6
1989	44088	Cuba (La)	37	35	2	2	0	22	1	1	0	10	0	0	0	3	1	1	0	17	5	3	0	12
1989	44089	Cubla	145	124	21	21	0	110	17	17	0	9	0	0	0	5	4	4	0	115	12	4	9	5
1989	44090	Cucalón	17	16	1	1	0	12	1	1	0	3	0	0	0	1	0	0	0	3	2	0	1	11
1989	44092	Cuervo (El)	88	69	19	11	8	41	12	8	4	21	2	2	0	7	5	1	4	63	20	4	0	1
1989	44093	Cuevas de Almudén	41	19	22	21	1	15	14	14	0	1	0	0	0	3	8	7	1	29	8	0	0	4
1989	44094	Cuevas Labradas	68	60	8	6	2	39	7	6	1	18	0	0	0	3	1	0	1	34	12	4	9	9
1989	44096	Ejulve	364	278	86	86	0	241	70	70	0	18	3	3	0	19	13	13	0	327	13	12	2	10
1989	44097	Escorihuela	143	133	10	8	2	61	7	5	2	53	0	0	0	19	3	3	0	89	15	9	0	30
1989	44099	Escucha	110	85	25	24	1	69	16	15	1	4	0	0	0	12	9	9	0	79	7	13	0	11
1989	44100	Estercuel	133	114	19	19	0	109	18	18	0	2	0	0	0	3	1	1	0	129	1	3	0	0
1989	44101	Ferreruela de Huerva	30	29	1	1	0	25	1	1	0	2	0	0	0	2	0	0	0	9	1	14	2	4
1989	44102	Fonfría	21	21	0	0	0	11	0	0	0	7	0	0	0	3	0	0	0	5	4	0	0	12
1989	44103	Formiche Alto	74	56	18	13	5	33	16	12	4	22	2	1	1	1	0	0	0	61	5	3	2	3
1989	44105	Fórnoles	299	200	99	95	4	153	65	62	3	29	8	7	1	18	26	26	0	253	18	6	4	18
1989	44106	Fortanete	141	90	51	46	5	54	46	41	5	22	2	2	0	14	3	3	0	73	13	18	12	25
1989	44107	Foz-Calanda	122	103	19	16	3	51	12	12	0	25	1	0	1	27	6	4	2	38	20	14	6	44
1989	44108	Fresneda (La)	447	334	113	111	2	220	89	88	1	77	8	8	0	37	16	15	1	304	44	19	2	78
1989	44109	Frías de Albarracín	47	36	11	9	2	23	11	9	2	5	0	0	0	8	0	0	0	11	13	0	1	22
1989	44110	Fuenferrada	29	22	7	6	1	20	7	6	1	2	0	0	0	0	0	0	0	9	1	9	2	8
1989	44111	Fuentes Calientes	73	62	11	10	1	37	6	5	1	16	0	0	0	9	5	5	0	35	7	5	8	18
1989	44112	Fuentes Claras	208	171	37	32	5	120	33	28	5	39	1	1	0	12	3	3	0	106	10	9	6	77
1989	44113	Fuentes de Rubielos	85	61	24	10	14	56	22	10	12	1	1	0	1	4	1	0	1	69	8	4	2	2
1989	44114	Fuentespalda	209	178	31	26	5	120	29	24	5	46	1	1	0	12	1	1	0	88	29	10	12	70
1989	44115	Galve	77	58	19	13	6	29	11	9	2	20	0	0	0	9	8	4	4	39	5	12	4	17
1989	44116	Gargallo	101	79	22	22	0	76	19	19	0	2	0	0	0	1	3	3	0	97	1	3	0	0
1989	44117	Gea de Albarracín	156	112	44	36	8	89	36	29	7	15	1	0	1	8	7	7	0	89	20	9	6	32
1989	44118	Ginebrosa (La)	232	200	32	32	0	128	29	29	0	52	0	0	0	20	3	3	0	88	44	9	24	67
1989	44119	Griegos	37	25	12	8	4	21	11	7	4	2	1	1	0	2	0	0	0	7	8	2	2	18
1989	44120	Guadalaviar	65	53	12	7	5	38	11	6	5	6	0	0	0	9	1	1	0	9	17	1	2	36
1989	44121	Gúdar	77	55	22	18	4	39	15	12	3	11	2	2	0	5	5	4	1	50	8	5	2	12
1989	44122	Híjar	449	323	126	114	12	250	114	103	11	55	2	2	0	18	10	9	1	182	107	60	13	87
1989	44123	Hinojosa de Jarque	62	31	31	29	2	24	27	25	2	4	0	0	0	3	4	4	0	40	7	5	3	7
1989	44124	Hoz de la Vieja (La)	99	56	43	43	0	44	43	43	0	11	0	0	0	1	0	0	0	68	2	4	1	24
1989	44125	Huesa del Común	51	41	10	9	1	38	10	9	1	1	0	0	0	2	0	0	0	30	6	5	2	8
1989	44126	Iglesuela del Cid (La)	171	140	31	29	2	95	31	29	2	39	0	0	0	6	0	0	0	87	4	1	37	42
1989	44127	Jabaloyas	58	53	5	2	3	31	2	2	0	18	1	0	1	4	2	0	2	30	5	3	6	14
1989	44128	Jarque de la Val	44	27	17	13	4	14	10	7	3	4	2	1	1	9	5	5	0	21	10	1	4	8
1989	44129	Jatiel	11	4	7	3	4	2	7	3	4	2	0	0	0	0	0	0	0	4	3	1	0	3
1989	44130	Jorcas	32	29	3	3	0	18	2	2	0	7	0	0	0	4	1	1	0	8	1	1	2	20
1989	44131	Josa	59	20	39	39	0	19	39	39	0	0	0	0	0	1	0	0	0	54	1	0	0	4
1989	44132	Lagueruela	28	28	0	0	0	22	0	0	0	5	0	0	0	1	0	0	0	6	2	7	0	13
1989	44133	Lanzuela	19	16	3	3	0	13	3	3	0	2	0	0	0	1	0	0	0	9	2	1	1	6
1989	44135	Libros	177	121	56	49	7	94	38	31	7	18	5	5	0	9	13	13	0	148	6	4	7	12
1989	44136	Lidón	36	35	1	1	0	23	0	0	0	9	0	0	0	3	1	1	0	10	4	2	7	13
1989	44137	Linares de Mora	184	135	49	42	7	82	37	35	2	32	3	2	1	21	9	5	4	117	21	12	1	33
1989	44138	Loscos	69	63	6	4	2	50	4	4	0	11	0	0	0	2	2	0	2	27	4	4	2	32
1989	44141	Lledó	104	91	13	11	2	53	8	6	2	23	1	1	0	15	4	4	0	30	28	7	9	30
1989	44142	Maicas	32	7	25	24	1	7	25	24	1	0	0	0	0	0	0	0	0	30	0	0	0	2
1989	44143	Manzanera	258	182	76	72	4	145	58	55	3	32	3	3	0	5	15	14	1	191	27	9	5	26
1989	44144	Martín del Río	123	85	38	35	3	77	32	29	3	4	0	0	0	4	6	6	0	86	10	11	1	15
1989	44145	Mas de las Matas	186	152	34	20	14	107	33	19	14	37	0	0	0	8	1	1	0	86	22	12	10	56
1989	44146	Mata de los Olmos (La)	54	32	22	22	0	29	20	20	0	3	0	0	0	0	2	2	0	49	4	0	0	1
1989	44147	Mazaleón	402	356	46	38	8	197	23	19	4	82	7	6	1	77	16	13	3	101	105	19	164	13
1989	44148	Mezquita de Jarque	43	32	11	10	1	21	6	5	1	6	0	0	0	5	5	5	0	19	8	3	2	11
1989	44149	Mirambel	62	50	12	11	1	28	11	10	1	14	1	1	0	8	0	0	0	20	7	5	4	26
1989	44150	Miravete de la Sierra	53	48	5	5	0	36	5	5	0	7	0	0	0	5	0	0	0	34	0	1	2	16
1989	44151	Molinos	162	79	83	74	9	33	74	66	8	35	4	4	0	11	5	4	1	101	17	14	7	23
1989	44152	Monforte de Moyuela	43	37	6	4	2	30	5	3	2	7	0	0	0	0	1	1	0	14	3	2	1	23
1989	44153	Monreal del Campo	376	320	56	53	3	230	48	46	2	71	2	1	1	19	6	6	0	192	53	54	37	40
1989	44154	Monroyo	141	28	113	47	66	26	99	42	57	0	5	1	4	2	9	4	5	102	21	12	5	1
1989	44155	Montalbán	163	131	32	32	0	114	24	24	0	12	1	1	0	5	7	7	0	143	11	1	2	6
1989	44156	Monteagudo del Castillo	41	36	5	4	1	29	5	4	1	6	0	0	0	1	0	0	0	17	1	0	0	23
1989	44157	Monterde de Albarracín	29	27	2	2	0	17	1	1	0	7	0	0	0	3	1	1	0	9	4	2	0	14
1989	44158	Mora de Rubielos	330	235	95	89	6	220	90	84	6	8	0	0	0	7	5	5	0	256	13	7	2	52
1989	44159	Moscardón	32	27	5	1	4	11	4	0	4	7	1	1	0	9	0	0	0	13	15	3	1	0
1989	44160	Mosqueruela	332	282	50	43	7	182	40	38	2	82	2	2	0	18	8	3	5	132	3	0	74	123
1989	44161	Muniesa	253	198	55	52	3	112	37	34	3	69	0	0	0	17	18	18	0	149	23	9	10	62
1989	44163	Noguera de Albarracín	50	35	15	13	2	31	13	12	1	2	0	0	0	2	2	1	1	29	4	2	1	14
1989	44164	Nogueras	14	13	1	1	0	11	1	1	0	1	0	0	0	1	0	0	0	5	2	2	1	4
1989	44165	Nogueruelas	138	72	66	28	38	67	53	24	29	3	7	3	4	2	6	1	5	109	17	4	5	3
1989	44167	Obón	99	21	78	78	0	10	77	77	0	7	0	0	0	4	1	1	0	89	3	1	0	6
1989	44168	Odón	115	106	9	8	1	71	9	8	1	25	0	0	0	10	0	0	0	49	10	5	4	47
1989	44169	Ojos Negros	125	105	20	17	3	74	16	14	2	22	0	0	0	9	4	3	1	64	12	9	4	36
1989	44171	Olba	320	291	29	24	5	277	28	23	5	13	0	0	0	1	1	1	0	299	9	2	5	5
1989	44172	Oliete	354	265	89	87	2	191	65	63	2	52	3	3	0	22	21	21	0	269	39	16	1	29
1989	44173	Olmos (Los)	106	76	30	30	0	55	15	15	0	14	0	0	0	7	15	15	0	68	14	4	9	11
1989	44174	Orihuela del Tremedal	44	22	22	19	3	21	20	17	3	0	1	1	0	1	1	1	0	12	13	0	2	17
1989	44175	Orrios	91	78	13	5	8	53	8	4	4	22	1	0	1	3	4	1	3	52	7	5	12	15
1989	44176	Palomar de Arroyos	59	43	16	14	2	41	12	10	2	1	0	0	0	1	4	4	0	38	10	6	0	5
1989	44177	Pancrudo	81	62	19	14	5	61	19	14	5	1	0	0	0	0	0	0	0	36	10	17	7	11
1989	44178	Parras de Castellote (Las)	58	51	7	6	1	33	7	6	1	14	0	0	0	4	0	0	0	31	4	2	3	18
1989	44179	Peñarroya de Tastavins	285	253	32	30	2	152	26	24	2	75	3	3	0	26	3	3	0	121	50	10	17	87
1989	44180	Peracense	29	24	5	5	0	13	4	4	0	6	0	0	0	5	1	1	0	18	1	1	1	8
1989	44181	Peralejos	38	35	3	3	0	23	3	3	0	12	0	0	0	0	0	0	0	23	6	1	6	2
1989	44182	Perales del Alfambra	137	96	41	34	7	64	35	30	5	18	1	1	0	14	5	3	2	73	8	11	14	31
1989	44183	Pitarque	113	82	31	28	3	68	29	27	2	9	1	1	0	5	1	0	1	87	8	7	2	9
1989	44184	Plou	21	8	13	13	0	5	13	13	0	3	0	0	0	0	0	0	0	15	1	0	0	5
1989	44185	Pobo (El)	90	70	20	14	6	41	16	10	6	17	2	2	0	12	2	2	0	37	11	19	10	13
1989	44187	Portellada (La)	122	115	7	5	2	65	5	3	2	33	0	0	0	17	2	2	0	31	28	7	0	56
1989	44189	Pozondón	43	31	12	8	4	23	11	7	4	4	1	1	0	4	0	0	0	25	7	6	0	5
1989	44190	Pozuel del Campo	36	33	3	3	0	20	2	2	0	10	0	0	0	3	1	1	0	14	6	1	2	13
1989	44191	Puebla de Híjar (La)	163	87	76	42	34	65	66	36	30	20	0	0	0	2	10	6	4	47	33	14	20	49
1989	44192	Puebla de Valverde (La)	312	234	78	68	10	213	71	65	6	10	7	3	4	11	0	0	0	252	9	8	4	39
1989	44193	Puertomingalvo	146	125	21	21	0	78	19	19	0	35	0	0	0	12	2	2	0	71	6	3	23	43
1989	44194	Ráfales	102	92	10	10	0	66	6	6	0	20	1	1	0	6	3	3	0	33	23	5	1	40
1989	44195	Rillo	40	35	5	3	2	27	3	2	1	1	0	0	0	7	2	1	1	10	0	3	2	25
1989	44196	Riodeva	328	239	89	81	8	198	80	73	7	36	1	1	0	5	8	7	1	305	11	5	1	6
1989	44197	Ródenas	50	37	13	11	2	29	9	7	2	7	1	1	0	1	3	3	0	31	3	4	5	7
1989	44198	Royuela	47	41	6	3	3	38	6	3	3	2	0	0	0	1	0	0	0	10	5	0	4	28
1989	44199	Rubiales	52	31	21	21	0	28	21	21	0	2	0	0	0	1	0	0	0	46	3	0	1	2
1989	44200	Rubielos de la Cérida	27	27	0	0	0	17	0	0	0	3	0	0	0	7	0	0	0	12	0	0	2	13
1989	44201	Rubielos de Mora	293	110	183	167	16	92	179	165	14	12	2	1	1	6	2	1	1	246	10	6	0	31
1989	44203	Salcedillo	6	4	2	2	0	2	2	2	0	2	0	0	0	0	0	0	0	1	2	1	0	2
1989	44204	Saldón	36	25	11	5	6	16	3	2	1	9	2	2	0	0	6	1	5	31	1	1	3	0
1989	44205	Samper de Calanda	263	202	61	55	6	157	53	47	6	33	2	2	0	12	6	6	0	148	15	25	15	60
1989	44206	San Agustín	222	150	72	63	9	123	62	55	7	23	2	2	0	4	8	6	2	167	23	13	6	13
1989	44207	San Martín del Río	264	186	78	66	12	115	69	59	10	66	1	1	0	5	8	6	2	186	39	21	11	7
1989	44208	Santa Cruz de Nogueras	15	13	2	2	0	10	2	2	0	1	0	0	0	2	0	0	0	6	1	2	1	5
1989	44209	Santa Eulalia	182	144	38	36	2	91	36	34	2	31	0	0	0	22	2	2	0	94	17	12	5	54
1989	44210	Sarrión	298	185	113	103	10	174	99	89	10	5	4	4	0	6	10	10	0	237	6	12	3	40
1989	44211	Segura de los Baños	23	11	12	11	1	8	12	11	1	2	0	0	0	1	0	0	0	11	6	1	2	3
1989	44212	Seno	59	44	15	13	2	34	15	13	2	6	0	0	0	4	0	0	0	39	6	4	2	8
1989	44213	Singra	55	51	4	4	0	27	1	1	0	13	0	0	0	11	3	3	0	22	8	8	0	17
1989	44215	Terriente	100	75	25	15	10	40	15	7	8	29	2	2	0	6	8	6	2	59	14	11	6	10
1989	44216	Teruel	666	475	191	165	26	318	158	137	21	132	8	7	1	25	25	21	4	390	62	74	60	80
1989	44217	Toril y Masegoso	23	20	3	2	1	9	1	1	0	7	0	0	0	4	2	1	1	15	2	2	4	0
1989	44218	Tormón	23	11	12	7	5	5	7	4	3	6	3	2	1	0	2	1	1	16	5	2	0	0
1989	44219	Tornos	122	102	20	14	6	54	19	13	6	41	1	1	0	7	0	0	0	72	18	16	2	14
1989	44220	Torralba de los Sisones	112	104	8	8	0	53	7	7	0	41	0	0	0	10	1	1	0	54	18	12	4	24
1989	44221	Torrecilla de Alcañiz	180	125	55	47	8	50	40	32	8	54	9	9	0	21	6	6	0	61	22	36	17	44
1989	44222	Torrecilla del Rebollar	59	54	5	3	2	36	2	1	1	17	1	1	0	1	2	1	1	6	10	11	0	32
1989	44223	Torre de Arcas	30	6	24	19	5	6	22	18	4	0	1	0	1	0	1	1	0	10	17	2	1	0
1989	44224	Torre de las Arcas	29	26	3	3	0	19	3	3	0	3	0	0	0	4	0	0	0	20	3	2	1	3
1989	44225	Torre del Compte	188	127	61	59	2	76	39	37	2	36	7	7	0	15	15	15	0	122	20	17	3	26
1989	44226	Torrelacárcel	106	93	13	12	1	62	9	8	1	23	0	0	0	8	4	4	0	46	4	14	4	38
1989	44227	Torre los Negros	53	50	3	3	0	35	3	3	0	11	0	0	0	4	0	0	0	33	7	5	3	5
1989	44228	Torremocha de Jiloca	70	64	6	6	0	41	5	5	0	15	0	0	0	8	1	1	0	30	6	13	3	18
1989	44229	Torres de Albarracín	40	23	17	15	2	21	15	13	2	2	0	0	0	0	2	2	0	10	16	2	0	12
1989	44230	Torrevelilla	156	73	83	73	10	36	56	53	3	28	10	7	3	9	17	13	4	101	25	10	6	14
1989	44231	Torrijas	59	54	5	5	0	30	3	3	0	20	0	0	0	4	2	2	0	46	3	2	0	8
1989	44232	Torrijo del Campo	246	216	30	26	4	118	22	19	3	85	3	2	1	13	5	5	0	76	54	39	17	60
1989	44234	Tramacastiel	184	137	47	42	5	127	42	40	2	8	1	1	0	2	4	1	3	156	8	7	6	7
1989	44235	Tramacastilla	27	19	8	5	3	12	8	5	3	2	0	0	0	5	0	0	0	6	4	0	0	17
1989	44236	Tronchón	66	47	19	16	3	31	15	14	1	9	2	2	0	7	2	0	2	36	5	8	8	9
1989	44237	Urrea de Gaén	173	114	59	54	5	86	53	48	5	25	0	0	0	3	6	6	0	66	37	33	1	36
1989	44238	Utrillas	82	57	25	25	0	48	18	18	0	3	0	0	0	6	7	7	0	66	4	5	0	7
1989	44239	Valacloche	73	60	13	13	0	57	8	8	0	3	0	0	0	0	5	5	0	65	4	1	1	2
1989	44240	Valbona	130	87	43	39	4	60	33	30	3	25	3	3	0	2	7	6	1	107	6	5	2	10
1989	44241	Valdealgorfa	392	220	172	153	19	101	104	89	15	88	21	21	0	31	47	43	4	259	34	32	12	55
1989	44243	Valdecuenca	10	6	4	3	1	3	2	1	1	3	0	0	0	0	2	2	0	6	1	3	0	0
1989	44244	Valdelinares	79	72	7	5	2	47	6	5	1	12	0	0	0	13	1	0	1	29	3	1	10	36
1989	44245	Valdeltormo	66	54	12	9	3	24	8	6	2	17	1	1	0	13	3	2	1	23	19	4	10	10
1989	44246	Valderrobres	627	446	181	155	26	294	90	72	18	106	16	13	3	46	75	70	5	324	74	54	15	160
1989	44247	Valjunquera	250	193	57	45	12	92	29	20	9	66	8	7	1	35	20	18	2	106	48	31	11	54
1989	44249	Vallecillo (El)	12	11	1	1	0	7	1	1	0	2	0	0	0	2	0	0	0	9	0	1	0	2
1989	44250	Veguillas de la Sierra	14	11	3	2	1	8	3	2	1	2	0	0	0	1	0	0	0	1	1	1	6	5
1989	44251	Villafranca del Campo	131	99	32	24	8	68	25	18	7	21	2	1	1	10	5	5	0	73	11	17	3	27
1989	44252	Villahermosa del Campo	25	23	2	2	0	21	2	2	0	1	0	0	0	1	0	0	0	6	4	4	2	9
1989	44256	Villanueva del Rebollar de la Sierra	19	18	1	1	0	11	0	0	0	7	1	1	0	0	0	0	0	0	1	4	0	14
1989	44257	Villar del Cobo	65	56	9	4	5	46	8	3	5	7	1	1	0	3	0	0	0	17	6	2	4	36
1989	44258	Villar del Salz	52	46	6	6	0	39	4	4	0	3	0	0	0	4	2	2	0	41	1	3	0	7
1989	44260	Villarluengo	146	116	30	27	3	61	24	21	3	26	5	5	0	29	1	1	0	69	10	17	13	37
1989	44261	Villarquemado	364	296	68	55	13	190	34	28	6	47	4	4	0	59	30	23	7	147	17	11	1	188
1989	44262	Villarroya de los Pinares	87	69	18	15	3	51	17	14	3	10	1	1	0	8	0	0	0	54	3	0	2	28
1989	44263	Villastar	111	86	25	24	1	50	10	10	0	33	2	2	0	3	13	12	1	87	4	8	1	11
1989	44264	Villel	545	305	240	240	0	250	151	151	0	41	29	29	0	14	60	60	0	494	31	6	4	10
1989	44265	Vinaceite	102	86	16	10	6	71	15	9	6	11	0	0	0	4	1	1	0	27	7	4	4	60
1989	44266	Visiedo	94	84	10	10	0	48	8	8	0	27	0	0	0	9	2	2	0	43	7	6	24	14
1989	44267	Vivel del Río Martín	38	27	11	7	4	19	10	6	4	8	0	0	0	0	1	1	0	5	8	12	1	12
1989	44268	Zoma (La)	30	22	8	8	0	19	7	7	0	1	0	0	0	2	1	1	0	27	0	2	0	1
1989	50001	Abanto	44	42	2	1	1	41	2	1	1	0	0	0	0	1	0	0	0	6	9	12	12	5
1989	50002	Acered	243	240	3	2	1	126	1	1	0	71	1	1	0	43	1	0	1	93	86	41	12	11
1989	50003	Agón	96	33	63	54	9	15	35	31	4	9	3	1	2	9	25	22	3	51	21	10	2	12
1989	50004	Aguarón	328	63	265	151	114	54	240	136	104	5	18	10	8	4	7	5	2	239	38	29	10	12
1989	50005	Aguilón	154	115	39	37	2	94	27	26	1	7	1	1	0	14	11	10	1	113	10	4	5	22
1989	50006	Ainzón	455	266	189	160	29	196	124	108	16	28	4	4	0	42	61	48	13	324	53	22	15	41
1989	50007	Aladrén	113	55	58	58	0	51	44	44	0	3	4	4	0	1	10	10	0	106	3	0	2	2
1989	50008	Alagón	830	479	351	346	5	452	313	308	5	11	6	6	0	16	32	32	0	633	86	34	15	62
1989	50009	Alarba	192	120	72	56	16	49	36	25	11	31	0	0	0	40	36	31	5	135	10	8	13	26
1989	50010	Alberite de San Juan	25	11	14	9	5	10	8	5	3	1	0	0	0	0	6	4	2	11	3	3	2	6
1989	50011	Albeta	4	1	3	3	0	1	3	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0
1989	50012	Alborge	11	2	9	8	1	2	8	7	1	0	0	0	0	0	1	1	0	5	4	0	1	1
1989	50013	Alcalá de Ebro	125	77	48	48	0	68	43	43	0	6	2	2	0	3	3	3	0	86	15	15	6	3
1989	50014	Alcalá de Moncayo	62	40	22	18	4	27	18	14	4	8	0	0	0	5	4	4	0	38	7	4	5	8
1989	50015	Alconchel de Ariza	107	86	21	15	6	47	18	13	5	19	0	0	0	20	3	2	1	54	13	18	7	15
1989	50016	Aldehuela de Liestos	17	13	4	4	0	13	3	3	0	0	0	0	0	0	1	1	0	5	0	5	3	4
1989	50017	Alfajarín	294	144	150	141	9	115	117	108	9	4	2	2	0	25	31	31	0	199	20	10	3	62
