Municipio código	Municipio nombre	SAU (Ha.)	Superficie total (Ha.)	Porcentaje de SAU sobre la superficie total de explotaciones (%)
50066	Cadrete	727,37	775,07	93,8457171610306
50067	Calatayud	7042,33	11996,41	58,7036455072809
50068	Calatorao	3003,11	3085,91	97,3168368487739
50069	Calcena	302,14	2381,14	12,6888801162468
50070	Calmarza	861,51	863,63	99,7545245070227
50071	Campillo de Aragón	3456,65	3583,42	96,462318120678
50072	Carenas	113,15	531,4	21,2928114414753
50073	Cariñena	6559,87	6779,77	96,7565271388262
50074	Caspe	26284,93	27658,97	95,0322083577226
50075	Castejón de Alarba	591,47	637,42	92,7912522355747
50076	Castejón de las Armas	119,3	132,09	90,3172079642668
50077	Castejón de Valdejasa	3345	5886,9	56,8210773072415
50078	Castiliscar	2882,95	3011,46	95,7326346688981
50079	Cervera de la Cañada	1855,91	1876,22	98,9175043438403
50080	Cerveruela	920,41	2233,64	41,2067298221737
50081	Cetina	5663,58	5825,19	97,2256698923125
50082	Cimballa	721,82	734,48	98,2763315542969
50083	Cinco Olivas	272,08	497,88	54,6477062746043
50084	Clarés de Ribota	760,45	914,7	83,1365475019132
50085	Codo	964,88	969,1	99,5645444226602
50086	Codos	1707,84	2032,39	84,0311160751627
50087	Contamina	491,54	510,11	96,3596087118465
50088	Cosuenda	1625,1	2036,22	79,8096472876212
50089	Cuarte de Huerva	189,27	191,42	98,8768153797931
50090	Cubel	4264,24	4564,1	93,4300300168708
50091	Cuerlas (Las)	1576,19	1949,72	80,8418644728474
50092	Chiprana	3196,43	3452,84	92,573939134162
50093	Chodes	826,26	877,73	94,136009934718
50094	Daroca	2194,56	2287,43	95,9399850487228
50095	Ejea de los Caballeros	44551,85	46268,88	96,2890175859022
50096	Embid de Ariza	2197,29	2213,39	99,2726089844085
50098	Encinacorba	844,57	993,55	85,005284082331
50099	Épila	13393,26	13677,32	97,9231311397262
50100	Erla	1593,35	1607,84	99,0987909244701
50101	Escatrón	3427,24	3683,94	93,031916915042
50102	Fabara	4713,97	4817,43	97,8523818716619
50104	Farlete	8185,84	8341,39	98,13520288585
50105	Fayón	961,22	1134,55	84,7225772332643
50106	Fayos (Los)	48,1	49,46	97,250303275374
50107	Figueruelas	1323,52	1366,62	96,8462337738362
50108	Fombuena	1207,45	2285,62	52,8281166598122
50109	Frago (El)	182,98	411,8	44,4341913550267
50110	Frasno (El)	1418,47	1907,17	74,3756455900628
50111	Fréscano	1267,43	1355,39	93,5103549531869
50113	Fuendejalón	5422,39	5494,92	98,6800535767582
50114	Fuendetodos	1836,45	1840,48	99,7810353820742
50115	Fuentes de Ebro	12202,7	12587,97	96,9393794233701
50116	Fuentes de Jiloca	1331,86	1654,51	80,4987579404174
50117	Gallocanta	2233,76	2401,13	93,0295319287169
50118	Gallur	3440,86	3592,87	95,7691205081175
50119	Gelsa	6555,95	6652,81	98,5440738575128
50120	Godojos	817,29	854,49	95,6465259979637
50121	Gotor	611,6	860,82	71,0485351176785
50122	Grisel	429,81	430,22	99,9046999209707
50123	Grisén	179,43	179,85	99,76647206005
50124	Herrera de los Navarros	8318,77	8876,89	93,7126628808062
50125	Ibdes	2358,69	2390,82	98,6561096192938
50126	Illueca	1692,45	1747,59	96,8447976928227
50128	Isuerre	523,85	688,77	76,0558677062009
50129	Jaraba	992,96	998,51	99,4441718160058
50130	Jarque	2846,32	4334,42	65,6678402185298
50131	Jaulín	3199,74	3284,21	97,4279963826917
50132	Joyosa (La)	293,75	295,43	99,4313373726433
50133	Lagata	1603,15	1603,89	99,9538621725929
50134	Langa del Castillo	3041,72	3045,3	99,8824417955538
50135	Layana	417,85	419,35	99,6423035650411
50136	Lécera	9995,78	10176,2	98,2270395629017
50137	Leciñena	14031,4	17664,87	79,4310968606053
50138	Lechón	1357,59	1373,99	98,8063959708586
50139	Letux	2669,53	2682,21	99,5272555094493
50140	Litago	297,03	431,43	68,8477852722342
50141	Lituénigo	468,28	698,58	67,0331243379427
50142	Lobera de Onsella	699,25	882,05	79,2755512726036
50143	Longares	4236,01	4338,25	97,6432893447819
50144	Longás	786,12	986,78	79,6651735949249
50146	Lucena de Jalón	619,82	652,46	94,9973944762897
50147	Luceni	1997,36	2095,11	95,3343738514923
50148	Luesia	5487,24	9894,66	55,4565796096076
50149	Luesma	1060,91	1076,68	98,535312256195
50150	Lumpiaque	2598,7	2619,46	99,2074702419583
50151	Luna	13258,14	16379,92	80,9414209593209
50152	Maella	7413,56	12670,32	58,5112293927857
50153	Magallón	4643,48	4732,41	98,1208306127322
50154	Mainar	2725,83	2755,02	98,9404795609469
50155	Malanquilla	2101	2148,79	97,7759576319696
50156	Maleján	17,31	17,31	100
50157	Malón	432,11	444,18	97,2826331667342
50159	Maluenda	1535,84	2251,18	68,2237759752663
50160	Mallén	3614,39	3695,13	97,8149618551986
50161	Manchones	522,2	547,11	95,4469850669884
50162	Mara	1498,33	1515,87	98,8429086926979
50163	María de Huerva	2445,95	2546,94	96,0348496627325
50164	Mediana de Aragón	5393,39	5615,17	96,05034219801
50165	Mequinenza	6132,31	7867,86	77,9412699260028
50166	Mesones de Isuela	4233,92	4997,76	84,7163529261109
50167	Mezalocha	3934,56	4378,13	89,8685055034912
50168	Mianos	599,39	632,71	94,7337642837951
50169	Miedes de Aragón	3238,24	3358,34	96,4238284390502
50170	Monegrillo	10763,23	10940,32	98,381308773418
50171	Moneva	3704,64	3745,7	98,9038097017914
50172	Monreal de Ariza	4442,66	4524,2	98,1976924097078
50173	Monterde	3758,53	3766,44	99,7899873620713
50174	Montón	220,34	1359,31	16,2096946244786
50175	Morata de Jalón	1357,24	1950,61	69,5802851415711
50176	Morata de Jiloca	1458,73	1684,24	86,6105780648839
50177	Morés	1892,91	1917,56	98,7145121925781
50178	Moros	1239,86	1878,27	66,010743929254
50179	Moyuela	4393,96	4436,42	99,0429219956632
50180	Mozota	544,49	545,72	99,7746096899509
50181	Muel	5407,36	5642,74	95,8286222650698
50182	Muela (La)	6974,25	14103,69	49,4498248330756
50183	Munébrega	1245,84	1322,06	94,234754852276
50184	Murero	401,26	460,21	87,1906303643989
50185	Murillo de Gállego	1096,28	1402,44	78,1694760560167
50186	Navardún	1623,61	1783,51	91,0345330275692
50187	Nigüella	2347,35	2347,39	99,9982959797903
50188	Nombrevilla	796,7	933,06	85,3857201037447
50189	Nonaspe	1693,92	1812,05	93,4808642145636
50190	Novallas	918,89	1009,36	91,0368946659269
50191	Novillas	2391,81	2595,42	92,1550269320572
50192	Nuévalos	1065,15	1134,88	93,8557380516002
50193	Nuez de Ebro	512,15	538,07	95,1827829092869
50194	Olvés	772,85	1457,6	53,0220911086718
50195	Orcajo	464,84	493,06	94,2765586338377
50196	Orera	364,78	393,34	92,7391061168455
50197	Orés	1615,23	4200,28	38,4552934566267
50198	Oseja	50,86	51,57	98,6232305604033
50199	Osera de Ebro	1222,17	1349,12	90,5901624762808
50200	Paniza	2252,26	2497,55	90,1787751996957
50201	Paracuellos de Jiloca	661,78	696,75	94,9809831359885
50202	Paracuellos de la Ribera	352,04	406,5	86,6027060270603
50203	Pastriz	838,02	889,3	94,2336669290453
50204	Pedrola	8961,7	9215,58	97,245100145623
50205	Pedrosas (Las)	1133,76	1168,69	97,0111834618248
50206	Perdiguera	7167,87	7214,22	99,3575189001722
50207	Piedratajada	1911,52	2123,2	90,0301431801055
50208	Pina de Ebro	15950,54	17856,8	89,3247390349895
50209	Pinseque	1172,59	1187	98,7860151642797
50210	Pintanos (Los)	1874,41	2167,4	86,4819599520162
50211	Plasencia de Jalón	3268,3	3289,4	99,3585456314221
50212	Pleitas	56,64	57,02	99,3335671694142
50213	Plenas	2481,24	2613,59	94,9360840835785
50214	Pomer	962,3	1146,98	83,8985858515406
50215	Pozuel de Ariza	845,37	897,01	94,2430965095149
50216	Pozuelo de Aragón	3145,57	3170,28	99,2205735770973
50217	Pradilla de Ebro	1471,67	1556,59	94,544485060292
50218	Puebla de Albortón	4815,31	4840,73	99,4748725915306
50219	Puebla de Alfindén (La)	1419,94	1437,61	98,770876663351
50220	Puendeluna	192,26	196,14	98,0218211481595
50221	Purujosa	616,5	1716,7	35,9119240403099
50222	Quinto	9755,62	10284,87	94,8540914955658
50223	Remolinos	1467,8	1901,1	77,2079322497501
50224	Retascón	1938,39	1971,6	98,315581253804
50225	Ricla	5681,8	7808,64	72,7629907384641
50227	Romanos	1629,84	1902,55	85,6660797350924
50228	Rueda de Jalón	8528,68	8994,09	94,8253797771648
50229	Ruesca	622,85	638,99	97,4741388754128
50230	Sádaba	10161,78	10525,59	96,5435666789225
50231	Salillas de Jalón	79,88	79,88	100
50232	Salvatierra de Esca	1820,86	3263,77	55,7900832472876
50233	Samper del Salz	736,55	736,98	99,9416537762219
50234	San Martín de la Virgen de Moncayo	376	386,03	97,4017563401808
50235	San Mateo de Gállego	5222,84	5245,76	99,563075703044
50236	Santa Cruz de Grío	1149,34	1378,28	83,3894419131091
50237	Santa Cruz de Moncayo	88,93	141,54	62,8302953228769
50238	Santa Eulalia de Gállego	218,17	433,52	50,3252445100572
50239	Santed	1331,63	1751,72	76,0184276025849
50240	Sástago	15365,13	15963,09	96,2541086970004
50241	Saviñán	588,03	664,58	88,4814469288874
50242	Sediles	727,09	744,79	97,6234911854348
50243	Sestrica	2205,42	2476,66	89,0481535616516
50244	Sierra de Luna	3775,25	3843,41	98,2265748384898
50245	Sigüés	1821,08	4198,87	43,3707164070333
50246	Sisamón	1947,51	1950,8	99,8313512405167
50247	Sobradiel	784,5	784,5	100
50248	Sos del Rey Católico	10821,51	12747,81	84,8891691984741
50249	Tabuenca	1983,13	2134,23	92,9201632438866
50250	Talamantes	985,49	1506,99	65,3945945228568
50251	Tarazona	9091,06	20573,49	44,1882247494227
50252	Tauste	27570	29073,95	94,8271562687561
50253	Terrer	1479,09	1508,08	98,0776881863031
50254	Tierga	4118,22	6121,51	67,2745776777298
50255	Tobed	498,47	791,13	63,0073439257771
50256	Torralba de los Frailes	2598	2733,73	95,0349888247925
50257	Torralba de Ribota	606,31	640,58	94,6501607917824
50258	Torralbilla	983,38	1016,53	96,7389058857092
50259	Torrehermosa	2175,52	2199,37	98,9155985577688
50260	Torrelapaja	446,53	1448,37	30,8298293944227
50261	Torrellas	98,44	99,94	98,4990994596758
50262	Torres de Berrellén	1455,64	1629,94	89,3063548351473
50263	Torrijo de la Cañada	1843,78	1951,06	94,5014504935778
50264	Tosos	3023,78	4308,49	70,1818966737767
50265	Trasmoz	418,19	435,15	96,1024933930828
50266	Trasobares	5264,6	5553,1	94,8047036790261
50267	Uncastillo	8479,2	10352,1	81,90801866288
50268	Undués de Lerda	2024,18	2551,01	79,3481797405733
50269	Urrea de Jalón	1060,89	1067,36	99,3938315095188
50270	Urriés	798,07	967,13	82,5194131088892
50271	Used	6226,15	6450,43	96,5230224961747
50272	Utebo	1045,36	1056,29	98,9652462865312
50273	Valdehorna	271,35	359,75	75,4273801250869
50274	Val de San Martín	1458,14	1469,47	99,2289737116103
50275	Valmadrid	926,42	926,97	99,9406669039991
50276	Valpalmas	2796,98	2996,74	93,3340897108191
50277	Valtorres	110,55	124,39	88,8737036739288
50278	Velilla de Ebro	2947,76	2989,15	98,6153254269608
50279	Velilla de Jiloca	336,26	340,64	98,7141850634101
50280	Vera de Moncayo	1495,24	1595,34	93,7254754472401
50281	Vierlas	149,03	149,23	99,8659786906118
50282	Vilueña (La)	349,76	384,85	90,8821618812524
50283	Villadoz	1560,3	1562,94	99,8310875657415
50284	Villafeliche	199,36	554,87	35,9291365545083
50285	Villafranca de Ebro	2228,99	6044,43	36,8767609187301
50286	Villalba de Perejil	251,34	260,84	96,3579205643306
50287	Villalengua	1718,88	1856,44	92,5901187218547
50288	Villanueva de Gállego	4948,44	4955,53	99,8569275133033
50289	Villanueva de Jiloca	72,88	115,73	62,9741640024194
50290	Villanueva de Huerva	3659,39	3681,68	99,3945698702766
50291	Villar de los Navarros	3775,74	3807,43	99,1676800361399
50292	Villarreal de Huerva	1330,29	1660,66	80,1061023930245
50293	Villarroya de la Sierra	3048,68	3232,28	94,319799027312
50294	Villarroya del Campo	984,53	1011,15	97,367354002868
50295	Vistabella	49,28	71,38	69,0389464836089
50296	Zaida (La)	965,8	965,8	100
50297	Zaragoza	32519,45	50067,34	64,951423422934
50298	Zuera	17479,58	18542,84	94,2659269022437
50901	Biel	2829,36	4897,45	57,7721058918417
50902	Marracos	1490,96	1507,81	98,8824851937578
50903	Villamayor de Gállego	4262,94	7787,86	54,7382721312402
