Año	Provincia	Municipio	Entidad singular	Núcleo
2019	22-Huesca	22043 - Baells	220430003 - Zurita	22043000399 - *Diseminado*
2019	22-Huesca	22044 - Bailo	220440001 - Alastuey	22044000101 - Alastuey
2019	22-Huesca	22044 - Bailo	220440002 - Arbués	22044000201 - Arbués
2019	22-Huesca	22044 - Bailo	220440003 - Arrés	22044000301 - Arrés
2019	22-Huesca	22044 - Bailo	220440004 - Bailo	22044000401 - Bailo
2019	22-Huesca	22044 - Bailo	220440004 - Bailo	22044000499 - *Diseminado*
2019	22-Huesca	22044 - Bailo	220440005 - Larués	22044000501 - Larués
2019	22-Huesca	22044 - Bailo	220440005 - Larués	22044000599 - *Diseminado*
2019	22-Huesca	22045 - Baldellou	220450001 - Baldellou	22045000101 - Baldellou
2019	22-Huesca	22045 - Baldellou	220450001 - Baldellou	22045000199 - *Diseminado*
2019	22-Huesca	22046 - Ballobar	220460001 - Ballobar	22046000101 - Ballobar
2019	22-Huesca	22046 - Ballobar	220460001 - Ballobar	22046000199 - *Diseminado*
2019	22-Huesca	22047 - Banastás	220470001 - Banastás	22047000101 - Banastás
2019	22-Huesca	22047 - Banastás	220470001 - Banastás	22047000199 - *Diseminado*
2019	22-Huesca	22048 - Barbastro	220480001 - Barbastro	22048000101 - Barbastro
2019	22-Huesca	22048 - Barbastro	220480001 - Barbastro	22048000199 - *Diseminado*
2019	22-Huesca	22048 - Barbastro	220480002 - Burceat	22048000201 - Burceat
2019	22-Huesca	22048 - Barbastro	220480003 - Cregenzán	22048000301 - Cregenzán
2019	22-Huesca	22049 - Barbués	220490001 - Barbués	22049000101 - Barbués
2019	22-Huesca	22049 - Barbués	220490001 - Barbués	22049000199 - *Diseminado*
2019	22-Huesca	22050 - Barbuñales	220500001 - Barbuñales	22050000101 - Barbuñales
2019	22-Huesca	22051 - Bárcabo	220510001 - Almazorre	22051000101 - Almazorre
2019	22-Huesca	22051 - Bárcabo	220510002 - Bárcabo	22051000201 - Bárcabo
2019	22-Huesca	22051 - Bárcabo	220510003 - Betorz	22051000301 - Betorz
2019	22-Huesca	22051 - Bárcabo	220510004 - Eripol	22051000401 - Eripol
2019	22-Huesca	22051 - Bárcabo	220510005 - Hospitaled	22051000501 - Hospitaled
2019	22-Huesca	22051 - Bárcabo	220510006 - Lecina	22051000601 - Lecina
2019	22-Huesca	22051 - Bárcabo	220510007 - Santa María de la Nuez	22051000701 - Santa María de la Nuez
2019	22-Huesca	22051 - Bárcabo	220510007 - Santa María de la Nuez	22051000799 - *Diseminado*
2019	22-Huesca	22051 - Bárcabo	220510008 - Suelves	22051000801 - Suelves
2019	22-Huesca	22052 - Belver de Cinca	220520001 - Belver de Cinca	22052000101 - Belver de Cinca
2019	22-Huesca	22052 - Belver de Cinca	220520001 - Belver de Cinca	22052000199 - *Diseminado*
2019	22-Huesca	22052 - Belver de Cinca	220520002 - Monte Julia	22052000201 - Monte Julia
2019	22-Huesca	22052 - Belver de Cinca	220520003 - San Miguel	22052000301 - San Miguel
2019	22-Huesca	22052 - Belver de Cinca	220520004 - Valonga	22052000401 - Valonga
2019	22-Huesca	22053 - Benabarre	220530001 - Aler	22053000101 - Aler
2019	22-Huesca	22053 - Benabarre	220530001 - Aler	22053000199 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530002 - Antenza	22053000201 - Antenza
2019	22-Huesca	22053 - Benabarre	220530002 - Antenza	22053000299 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530003 - Benabarre	22053000301 - Benabarre
2019	22-Huesca	22053 - Benabarre	220530003 - Benabarre	22053000399 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530004 - Caladrones	22053000401 - Caladrones
2019	22-Huesca	22053 - Benabarre	220530004 - Caladrones	22053000499 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530005 - Castillo del Pla	22053000501 - Castillo del Pla
2019	22-Huesca	22053 - Benabarre	220530005 - Castillo del Pla	22053000599 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530006 - Ciscar	22053000601 - Ciscar
2019	22-Huesca	22053 - Benabarre	220530007 - Estaña	22053000701 - Estaña
2019	22-Huesca	22053 - Benabarre	220530008 - Pilzán	22053000801 - Pilzán
2019	22-Huesca	22053 - Benabarre	220530008 - Pilzán	22053000899 - *Diseminado*
2019	22-Huesca	22053 - Benabarre	220530009 - Purroy de la Solana	22053000901 - Purroy de la Solana
2019	22-Huesca	22053 - Benabarre	220530009 - Purroy de la Solana	22053000902 - Purroy viejo
2019	22-Huesca	22053 - Benabarre	220530009 - Purroy de la Solana	22053000999 - *Diseminado*
2019	22-Huesca	22054 - Benasque	220540001 - Anciles	22054000101 - Anciles
2019	22-Huesca	22054 - Benasque	220540001 - Anciles	22054000199 - *Diseminado*
2019	22-Huesca	22054 - Benasque	220540002 - Benasque	22054000201 - Benasque
