Régimen de tenencia	Régimen de tenencia, código	Municipio codigo	Municipio nombre	Nº viviendas
Propia, por compra, totalmente pagada	1	44159	Moscardón	11,019086183
Propia, por compra, totalmente pagada	1	44160	Mosqueruela	156,7254266661
Propia, por compra, totalmente pagada	1	44161	Muniesa	151,7035195057
Propia, por compra, totalmente pagada	1	44163	Noguera de Albarracín	20,1959493919
Propia, por compra, totalmente pagada	1	44164	Nogueras	4,1003336176
Propia, por compra, totalmente pagada	1	44165	Nogueruelas	33,0159662907
Propia, por compra, totalmente pagada	1	44167	Obón	6,0345598423
Propia, por compra, totalmente pagada	1	44168	Odón	30,1086928405
Propia, por compra, totalmente pagada	1	44169	Ojos Negros	90,8400847043
Propia, por compra, totalmente pagada	1	44171	Olba	55,8056656455
Propia, por compra, totalmente pagada	1	44172	Oliete	121,8971403871
Propia, por compra, totalmente pagada	1	44173	Olmos (Los)	22,21893087
Propia, por compra, totalmente pagada	1	44174	Orihuela del Tremedal	84,8717937892
Propia, por compra, totalmente pagada	1	44175	Orrios	21,4272430888
Propia, por compra, totalmente pagada	1	44176	Palomar de Arroyos	34,1409103247
Propia, por compra, totalmente pagada	1	44177	Pancrudo	28,2051308226
Propia, por compra, totalmente pagada	1	44178	Parras de Castellote (Las)	8,3016559363
Propia, por compra, totalmente pagada	1	44179	Peñarroya de Tastavins	61,7267997829
Propia, por compra, totalmente pagada	1	44180	Peracense	21,29320246
Propia, por compra, totalmente pagada	1	44181	Peralejos	15,1433153208
Propia, por compra, totalmente pagada	1	44182	Perales del Alfambra	58,3733577331
Propia, por compra, totalmente pagada	1	44183	Pitarque	20,6387587975
Propia, por compra, totalmente pagada	1	44184	Plou	1,3123181337
Propia, por compra, totalmente pagada	1	44185	Pobo (El)	17,9110697344
Propia, por compra, totalmente pagada	1	44187	Portellada (La)	34,1187275024
Propia, por compra, totalmente pagada	1	44189	Pozondón	10,4147560937
Propia, por compra, totalmente pagada	1	44190	Pozuel del Campo	13,1466644154
Propia, por compra, totalmente pagada	1	44191	Puebla de Híjar (La)	176,0569637582
Propia, por compra, totalmente pagada	1	44192	Puebla de Valverde (La)	100,4448841697
Propia, por compra, totalmente pagada	1	44193	Puertomingalvo	37,8839843798
Propia, por compra, totalmente pagada	1	44194	Ráfales	24,1720055611
Propia, por compra, totalmente pagada	1	44195	Rillo	13,0223059922
Propia, por compra, totalmente pagada	1	44196	Riodeva	32,0822284808
Propia, por compra, totalmente pagada	1	44197	Ródenas	16,3089869093
Propia, por compra, totalmente pagada	1	44198	Royuela	43,5431691236
Propia, por compra, totalmente pagada	1	44199	Rubiales	10,9261591723
Propia, por compra, totalmente pagada	1	44200	Rubielos de la Cérida	7,087670481
Propia, por compra, totalmente pagada	1	44201	Rubielos de Mora	86,7647147095
Propia, por compra, totalmente pagada	1	44204	Saldón	1,237655929
Propia, por compra, totalmente pagada	1	44205	Samper de Calanda	179,379299734
Propia, por compra, totalmente pagada	1	44206	San Agustín	24,1209261444
Propia, por compra, totalmente pagada	1	44207	San Martín del Río	68,1962116049
Propia, por compra, totalmente pagada	1	44208	Santa Cruz de Nogueras	5,7677752176
Propia, por compra, totalmente pagada	1	44209	Santa Eulalia	243,8846545891
Propia, por compra, totalmente pagada	1	44210	Sarrión	156,6588844246
Propia, por compra, totalmente pagada	1	44211	Segura de los Baños	11,3265437268
Propia, por compra, totalmente pagada	1	44212	Seno	25,2029231218
Propia, por compra, totalmente pagada	1	44213	Singra	18,3996708732
Propia, por compra, totalmente pagada	1	44215	Terriente	38,7704820979
Propia, por compra, totalmente pagada	1	44216	Teruel	6070,2797493134
Propia, por compra, totalmente pagada	1	44217	Toril y Masegoso	4,7327575445
Propia, por compra, totalmente pagada	1	44218	Tormón	3,540425527
Propia, por compra, totalmente pagada	1	44219	Tornos	51,2178541797
