Comarca codigo	Comarca nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
12	Tarazona y el Moncayo	Equinos (caballos, mulas y asnos)	Equinos	41	4	7
12	Tarazona y el Moncayo	Gallinas ponedoras	Aves	61	6	117148
12	Tarazona y el Moncayo	Lechones de menos de 20 kg	Porcinos	52	5	12233
12	Tarazona y el Moncayo	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	43885
12	Tarazona y el Moncayo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	87
12	Tarazona y el Moncayo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1667
12	Tarazona y el Moncayo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	14047
12	Tarazona y el Moncayo	Ovejas madres y corderas para reposición	Ovinos	21	2	20273
12	Tarazona y el Moncayo	Pollos de carne	Aves	62	6	247439
12	Tarazona y el Moncayo	Vacas	Bovinos	11	1	81
13	Campo de Borja	Bovinos de entre uno y dos años	Bovinos	13	1	4760
13	Campo de Borja	Bovinos de menos de un año	Bovinos	14	1	5955
13	Campo de Borja	Cabras madres y chivas de reposición	Caprinos	31	3	224
13	Campo de Borja	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	9527
13	Campo de Borja	Colmenas	Colmenas	81	8	490
13	Campo de Borja	Conejas madres	Conejas madres	71	7	5
13	Campo de Borja	Equinos (caballos, mulas y asnos)	Equinos	41	4	384
13	Campo de Borja	Gallinas ponedoras	Aves	61	6	116
13	Campo de Borja	Lechones de menos de 20 kg	Porcinos	52	5	14269
13	Campo de Borja	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	2690
13	Campo de Borja	Otros bovinos de dos años o más	Bovinos	12	1	211
13	Campo de Borja	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	39
13	Campo de Borja	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	4822
13	Campo de Borja	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	85532
13	Campo de Borja	Ovejas madres y corderas para reposición	Ovinos	21	2	28988
13	Campo de Borja	Pollos de carne	Aves	62	6	22011
13	Campo de Borja	Vacas	Bovinos	11	1	1269
14	Aranda	Bovinos de menos de un año	Bovinos	14	1	64
14	Aranda	Cabras madres y chivas de reposición	Caprinos	31	3	713
14	Aranda	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	670
14	Aranda	Colmenas	Colmenas	81	8	751
14	Aranda	Conejas madres	Conejas madres	71	7	413
14	Aranda	Equinos (caballos, mulas y asnos)	Equinos	41	4	12
14	Aranda	Gallinas ponedoras	Aves	61	6	79
14	Aranda	Lechones de menos de 20 kg	Porcinos	52	5	1710
14	Aranda	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	81
14	Aranda	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3614
14	Aranda	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	4836
14	Aranda	Ovejas madres y corderas para reposición	Ovinos	21	2	29941
14	Aranda	Pollos de carne	Aves	62	6	65606
15	Ribera Alta del Ebro	Bovinos de entre uno y dos años	Bovinos	13	1	1499
15	Ribera Alta del Ebro	Bovinos de menos de un año	Bovinos	14	1	5316
15	Ribera Alta del Ebro	Cabras madres y chivas de reposición	Caprinos	31	3	334
15	Ribera Alta del Ebro	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	5242
15	Ribera Alta del Ebro	Colmenas	Colmenas	81	8	106
15	Ribera Alta del Ebro	Conejas madres	Conejas madres	71	7	13
15	Ribera Alta del Ebro	Equinos (caballos, mulas y asnos)	Equinos	41	4	35
15	Ribera Alta del Ebro	Gallinas ponedoras	Aves	61	6	187
15	Ribera Alta del Ebro	Lechones de menos de 20 kg	Porcinos	52	5	15622
15	Ribera Alta del Ebro	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	69
15	Ribera Alta del Ebro	Otros bovinos de dos años o más	Bovinos	12	1	635
15	Ribera Alta del Ebro	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	58
15	Ribera Alta del Ebro	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1905
15	Ribera Alta del Ebro	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	46264
15	Ribera Alta del Ebro	Ovejas madres y corderas para reposición	Ovinos	21	2	18655
15	Ribera Alta del Ebro	Pollos de carne	Aves	62	6	84964
15	Ribera Alta del Ebro	Vacas	Bovinos	11	1	1587
16	Valdejalón	Bovinos de entre uno y dos años	Bovinos	13	1	1181
16	Valdejalón	Bovinos de menos de un año	Bovinos	14	1	1161
16	Valdejalón	Cabras madres y chivas de reposición	Caprinos	31	3	609
16	Valdejalón	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	18833
16	Valdejalón	Colmenas	Colmenas	81	8	1964
16	Valdejalón	Conejas madres	Conejas madres	71	7	302
16	Valdejalón	Equinos (caballos, mulas y asnos)	Equinos	41	4	18
16	Valdejalón	Gallinas ponedoras	Aves	61	6	1154429
16	Valdejalón	Lechones de menos de 20 kg	Porcinos	52	5	56519
16	Valdejalón	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	4
16	Valdejalón	Otros bovinos de dos años o más	Bovinos	12	1	60
16	Valdejalón	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	64
16	Valdejalón	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	11017
16	Valdejalón	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	27644
16	Valdejalón	Ovejas madres y corderas para reposición	Ovinos	21	2	52683
16	Valdejalón	Pollos de carne	Aves	62	6	714368
16	Valdejalón	Vacas	Bovinos	11	1	147
17	D.C. Zaragoza	Bovinos de entre uno y dos años	Bovinos	13	1	3765
17	D.C. Zaragoza	Bovinos de menos de un año	Bovinos	14	1	4402
17	D.C. Zaragoza	Cabras madres y chivas de reposición	Caprinos	31	3	1671
17	D.C. Zaragoza	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	12815
17	D.C. Zaragoza	Colmenas	Colmenas	81	8	74
17	D.C. Zaragoza	Conejas madres	Conejas madres	71	7	1050
17	D.C. Zaragoza	Equinos (caballos, mulas y asnos)	Equinos	41	4	211
17	D.C. Zaragoza	Gallinas ponedoras	Aves	61	6	287716
17	D.C. Zaragoza	Lechones de menos de 20 kg	Porcinos	52	5	32466
17	D.C. Zaragoza	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	65
17	D.C. Zaragoza	Otros bovinos de dos años o más	Bovinos	12	1	778
17	D.C. Zaragoza	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	207
17	D.C. Zaragoza	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	11572
17	D.C. Zaragoza	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	64646
17	D.C. Zaragoza	Ovejas madres y corderas para reposición	Ovinos	21	2	70471
17	D.C. Zaragoza	Pollos de carne	Aves	62	6	683052
17	D.C. Zaragoza	Vacas	Bovinos	11	1	1852
18	Ribera Baja del Ebro	Bovinos de entre uno y dos años	Bovinos	13	1	2518
18	Ribera Baja del Ebro	Bovinos de menos de un año	Bovinos	14	1	3722
18	Ribera Baja del Ebro	Cabras madres y chivas de reposición	Caprinos	31	3	163
18	Ribera Baja del Ebro	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	760
18	Ribera Baja del Ebro	Colmenas	Colmenas	81	8	611
18	Ribera Baja del Ebro	Equinos (caballos, mulas y asnos)	Equinos	41	4	13
18	Ribera Baja del Ebro	Gallinas ponedoras	Aves	61	6	25
18	Ribera Baja del Ebro	Lechones de menos de 20 kg	Porcinos	52	5	3004
18	Ribera Baja del Ebro	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	218000
18	Ribera Baja del Ebro	Otros bovinos de dos años o más	Bovinos	12	1	174
18	Ribera Baja del Ebro	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	65
18	Ribera Baja del Ebro	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2666
18	Ribera Baja del Ebro	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	79674
18	Ribera Baja del Ebro	Ovejas madres y corderas para reposición	Ovinos	21	2	38464
18	Ribera Baja del Ebro	Pollos de carne	Aves	62	6	279000
18	Ribera Baja del Ebro	Vacas	Bovinos	11	1	739
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bovinos de entre uno y dos años	Bovinos	13	1	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bovinos de menos de un año	Bovinos	14	1	859
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Cabras madres y chivas de reposición	Caprinos	31	3	1104
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	38148
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Colmenas	Colmenas	81	8	518
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Conejas madres	Conejas madres	71	7	13968
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equinos (caballos, mulas y asnos)	Equinos	41	4	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Gallinas ponedoras	Aves	61	6	58584
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Lechones de menos de 20 kg	Porcinos	52	5	88603
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	84
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	5748
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	141557
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ovejas madres y corderas para reposición	Ovinos	21	2	29318
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Pollos de carne	Aves	62	6	572460
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Vacas	Bovinos	11	1	24
20	Comunidad de Calatayud	Bovinos de entre uno y dos años	Bovinos	13	1	971
20	Comunidad de Calatayud	Bovinos de menos de un año	Bovinos	14	1	1262
20	Comunidad de Calatayud	Cabras madres y chivas de reposición	Caprinos	31	3	1095
20	Comunidad de Calatayud	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	4140
20	Comunidad de Calatayud	Colmenas	Colmenas	81	8	2619
20	Comunidad de Calatayud	Conejas madres	Conejas madres	71	7	2597
20	Comunidad de Calatayud	Equinos (caballos, mulas y asnos)	Equinos	41	4	75
20	Comunidad de Calatayud	Gallinas ponedoras	Aves	61	6	193348
20	Comunidad de Calatayud	Lechones de menos de 20 kg	Porcinos	52	5	11683
20	Comunidad de Calatayud	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	14110
20	Comunidad de Calatayud	Otros bovinos de dos años o más	Bovinos	12	1	8
20	Comunidad de Calatayud	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	176
20	Comunidad de Calatayud	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	7878
