Año	Personas	VAB	VAB per cápita	Comarca código	Comarca nombre
2016	5775	121897,4	21107,7748917749	24	Campo de Daroca
2016	12705	203688,7	16032,168437623	25	Jiloca
2016	8400	125367,1	14924,6547619048	26	Cuencas Mineras
2016	10458	211368,5	20211,1780455154	27	Andorra-Sierra de Arcos
2016	29042	560381,8	19295,5650437298	28	Bajo Aragón
2016	46144	1234499,5	26753,1965152566	29	Comunidad de Teruel
2016	3262	60035,4	18404,475781729	30	Maestrazgo
2016	4560	71029,7	15576,6885964912	31	Sierra de Albarracín
2016	7605	163085,4	21444,4970414201	32	Gúdar-Javalambre
2016	8277	165145,1	19952,2894768636	33	Matarraña / Matarranya
2015	18080	354655,9	19615,9236725664	01	La Jacetania
2015	13766	300523,1	21830,8223158506	02	Alto Gállego
2015	7556	179269,3	23725,4235044997	03	Sobrarbe
2015	12376	311071,7	25135,0759534583	04	La Ribagorza
2015	31108	737560,8	23709,6823968111	05	Cinco Villas
2015	67806	1661883,9	24509,3929740731	06	Hoya de Huesca / Plana de Uesca
2015	23925	505146,3	21113,7429467085	07	Somontano de Barbastro
2015	23979	471032,8	19643,5547770966	08	Cinca Medio
2015	18516	424055,2	22902,095484986	09	La Litera / La Llitera
2015	19566	383419,9	19596,2332617806	10	Los Monegros
2015	24619	561321,2	22800,3249522726	11	Bajo Cinca / Baix Cinca
2015	14258	232987,1	16340,7981484079	12	Tarazona y el Moncayo
2015	14346	295464,3	20595,5876202426	13	Campo de Borja
2015	7082	159844,4	22570,5168031629	14	Aranda
2015	27141	936246,6	34495,6560185697	15	Ribera Alta del Ebro
2015	28763	702390,7	24419,9388102771	16	Valdejalón
2015	742656	16976180,9	22858,740655162	17	Central
2015	8964	350072,8	39053,1905399375	18	Ribera Baja del Ebro
2015	14908	306443,2	20555,6211430105	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	38362	600314,5	15648,6757729003	20	Comunidad de Calatayud
2015	10352	241178,3	23297,7492272025	21	Campo de Cariñena
2015	4885	102817	21047,4923234391	22	Campo de Belchite
2015	6619	115375	17430,8807977036	23	Bajo Martín
2015	5901	109193,8	18504,2874089137	24	Campo de Daroca
2015	12980	198631,5	15302,8890600924	25	Jiloca
2015	8591	128618,7	14971,3304621115	26	Cuencas Mineras
2015	10743	232906,8	21679,8659592293	27	Andorra-Sierra de Arcos
2015	29410	598898,6	20363,7742264536	28	Bajo Aragón
2015	46426	1225711,9	26401,41084737	29	Comunidad de Teruel
2015	3333	59012,7	17705,5805580558	30	Maestrazgo
2015	4652	71819,3	15438,3705932932	31	Sierra de Albarracín
2015	7793	160685	20619,1453868857	32	Gúdar-Javalambre
2015	8385	157485,7	18781,8366129994	33	Matarraña / Matarranya
2014	18235	353413,3	19381,0419522896	01	La Jacetania
2014	14139	294692,5	20842,5277600962	02	Alto Gállego
2014	7633	176950,7	23182,3267391589	03	Sobrarbe
2014	12624	311514,8	24676,3941698352	04	La Ribagorza
2014	31442	735162,7	23381,5501558425	05	Cinco Villas
2014	68286	1652025,8	24192,7452186393	06	Hoya de Huesca / Plana de Uesca
2014	24086	499685,7	20745,8980320518	07	Somontano de Barbastro
2014	24019	464251,5	19328,5107623132	08	Cinca Medio
2014	18696	427001,7	22839,2008985879	09	La Litera / La Llitera
2014	19826	394747,8	19910,612327247	10	Los Monegros
2014	24817	557658,4	22470,8224201152	11	Bajo Cinca / Baix Cinca
2014	14405	228060,2	15832,0166608816	12	Tarazona y el Moncayo
2014	14600	287693,9	19705,0616438356	13	Campo de Borja
2014	7168	158688,8	22138,5044642857	14	Aranda
2014	27379	914478,3	33400,7195295665	15	Ribera Alta del Ebro
2014	29179	678427,5	23250,5397717537	16	Valdejalón
2014	743147	16533233,5	22247,5950249412	17	Central
2014	9102	347987,5	38231,981981982	18	Ribera Baja del Ebro
2014	14994	305529,8	20376,8040549553	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	39587	595113,3	15033,0487281178	20	Comunidad de Calatayud
2014	10663	235386,1	22075,0351683391	21	Campo de Cariñena
2014	4967	107134,8	21569,3174954701	22	Campo de Belchite
2014	6689	116509,3	17418,044550755	23	Bajo Martín
2014	6026	108987,8	18086,2595419847	24	Campo de Daroca
2014	13205	207533,4	15716,2741385839	25	Jiloca
2014	8701	136552,7	15693,9087461211	26	Cuencas Mineras
2014	10906	259647,1	23807,7296900789	27	Andorra-Sierra de Arcos
2014	29640	623897	21049,1565452092	28	Bajo Aragón
2014	46724	1233445	26398,5318037839	29	Comunidad de Teruel
2014	3402	62238,5	18294,6796002352	30	Maestrazgo
2014	4690	73335,7	15636,6098081023	31	Sierra de Albarracín
2014	7917	164192,9	20739,2825565239	32	Gúdar-Javalambre
2014	8491	159297,5	18760,7466729478	33	Matarraña / Matarranya
2013	18421	362098,8	19656,8481624233	01	La Jacetania
2013	14447	303277,3	20992,4067280404	02	Alto Gállego
2013	7721	184835,4	23939,3083797436	03	Sobrarbe
2013	12942	324439,9	25068,7606243239	04	La Ribagorza
2013	32074	738815,4	23034,7134750889	05	Cinco Villas
2013	68280	1655771,4	24249,7275922671	06	Hoya de Huesca / Plana de Uesca
2013	24111	499444,4	20714,379328937	07	Somontano de Barbastro
2013	24216	475533,3	19637,1531219029	08	Cinca Medio
2013	18814	425340,5	22607,6591899649	09	La Litera / La Llitera
2013	20172	417272,3	20685,7178266905	10	Los Monegros
2013	24800	563167,1	22708,3508064516	11	Bajo Cinca / Baix Cinca
2013	14471	220708,3	15251,7656001658	12	Tarazona y el Moncayo
2013	14971	284672,6	19014,935542048	13	Campo de Borja
2013	7268	148699,5	20459,4799119428	14	Aranda
2013	27765	885400,1	31889,0725733838	15	Ribera Alta del Ebro
2013	29529	658406,8	22296,9555352365	16	Valdejalón
2013	758380	16402413,6	21628,2254278858	17	Central
2013	9223	365655,3	39646,0262387509	18	Ribera Baja del Ebro
2013	15008	309043,8	20591,9376332623	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	40333	597752,7	14820,4373589864	20	Comunidad de Calatayud
2013	10802	224606,8	20793,0753564155	21	Campo de Cariñena
2013	5093	112539	22096,799528765	22	Campo de Belchite
2013	6768	114558,2	16926,4479905437	23	Bajo Martín
2013	6126	112412	18349,9836761345	24	Campo de Daroca
2013	13435	206162,1	15345,1507257164	25	Jiloca
2013	8835	137299,7	15540,4301075269	26	Cuencas Mineras
2013	11113	274614,8	24711,1311077117	27	Andorra-Sierra de Arcos
2013	29875	625459,5	20935,8828451883	28	Bajo Aragón
2013	47185	1232647,5	26123,7151637173	29	Comunidad de Teruel
2013	3464	61842,8	17853,0023094688	30	Maestrazgo
2013	4783	72857,5	15232,5946058959	31	Sierra de Albarracín
2013	8095	162290,7	20048,2643607165	32	Gúdar-Javalambre
2013	8630	158930,1	18416,0023174971	33	Matarraña / Matarranya
