Mes y año	Mes (código)	Mes nombre	Año	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Agosto 2009	200908	Agosto	2009	Otros	Mujeres	Temporal	0	3852	0	0	Aragón
Agosto 2009	200908	Agosto	2009	Otros	Mujeres	Temporal	1	6148	340216	55,33767078724788549121665582303188028627	Aragón
Julio 2009	200907	Julio	2009	A través de una ETT	Hombres	Temporal	0	1764	0	0	Aragón
Julio 2009	200907	Julio	2009	A través de una ETT	Hombres	Temporal	1	1294	17518	13,53786707882534775888717156105100463679	Aragón
Julio 2009	200907	Julio	2009	A través de una ETT	Mujeres	Temporal	0	686	0	0	Aragón
Julio 2009	200907	Julio	2009	A través de una ETT	Mujeres	Temporal	1	681	11494	16,87812041116005873715124816446402349486	Aragón
Julio 2009	200907	Julio	2009	Otros	Hombres	Temporal	0	7639	0	0	Aragón
Julio 2009	200907	Julio	2009	Otros	Hombres	Temporal	1	8550	774900	90,63157894736842105263157894736842105263	Aragón
Julio 2009	200907	Julio	2009	Otros	Mujeres	Temporal	0	5533	0	0	Aragón
Julio 2009	200907	Julio	2009	Otros	Mujeres	Temporal	1	9531	606264	63,60969468051621026125275417060119609695	Aragón
Junio 2009	200906	Junio	2009	A través de una ETT	Hombres	Temporal	0	1626	0	0	Aragón
Junio 2009	200906	Junio	2009	A través de una ETT	Hombres	Temporal	1	1225	18354	14,98285714285714285714285714285714285714	Aragón
Junio 2009	200906	Junio	2009	A través de una ETT	Mujeres	Temporal	0	855	0	0	Aragón
Junio 2009	200906	Junio	2009	A través de una ETT	Mujeres	Temporal	1	816	15239	18,67524509803921568627450980392156862745	Aragón
Junio 2009	200906	Junio	2009	Otros	Hombres	Temporal	0	8601	0	0	Aragón
Junio 2009	200906	Junio	2009	Otros	Hombres	Temporal	1	8491	925520	109,000117771758332351902013897067483218	Aragón
Junio 2009	200906	Junio	2009	Otros	Mujeres	Temporal	0	6132	0	0	Aragón
Junio 2009	200906	Junio	2009	Otros	Mujeres	Temporal	1	8599	613334	71,32620072101407140365158739388300965229	Aragón
Mayo 2009	200905	Mayo	2009	A través de una ETT	Hombres	Temporal	0	1173	0	0	Aragón
Mayo 2009	200905	Mayo	2009	A través de una ETT	Hombres	Temporal	1	995	12605	12,66834170854271356783919597989949748744	Aragón
Mayo 2009	200905	Mayo	2009	A través de una ETT	Mujeres	Temporal	0	701	0	0	Aragón
Mayo 2009	200905	Mayo	2009	A través de una ETT	Mujeres	Temporal	1	484	6558	13,54958677685950413223140495867768595041	Aragón
Mayo 2009	200905	Mayo	2009	Otros	Hombres	Temporal	0	9234	0	0	Aragón
Mayo 2009	200905	Mayo	2009	Otros	Hombres	Temporal	1	5970	678595	113,667504187604690117252931323283082077	Aragón
Mayo 2009	200905	Mayo	2009	Otros	Mujeres	Temporal	0	5571	0	0	Aragón
Mayo 2009	200905	Mayo	2009	Otros	Mujeres	Temporal	1	6075	440578	72,52312757201646090534979423868312757202	Aragón
Abril 2009	200904	Abril	2009	A través de una ETT	Hombres	Temporal	0	970	0	0	Aragón
Abril 2009	200904	Abril	2009	A través de una ETT	Hombres	Temporal	1	938	10510	11,20469083155650319829424307036247334755	Aragón
Abril 2009	200904	Abril	2009	A través de una ETT	Mujeres	Temporal	0	526	0	0	Aragón
Abril 2009	200904	Abril	2009	A través de una ETT	Mujeres	Temporal	1	564	7668	13,59574468085106382978723404255319148936	Aragón
Abril 2009	200904	Abril	2009	Otros	Hombres	Temporal	0	5567	0	0	Aragón
Abril 2009	200904	Abril	2009	Otros	Hombres	Temporal	1	4661	617633	132,510834584853035829221197167989701781	Aragón
Abril 2009	200904	Abril	2009	Otros	Mujeres	Temporal	0	3827	0	0	Aragón
Abril 2009	200904	Abril	2009	Otros	Mujeres	Temporal	1	5551	417951	75,29292019455953882183390380111691587101	Aragón
Marzo 2009	200903	Marzo	2009	A través de una ETT	Hombres	Temporal	0	916	0	0	Aragón
Marzo 2009	200903	Marzo	2009	A través de una ETT	Hombres	Temporal	1	891	12213	13,70707070707070707070707070707070707071	Aragón
Marzo 2009	200903	Marzo	2009	A través de una ETT	Mujeres	Temporal	0	652	0	0	Aragón
Marzo 2009	200903	Marzo	2009	A través de una ETT	Mujeres	Temporal	1	521	6714	12,88675623800383877159309021113243761996	Aragón
Marzo 2009	200903	Marzo	2009	Otros	Hombres	Temporal	0	5042	0	0	Aragón
Marzo 2009	200903	Marzo	2009	Otros	Hombres	Temporal	1	4809	684596	142,357246828862549386566853815762112705	Aragón
Marzo 2009	200903	Marzo	2009	Otros	Mujeres	Temporal	0	3555	0	0	Aragón
Marzo 2009	200903	Marzo	2009	Otros	Mujeres	Temporal	1	5677	438073	77,16628500968821560683459573718513299278	Aragón
Febrero 2009	200902	Febrero	2009	A través de una ETT	Hombres	Temporal	0	740	0	0	Aragón
Febrero 2009	200902	Febrero	2009	A través de una ETT	Hombres	Temporal	1	728	8827	12,125	Aragón
Febrero 2009	200902	Febrero	2009	A través de una ETT	Mujeres	Temporal	0	746	0	0	Aragón
Febrero 2009	200902	Febrero	2009	A través de una ETT	Mujeres	Temporal	1	525	5136	9,78285714285714285714285714285714285714	Aragón
Febrero 2009	200902	Febrero	2009	Otros	Hombres	Temporal	0	4817	0	0	Aragón
Febrero 2009	200902	Febrero	2009	Otros	Hombres	Temporal	1	4323	597741	138,269951422623178348369188063844552394	Aragón
Febrero 2009	200902	Febrero	2009	Otros	Mujeres	Temporal	0	3372	0	0	Aragón
Febrero 2009	200902	Febrero	2009	Otros	Mujeres	Temporal	1	5107	417327	81,71666340317211670256510671627178382612	Aragón
Enero 2009	200901	Enero	2009	A través de una ETT	Hombres	Temporal	0	773	0	0	Aragón
Enero 2009	200901	Enero	2009	A través de una ETT	Hombres	Temporal	1	771	12799	16,60051880674448767833981841763942931258	Aragón
Enero 2009	200901	Enero	2009	A través de una ETT	Mujeres	Temporal	0	726	0	0	Aragón
Enero 2009	200901	Enero	2009	A través de una ETT	Mujeres	Temporal	1	552	10317	18,69021739130434782608695652173913043478	Aragón
Enero 2009	200901	Enero	2009	Otros	Hombres	Temporal	0	5043	0	0	Aragón
