Comarca codigo	Comarca nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
11	Bajo Cinca / Baix Cinca	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	781,7130931981
12	Tarazona y el Moncayo	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	553,7070295287
13	Campo de Borja	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	506,7762367346
14	Aranda	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	154,0325126897
15	Ribera Alta del Ebro	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1642,8250838885
16	Valdejalón	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1517,0682491139
17	D.C. Zaragoza	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	46696,040065578
18	Ribera Baja del Ebro	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	428,6356794153
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	512,6547102257
20	Comunidad de Calatayud	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	1710,0743746463
