Año	Grupo Antigüedad	Nº Accidentes	Temporalidad	CCAA
2007	De 10 a 12 meses	8	Sin clasificar	Aragón
2007	De 13 meses a 3 años	3383	Indefinido	Aragón
2007	De 13 meses a 3 años	1426	Temporal	Aragón
2007	De 13 meses a 3 años	5		Aragón
2007	De 13 meses a 3 años	33	Sin clasificar	Aragón
2007	De 37 meses a 10 años	4410	Indefinido	Aragón
2007	De 37 meses a 10 años	372	Temporal	Aragón
2007	De 37 meses a 10 años	51	Sin clasificar	Aragón
2007	De 37 meses a 10 años	9		Aragón
2007	Más de 10 años	2639	Indefinido	Aragón
2007	Más de 10 años	33	Temporal	Aragón
2007	Más de 10 años	54	Sin clasificar	Aragón
2007	Más de 10 años	7		Aragón
2006	Hasta 3 meses	480	Indefinido	Aragón
2006	Hasta 3 meses	5632	Temporal	Aragón
2006	Hasta 3 meses	7	Sin clasificar	Aragón
2006	De 4 a 6 meses	367	Indefinido	Aragón
2006	De 4 a 6 meses	2025	Temporal	Aragón
2006	De 4 a 6 meses	4	Sin clasificar	Aragón
2006	De 7 a 9 meses	395	Indefinido	Aragón
2006	De 7 a 9 meses	1127	Temporal	Aragón
2006	De 7 a 9 meses	4	Sin clasificar	Aragón
2006	De 10 a 12 meses	489	Indefinido	Aragón
2006	De 10 a 12 meses	784	Temporal	Aragón
2006	De 10 a 12 meses	4	Sin clasificar	Aragón
2006	De 13 meses a 3 años	2993	Indefinido	Aragón
2006	De 13 meses a 3 años	1509	Temporal	Aragón
2006	De 13 meses a 3 años	38	Sin clasificar	Aragón
2006	De 37 meses a 10 años	4329	Indefinido	Aragón
2006	De 37 meses a 10 años	431	Temporal	Aragón
2006	De 37 meses a 10 años	52	Sin clasificar	Aragón
2006	Más de 10 años	2583	Indefinido	Aragón
2006	Más de 10 años	38	Temporal	Aragón
2006	Más de 10 años	60	Sin clasificar	Aragón
2005	Hasta 3 meses	453	Indefinido	Aragón
2005	Hasta 3 meses	5015	Temporal	Aragón
2005	Hasta 3 meses	2	Sin clasificar	Aragón
2005	De 4 a 6 meses	379	Indefinido	Aragón
2005	De 4 a 6 meses	2000	Temporal	Aragón
2005	De 4 a 6 meses	6	Sin clasificar	Aragón
2005	De 7 a 9 meses	357	Indefinido	Aragón
2005	De 7 a 9 meses	1111	Temporal	Aragón
2005	De 7 a 9 meses	2	Sin clasificar	Aragón
2005	De 10 a 12 meses	386	Indefinido	Aragón
2005	De 10 a 12 meses	696	Temporal	Aragón
2005	De 10 a 12 meses	1	Sin clasificar	Aragón
2005	De 13 meses a 3 años	2810	Indefinido	Aragón
2005	De 13 meses a 3 años	1568	Temporal	Aragón
2005	De 13 meses a 3 años	16	Sin clasificar	Aragón
2005	De 37 meses a 10 años	4089	Indefinido	Aragón
2005	De 37 meses a 10 años	407	Temporal	Aragón
2005	De 37 meses a 10 años	15	Sin clasificar	Aragón
2005	Más de 10 años	2615	Indefinido	Aragón
2005	Más de 10 años	34	Temporal	Aragón
2005	Más de 10 años	27	Sin clasificar	Aragón
2004	Hasta 3 meses	406	Indefinido	Aragón
2004	Hasta 3 meses	4799	Temporal	Aragón
2004	Hasta 3 meses	1		Aragón
2004	De 4 a 6 meses	371	Indefinido	Aragón
2004	De 4 a 6 meses	1700	Temporal	Aragón
2004	De 7 a 9 meses	343	Indefinido	Aragón
2004	De 7 a 9 meses	1087	Temporal	Aragón
2004	De 7 a 9 meses	1		Aragón
2004	De 10 a 12 meses	441	Indefinido	Aragón
2004	De 10 a 12 meses	703	Temporal	Aragón
2004	De 13 meses a 3 años	2639	Indefinido	Aragón
2004	De 13 meses a 3 años	1504	Temporal	Aragón
2004	De 13 meses a 3 años	2		Aragón
2004	De 37 meses a 10 años	3709	Indefinido	Aragón
2004	De 37 meses a 10 años	431	Temporal	Aragón
2004	De 37 meses a 10 años	1		Aragón
2004	Más de 10 años	2624	Indefinido	Aragón
2004	Más de 10 años	40	Temporal	Aragón
2003	Hasta 3 meses	548	Indefinido	Aragón
2003	Hasta 3 meses	5077	Temporal	Aragón
2003	Hasta 3 meses	27		Aragón
2003	De 4 a 6 meses	321	Indefinido	Aragón
2003	De 4 a 6 meses	1644	Temporal	Aragón
2003	De 4 a 6 meses	6		Aragón
2003	De 7 a 9 meses	328	Indefinido	Aragón
2003	De 7 a 9 meses	1024	Temporal	Aragón
2003	De 7 a 9 meses	6		Aragón
2003	De 10 a 12 meses	370	Indefinido	Aragón
2003	De 10 a 12 meses	666	Temporal	Aragón
2003	De 10 a 12 meses	4		Aragón
2003	De 13 meses a 3 años	2596	Indefinido	Aragón
2003	De 13 meses a 3 años	1520	Temporal	Aragón
2003	De 13 meses a 3 años	11		Aragón
2003	De 37 meses a 10 años	3228	Indefinido	Aragón
2003	De 37 meses a 10 años	396	Temporal	Aragón
2003	De 37 meses a 10 años	14		Aragón
2003	Más de 10 años	2942	Indefinido	Aragón
2003	Más de 10 años	74	Temporal	Aragón
2003	Más de 10 años	6		Aragón
