Comarca codigo	Comarca nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
22	Campo de Belchite	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	39
22	Campo de Belchite	Ovinos	Ovejas madres y corderas para reposición	49
22	Campo de Belchite	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	6
22	Campo de Belchite	Porcinos	Lechones de menos de 20 kg	7
22	Campo de Belchite	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	27
23	Bajo Martín	Aves	Gallinas ponedoras	6
23	Bajo Martín	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	2
23	Bajo Martín	Aves	Pollos de carne	3
23	Bajo Martín	Bovinos	Bovinos de entre uno y dos años	12
23	Bajo Martín	Bovinos	Bovinos de menos de un año	57
23	Bajo Martín	Bovinos	Otros bovinos de dos años o más	3
23	Bajo Martín	Bovinos	Vacas	3
23	Bajo Martín	Caprinos	Cabras madres y chivas de reposición	24
23	Bajo Martín	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	19
23	Bajo Martín	Colmenas	Colmenas	3
23	Bajo Martín	Conejas madres	Conejas madres	1
23	Bajo Martín	Equinos	Equinos (caballos, mulas y asnos)	2
23	Bajo Martín	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	46
23	Bajo Martín	Ovinos	Ovejas madres y corderas para reposición	57
23	Bajo Martín	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	7
23	Bajo Martín	Porcinos	Lechones de menos de 20 kg	10
23	Bajo Martín	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	31
24	Campo de Daroca	Aves	Gallinas ponedoras	13
24	Campo de Daroca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
24	Campo de Daroca	Aves	Pollos de carne	7
24	Campo de Daroca	Bovinos	Bovinos de entre uno y dos años	15
24	Campo de Daroca	Bovinos	Bovinos de menos de un año	14
24	Campo de Daroca	Bovinos	Otros bovinos de dos años o más	1
24	Campo de Daroca	Bovinos	Vacas	1
24	Campo de Daroca	Caprinos	Cabras madres y chivas de reposición	28
24	Campo de Daroca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	17
24	Campo de Daroca	Colmenas	Colmenas	9
24	Campo de Daroca	Conejas madres	Conejas madres	3
24	Campo de Daroca	Equinos	Equinos (caballos, mulas y asnos)	4
24	Campo de Daroca	Otros animales no de compañía	Otros animales no de compañía	1
24	Campo de Daroca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	52
24	Campo de Daroca	Ovinos	Ovejas madres y corderas para reposición	71
24	Campo de Daroca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	16
24	Campo de Daroca	Porcinos	Lechones de menos de 20 kg	15
24	Campo de Daroca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	29
25	Jiloca	Aves	Gallinas ponedoras	72
25	Jiloca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
25	Jiloca	Aves	Pollos de carne	20
25	Jiloca	Bovinos	Bovinos de entre uno y dos años	4
25	Jiloca	Bovinos	Bovinos de menos de un año	11
25	Jiloca	Bovinos	Otros bovinos de dos años o más	2
25	Jiloca	Caprinos	Cabras madres y chivas de reposición	42
25	Jiloca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	24
25	Jiloca	Colmenas	Colmenas	6
25	Jiloca	Conejas madres	Conejas madres	60
25	Jiloca	Equinos	Equinos (caballos, mulas y asnos)	12
25	Jiloca	Otros animales no de compañía	Otros animales no de compañía	10
25	Jiloca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	175
25	Jiloca	Ovinos	Ovejas madres y corderas para reposición	245
25	Jiloca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	40
25	Jiloca	Porcinos	Lechones de menos de 20 kg	37
25	Jiloca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	111
26	Cuencas Mineras	Aves	Gallinas ponedoras	45
26	Cuencas Mineras	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
26	Cuencas Mineras	Aves	Pollos de carne	14
26	Cuencas Mineras	Bovinos	Bovinos de entre uno y dos años	20
26	Cuencas Mineras	Bovinos	Bovinos de menos de un año	11
26	Cuencas Mineras	Bovinos	Otros bovinos de dos años o más	13
26	Cuencas Mineras	Bovinos	Vacas	12
26	Cuencas Mineras	Caprinos	Cabras madres y chivas de reposición	47
26	Cuencas Mineras	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	40
26	Cuencas Mineras	Colmenas	Colmenas	23
26	Cuencas Mineras	Conejas madres	Conejas madres	22
26	Cuencas Mineras	Equinos	Equinos (caballos, mulas y asnos)	4
26	Cuencas Mineras	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	95
26	Cuencas Mineras	Ovinos	Ovejas madres y corderas para reposición	125
26	Cuencas Mineras	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	3
26	Cuencas Mineras	Porcinos	Lechones de menos de 20 kg	1
26	Cuencas Mineras	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	9
27	Andorra-Sierra de Arcos	Aves	Gallinas ponedoras	22
27	Andorra-Sierra de Arcos	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
27	Andorra-Sierra de Arcos	Aves	Pollos de carne	5
27	Andorra-Sierra de Arcos	Bovinos	Bovinos de menos de un año	3
27	Andorra-Sierra de Arcos	Caprinos	Cabras madres y chivas de reposición	24
27	Andorra-Sierra de Arcos	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	16
27	Andorra-Sierra de Arcos	Colmenas	Colmenas	17
27	Andorra-Sierra de Arcos	Conejas madres	Conejas madres	10
27	Andorra-Sierra de Arcos	Equinos	Equinos (caballos, mulas y asnos)	4
27	Andorra-Sierra de Arcos	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	43
27	Andorra-Sierra de Arcos	Ovinos	Ovejas madres y corderas para reposición	55
27	Andorra-Sierra de Arcos	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	6
27	Andorra-Sierra de Arcos	Porcinos	Lechones de menos de 20 kg	5
27	Andorra-Sierra de Arcos	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	14
28	Bajo Aragón	Aves	Gallinas ponedoras	38
28	Bajo Aragón	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
28	Bajo Aragón	Aves	Pollos de carne	26
28	Bajo Aragón	Bovinos	Bovinos de entre uno y dos años	11
28	Bajo Aragón	Bovinos	Bovinos de menos de un año	23
28	Bajo Aragón	Bovinos	Otros bovinos de dos años o más	7
28	Bajo Aragón	Bovinos	Vacas	7
28	Bajo Aragón	Caprinos	Cabras madres y chivas de reposición	39
28	Bajo Aragón	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	33
28	Bajo Aragón	Colmenas	Colmenas	13
28	Bajo Aragón	Conejas madres	Conejas madres	37
28	Bajo Aragón	Equinos	Equinos (caballos, mulas y asnos)	11
28	Bajo Aragón	Otros animales no de compañía	Otros animales no de compañía	3
28	Bajo Aragón	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	95
28	Bajo Aragón	Ovinos	Ovejas madres y corderas para reposición	134
28	Bajo Aragón	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	46
28	Bajo Aragón	Porcinos	Lechones de menos de 20 kg	43
28	Bajo Aragón	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	99
29	Comunidad de Teruel	Aves	Gallinas ponedoras	154
29	Comunidad de Teruel	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	21
29	Comunidad de Teruel	Aves	Pollos de carne	51
29	Comunidad de Teruel	Bovinos	Bovinos de entre uno y dos años	24
29	Comunidad de Teruel	Bovinos	Bovinos de menos de un año	28
29	Comunidad de Teruel	Bovinos	Otros bovinos de dos años o más	18
29	Comunidad de Teruel	Bovinos	Vacas	21
29	Comunidad de Teruel	Caprinos	Cabras madres y chivas de reposición	66
29	Comunidad de Teruel	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	39
29	Comunidad de Teruel	Colmenas	Colmenas	12
29	Comunidad de Teruel	Conejas madres	Conejas madres	78
29	Comunidad de Teruel	Equinos	Equinos (caballos, mulas y asnos)	37
29	Comunidad de Teruel	Otros animales no de compañía	Otros animales no de compañía	9
29	Comunidad de Teruel	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	292
29	Comunidad de Teruel	Ovinos	Ovejas madres y corderas para reposición	365
29	Comunidad de Teruel	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	23
29	Comunidad de Teruel	Porcinos	Lechones de menos de 20 kg	17
29	Comunidad de Teruel	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	53
30	Maestrazgo	Aves	Gallinas ponedoras	51
30	Maestrazgo	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	6
30	Maestrazgo	Aves	Pollos de carne	18
30	Maestrazgo	Bovinos	Bovinos de entre uno y dos años	61
30	Maestrazgo	Bovinos	Bovinos de menos de un año	66
30	Maestrazgo	Bovinos	Otros bovinos de dos años o más	94
30	Maestrazgo	Bovinos	Vacas	95
30	Maestrazgo	Caprinos	Cabras madres y chivas de reposición	72
30	Maestrazgo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	48
30	Maestrazgo	Colmenas	Colmenas	19
30	Maestrazgo	Conejas madres	Conejas madres	38
30	Maestrazgo	Equinos	Equinos (caballos, mulas y asnos)	21
30	Maestrazgo	Otros animales no de compañía	Otros animales no de compañía	6
30	Maestrazgo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	117
30	Maestrazgo	Ovinos	Ovejas madres y corderas para reposición	136
30	Maestrazgo	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	44
30	Maestrazgo	Porcinos	Lechones de menos de 20 kg	36
30	Maestrazgo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	59
31	Sierra de Albarracín	Aves	Gallinas ponedoras	24
31	Sierra de Albarracín	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
31	Sierra de Albarracín	Aves	Pollos de carne	6
31	Sierra de Albarracín	Bovinos	Bovinos de entre uno y dos años	11
31	Sierra de Albarracín	Bovinos	Bovinos de menos de un año	10
31	Sierra de Albarracín	Bovinos	Otros bovinos de dos años o más	11
31	Sierra de Albarracín	Bovinos	Vacas	12
31	Sierra de Albarracín	Caprinos	Cabras madres y chivas de reposición	82
31	Sierra de Albarracín	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	61
31	Sierra de Albarracín	Colmenas	Colmenas	7
31	Sierra de Albarracín	Conejas madres	Conejas madres	10
31	Sierra de Albarracín	Equinos	Equinos (caballos, mulas y asnos)	15
31	Sierra de Albarracín	Otros animales no de compañía	Otros animales no de compañía	1
31	Sierra de Albarracín	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	106
31	Sierra de Albarracín	Ovinos	Ovejas madres y corderas para reposición	138
31	Sierra de Albarracín	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
31	Sierra de Albarracín	Porcinos	Lechones de menos de 20 kg	3
31	Sierra de Albarracín	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	5
32	Gúdar-Javalambre	Aves	Gallinas ponedoras	60
32	Gúdar-Javalambre	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	8
32	Gúdar-Javalambre	Aves	Pollos de carne	13
32	Gúdar-Javalambre	Bovinos	Bovinos de entre uno y dos años	49
32	Gúdar-Javalambre	Bovinos	Bovinos de menos de un año	56
32	Gúdar-Javalambre	Bovinos	Otros bovinos de dos años o más	81
32	Gúdar-Javalambre	Bovinos	Vacas	77
32	Gúdar-Javalambre	Caprinos	Cabras madres y chivas de reposición	104
32	Gúdar-Javalambre	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	60
32	Gúdar-Javalambre	Colmenas	Colmenas	13
32	Gúdar-Javalambre	Conejas madres	Conejas madres	27
32	Gúdar-Javalambre	Equinos	Equinos (caballos, mulas y asnos)	28
32	Gúdar-Javalambre	Otros animales no de compañía	Otros animales no de compañía	13
32	Gúdar-Javalambre	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	153
32	Gúdar-Javalambre	Ovinos	Ovejas madres y corderas para reposición	201
32	Gúdar-Javalambre	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	12
32	Gúdar-Javalambre	Porcinos	Lechones de menos de 20 kg	13
32	Gúdar-Javalambre	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	15
33	Matarraña / Matarranya	Aves	Gallinas ponedoras	21
33	Matarraña / Matarranya	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	5
33	Matarraña / Matarranya	Aves	Pollos de carne	49
33	Matarraña / Matarranya	Bovinos	Bovinos de entre uno y dos años	14
33	Matarraña / Matarranya	Bovinos	Bovinos de menos de un año	22
33	Matarraña / Matarranya	Bovinos	Otros bovinos de dos años o más	13
33	Matarraña / Matarranya	Bovinos	Vacas	14
33	Matarraña / Matarranya	Caprinos	Cabras madres y chivas de reposición	26
33	Matarraña / Matarranya	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	16
33	Matarraña / Matarranya	Colmenas	Colmenas	17
33	Matarraña / Matarranya	Conejas madres	Conejas madres	59
33	Matarraña / Matarranya	Equinos	Equinos (caballos, mulas y asnos)	10
33	Matarraña / Matarranya	Otros animales no de compañía	Otros animales no de compañía	2
33	Matarraña / Matarranya	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	66
33	Matarraña / Matarranya	Ovinos	Ovejas madres y corderas para reposición	80
33	Matarraña / Matarranya	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	58
33	Matarraña / Matarranya	Porcinos	Lechones de menos de 20 kg	56
33	Matarraña / Matarranya	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	130
