Municipio código	Municipio nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
22081	Casbas de Huesca	Vacas	Bovinos	11	1	50
22082	Castejón del Puente	Bovinos de entre uno y dos años	Bovinos	13	1	25
22082	Castejón del Puente	Cabras madres y chivas de reposición	Caprinos	31	3	68
22082	Castejón del Puente	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1000
22082	Castejón del Puente	Equinos (caballos, mulas y asnos)	Equinos	41	4	14
22082	Castejón del Puente	Gallinas ponedoras	Aves	61	6	8
22082	Castejón del Puente	Lechones de menos de 20 kg	Porcinos	52	5	4000
22082	Castejón del Puente	Otros bovinos de dos años o más	Bovinos	12	1	111
22082	Castejón del Puente	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	7
22082	Castejón del Puente	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	43
22082	Castejón del Puente	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	4
22082	Castejón del Puente	Ovejas madres y corderas para reposición	Ovinos	21	2	1275
22083	Castejón de Monegros	Bovinos de menos de un año	Bovinos	14	1	165
22083	Castejón de Monegros	Cabras madres y chivas de reposición	Caprinos	31	3	120
22083	Castejón de Monegros	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1920
22083	Castejón de Monegros	Colmenas	Colmenas	81	8	225
22083	Castejón de Monegros	Equinos (caballos, mulas y asnos)	Equinos	41	4	5
22083	Castejón de Monegros	Gallinas ponedoras	Aves	61	6	18
22083	Castejón de Monegros	Lechones de menos de 20 kg	Porcinos	52	5	4120
22083	Castejón de Monegros	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	44
22083	Castejón de Monegros	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	797
22083	Castejón de Monegros	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	34400
22083	Castejón de Monegros	Ovejas madres y corderas para reposición	Ovinos	21	2	6168
22083	Castejón de Monegros	Pollos de carne	Aves	62	6	36001
22084	Castejón de Sos	Bovinos de entre uno y dos años	Bovinos	13	1	8
22084	Castejón de Sos	Bovinos de menos de un año	Bovinos	14	1	948
22084	Castejón de Sos	Cabras madres y chivas de reposición	Caprinos	31	3	44
22084	Castejón de Sos	Equinos (caballos, mulas y asnos)	Equinos	41	4	36
22084	Castejón de Sos	Otros bovinos de dos años o más	Bovinos	12	1	37
22084	Castejón de Sos	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	10
22084	Castejón de Sos	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	455
22084	Castejón de Sos	Ovejas madres y corderas para reposición	Ovinos	21	2	1825
22084	Castejón de Sos	Vacas	Bovinos	11	1	208
22085	Castelflorite	Bovinos de menos de un año	Bovinos	14	1	120
22085	Castelflorite	Cabras madres y chivas de reposición	Caprinos	31	3	160
22085	Castelflorite	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	856
22085	Castelflorite	Colmenas	Colmenas	81	8	12
22085	Castelflorite	Gallinas ponedoras	Aves	61	6	11
22085	Castelflorite	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	30
22085	Castelflorite	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	51
22085	Castelflorite	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	5356
22085	Castelflorite	Ovejas madres y corderas para reposición	Ovinos	21	2	1832
22086	Castiello de Jaca	Cabras madres y chivas de reposición	Caprinos	31	3	15
22086	Castiello de Jaca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	11
22086	Castiello de Jaca	Conejas madres	Conejas madres	71	7	1
22086	Castiello de Jaca	Gallinas ponedoras	Aves	61	6	48202
22086	Castiello de Jaca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	9
22086	Castiello de Jaca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	31
22086	Castiello de Jaca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2
22086	Castiello de Jaca	Ovejas madres y corderas para reposición	Ovinos	21	2	838
22086	Castiello de Jaca	Pollos de carne	Aves	62	6	12
22087	Castigaleu	Bovinos de entre uno y dos años	Bovinos	13	1	9
22087	Castigaleu	Bovinos de menos de un año	Bovinos	14	1	463
22087	Castigaleu	Cabras madres y chivas de reposición	Caprinos	31	3	25
22087	Castigaleu	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	160
22087	Castigaleu	Conejas madres	Conejas madres	71	7	2
22087	Castigaleu	Gallinas ponedoras	Aves	61	6	10
22087	Castigaleu	Lechones de menos de 20 kg	Porcinos	52	5	400
22087	Castigaleu	Otros bovinos de dos años o más	Bovinos	12	1	8
22087	Castigaleu	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	26
22087	Castigaleu	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	823
22087	Castigaleu	Ovejas madres y corderas para reposición	Ovinos	21	2	1291
22087	Castigaleu	Pollos de carne	Aves	62	6	10
22087	Castigaleu	Vacas	Bovinos	11	1	35
22088	Castillazuelo	Bovinos de entre uno y dos años	Bovinos	13	1	350
22088	Castillazuelo	Bovinos de menos de un año	Bovinos	14	1	150
22088	Castillazuelo	Conejas madres	Conejas madres	71	7	551
22088	Castillazuelo	Gallinas ponedoras	Aves	61	6	3
22088	Castillazuelo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2691
22089	Castillonroy	Bovinos de menos de un año	Bovinos	14	1	456
22089	Castillonroy	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2350
22089	Castillonroy	Colmenas	Colmenas	81	8	25
22089	Castillonroy	Conejas madres	Conejas madres	71	7	500
22089	Castillonroy	Gallinas ponedoras	Aves	61	6	6
22089	Castillonroy	Lechones de menos de 20 kg	Porcinos	52	5	8052
22089	Castillonroy	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	10
22089	Castillonroy	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	11884
22089	Castillonroy	Ovejas madres y corderas para reposición	Ovinos	21	2	1933
22089	Castillonroy	Pollos de carne	Aves	62	6	32000
22090	Colungo	Cabras madres y chivas de reposición	Caprinos	31	3	25
22090	Colungo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	200
22090	Colungo	Colmenas	Colmenas	81	8	214
22090	Colungo	Conejas madres	Conejas madres	71	7	300
22090	Colungo	Lechones de menos de 20 kg	Porcinos	52	5	565
22090	Colungo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22090	Colungo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	58
22090	Colungo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	22
22090	Colungo	Ovejas madres y corderas para reposición	Ovinos	21	2	2272
22094	Chalamera	Bovinos de entre uno y dos años	Bovinos	13	1	150
22094	Chalamera	Bovinos de menos de un año	Bovinos	14	1	1315
22094	Chalamera	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	700
22094	Chalamera	Gallinas ponedoras	Aves	61	6	10
22094	Chalamera	Lechones de menos de 20 kg	Porcinos	52	5	2200
22094	Chalamera	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	8009
22094	Chalamera	Ovejas madres y corderas para reposición	Ovinos	21	2	554
22094	Chalamera	Pollos de carne	Aves	62	6	3
22094	Chalamera	Vacas	Bovinos	11	1	6
22095	Chía	Bovinos de entre uno y dos años	Bovinos	13	1	26
22095	Chía	Bovinos de menos de un año	Bovinos	14	1	135
22095	Chía	Conejas madres	Conejas madres	71	7	1
22095	Chía	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22095	Chía	Gallinas ponedoras	Aves	61	6	6
22095	Chía	Otros bovinos de dos años o más	Bovinos	12	1	12
22095	Chía	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	15
22095	Chía	Ovejas madres y corderas para reposición	Ovinos	21	2	850
22095	Chía	Vacas	Bovinos	11	1	355
22096	Chimillas	Conejas madres	Conejas madres	71	7	2
22096	Chimillas	Gallinas ponedoras	Aves	61	6	12
22096	Chimillas	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	11
22096	Chimillas	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2
22096	Chimillas	Ovejas madres y corderas para reposición	Ovinos	21	2	497
22096	Chimillas	Pollos de carne	Aves	62	6	10
22099	Esplús	Bovinos de entre uno y dos años	Bovinos	13	1	234
22099	Esplús	Bovinos de menos de un año	Bovinos	14	1	3735
22099	Esplús	Conejas madres	Conejas madres	71	7	160
22099	Esplús	Gallinas ponedoras	Aves	61	6	6
22099	Esplús	Lechones de menos de 20 kg	Porcinos	52	5	4802
22099	Esplús	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1200
22099	Esplús	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	20017
22099	Esplús	Pollos de carne	Aves	62	6	216200
22099	Esplús	Vacas	Bovinos	11	1	1
22102	Estada	Bovinos de menos de un año	Bovinos	14	1	100
22102	Estada	Cabras madres y chivas de reposición	Caprinos	31	3	15
22102	Estada	Conejas madres	Conejas madres	71	7	400
22102	Estada	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22102	Estada	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	6
22102	Estada	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	1435
22102	Estada	Ovejas madres y corderas para reposición	Ovinos	21	2	237
22102	Estada	Pollos de carne	Aves	62	6	120000
22103	Estadilla	Bovinos de entre uno y dos años	Bovinos	13	1	239
22103	Estadilla	Bovinos de menos de un año	Bovinos	14	1	995
22103	Estadilla	Cabras madres y chivas de reposición	Caprinos	31	3	43
22103	Estadilla	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2510
22103	Estadilla	Conejas madres	Conejas madres	71	7	200
22103	Estadilla	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22103	Estadilla	Gallinas ponedoras	Aves	61	6	24
22103	Estadilla	Lechones de menos de 20 kg	Porcinos	52	5	6100
22103	Estadilla	Otros bovinos de dos años o más	Bovinos	12	1	2
22103	Estadilla	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	9
22103	Estadilla	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	277
22103	Estadilla	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	21889
22103	Estadilla	Ovejas madres y corderas para reposición	Ovinos	21	2	1415
22103	Estadilla	Vacas	Bovinos	11	1	41
22105	Estopiñán del Castillo	Bovinos de entre uno y dos años	Bovinos	13	1	460
22105	Estopiñán del Castillo	Bovinos de menos de un año	Bovinos	14	1	1677
22105	Estopiñán del Castillo	Cabras madres y chivas de reposición	Caprinos	31	3	53
22105	Estopiñán del Castillo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	4649
22105	Estopiñán del Castillo	Colmenas	Colmenas	81	8	42
22105	Estopiñán del Castillo	Conejas madres	Conejas madres	71	7	2
22105	Estopiñán del Castillo	Equinos (caballos, mulas y asnos)	Equinos	41	4	38
22105	Estopiñán del Castillo	Gallinas ponedoras	Aves	61	6	25
22105	Estopiñán del Castillo	Lechones de menos de 20 kg	Porcinos	52	5	12098
22105	Estopiñán del Castillo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	25
22105	Estopiñán del Castillo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	333
22105	Estopiñán del Castillo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	20492
22105	Estopiñán del Castillo	Ovejas madres y corderas para reposición	Ovinos	21	2	2579
22105	Estopiñán del Castillo	Pollos de carne	Aves	62	6	240000
22107	Fanlo	Bovinos de entre uno y dos años	Bovinos	13	1	1061
22107	Fanlo	Bovinos de menos de un año	Bovinos	14	1	895
22107	Fanlo	Cabras madres y chivas de reposición	Caprinos	31	3	329
22107	Fanlo	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22107	Fanlo	Gallinas ponedoras	Aves	61	6	4
22107	Fanlo	Otros bovinos de dos años o más	Bovinos	12	1	178
22107	Fanlo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	23
22107	Fanlo	Ovejas madres y corderas para reposición	Ovinos	21	2	2111
22107	Fanlo	Vacas	Bovinos	11	1	158
22109	Fiscal	Bovinos de entre uno y dos años	Bovinos	13	1	147
22109	Fiscal	Bovinos de menos de un año	Bovinos	14	1	238
22109	Fiscal	Cabras madres y chivas de reposición	Caprinos	31	3	131
22109	Fiscal	Conejas madres	Conejas madres	71	7	8
22109	Fiscal	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22109	Fiscal	Gallinas ponedoras	Aves	61	6	67
22109	Fiscal	Otros bovinos de dos años o más	Bovinos	12	1	388
22109	Fiscal	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	6
22109	Fiscal	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	25
22109	Fiscal	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3
22109	Fiscal	Ovejas madres y corderas para reposición	Ovinos	21	2	1144
22109	Fiscal	Pollos de carne	Aves	62	6	30
22109	Fiscal	Vacas	Bovinos	11	1	835
22110	Fonz	Bovinos de entre uno y dos años	Bovinos	13	1	573
22110	Fonz	Bovinos de menos de un año	Bovinos	14	1	1869
22110	Fonz	Cabras madres y chivas de reposición	Caprinos	31	3	29
22110	Fonz	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1786
22110	Fonz	Equinos (caballos, mulas y asnos)	Equinos	41	4	2
22110	Fonz	Gallinas ponedoras	Aves	61	6	85
22110	Fonz	Lechones de menos de 20 kg	Porcinos	52	5	4900
22110	Fonz	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	10002
22110	Fonz	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	1
22110	Fonz	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	754
22110	Fonz	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	35872
22110	Fonz	Ovejas madres y corderas para reposición	Ovinos	21	2	3056
22110	Fonz	Pollos de carne	Aves	62	6	315400
22111	Foradada del Toscar	Bovinos de entre uno y dos años	Bovinos	13	1	1079
22111	Foradada del Toscar	Bovinos de menos de un año	Bovinos	14	1	1669
22111	Foradada del Toscar	Cabras madres y chivas de reposición	Caprinos	31	3	152
22111	Foradada del Toscar	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	12
22111	Foradada del Toscar	Colmenas	Colmenas	81	8	15
22111	Foradada del Toscar	Conejas madres	Conejas madres	71	7	15
22111	Foradada del Toscar	Equinos (caballos, mulas y asnos)	Equinos	41	4	7
22111	Foradada del Toscar	Gallinas ponedoras	Aves	61	6	129
22111	Foradada del Toscar	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	207
22111	Foradada del Toscar	Otros bovinos de dos años o más	Bovinos	12	1	44
22111	Foradada del Toscar	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	32
22111	Foradada del Toscar	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	434
22111	Foradada del Toscar	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	5834
22111	Foradada del Toscar	Ovejas madres y corderas para reposición	Ovinos	21	2	5757
22111	Foradada del Toscar	Pollos de carne	Aves	62	6	25
22111	Foradada del Toscar	Vacas	Bovinos	11	1	101
22112	Fraga	Bovinos de entre uno y dos años	Bovinos	13	1	435
22112	Fraga	Bovinos de menos de un año	Bovinos	14	1	2187
22112	Fraga	Cabras madres y chivas de reposición	Caprinos	31	3	1118
22112	Fraga	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	22976
22112	Fraga	Colmenas	Colmenas	81	8	995
22112	Fraga	Conejas madres	Conejas madres	71	7	80
22112	Fraga	Equinos (caballos, mulas y asnos)	Equinos	41	4	7
22112	Fraga	Gallinas ponedoras	Aves	61	6	87177
22112	Fraga	Lechones de menos de 20 kg	Porcinos	52	5	50470
22112	Fraga	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	179800
22112	Fraga	Otros bovinos de dos años o más	Bovinos	12	1	764
22112	Fraga	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	183
22112	Fraga	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1803
22112	Fraga	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	96135
22112	Fraga	Ovejas madres y corderas para reposición	Ovinos	21	2	9498
22112	Fraga	Pollos de carne	Aves	62	6	498644
22112	Fraga	Vacas	Bovinos	11	1	36
22113	Fueva (La)	Bovinos de entre uno y dos años	Bovinos	13	1	759
22113	Fueva (La)	Bovinos de menos de un año	Bovinos	14	1	1228
22113	Fueva (La)	Cabras madres y chivas de reposición	Caprinos	31	3	68
22113	Fueva (La)	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3147
22113	Fueva (La)	Colmenas	Colmenas	81	8	275
22113	Fueva (La)	Conejas madres	Conejas madres	71	7	101
22113	Fueva (La)	Equinos (caballos, mulas y asnos)	Equinos	41	4	72
22113	Fueva (La)	Gallinas ponedoras	Aves	61	6	327
22113	Fueva (La)	Lechones de menos de 20 kg	Porcinos	52	5	12351
22113	Fueva (La)	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	84
22113	Fueva (La)	Otros bovinos de dos años o más	Bovinos	12	1	129
22113	Fueva (La)	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	15
22113	Fueva (La)	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	705
22113	Fueva (La)	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	8312
22113	Fueva (La)	Ovejas madres y corderas para reposición	Ovinos	21	2	8572
22113	Fueva (La)	Pollos de carne	Aves	62	6	362
22113	Fueva (La)	Vacas	Bovinos	11	1	604
22114	Gistaín	Bovinos de entre uno y dos años	Bovinos	13	1	9
22114	Gistaín	Bovinos de menos de un año	Bovinos	14	1	59
22114	Gistaín	Cabras madres y chivas de reposición	Caprinos	31	3	211
22114	Gistaín	Conejas madres	Conejas madres	71	7	34
22114	Gistaín	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22114	Gistaín	Gallinas ponedoras	Aves	61	6	105
22114	Gistaín	Otros bovinos de dos años o más	Bovinos	12	1	41
22114	Gistaín	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	47
22114	Gistaín	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	510
22114	Gistaín	Ovejas madres y corderas para reposición	Ovinos	21	2	3050
22114	Gistaín	Pollos de carne	Aves	62	6	50
22114	Gistaín	Vacas	Bovinos	11	1	152
22115	Grado (El)	Bovinos de menos de un año	Bovinos	14	1	305
22115	Grado (El)	Colmenas	Colmenas	81	8	101
22115	Grado (El)	Gallinas ponedoras	Aves	61	6	12
22115	Grado (El)	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1
22115	Grado (El)	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	7010
22115	Grado (El)	Ovejas madres y corderas para reposición	Ovinos	21	2	916
22115	Grado (El)	Pollos de carne	Aves	62	6	58000
22116	Grañén	Bovinos de entre uno y dos años	Bovinos	13	1	841
22116	Grañén	Bovinos de menos de un año	Bovinos	14	1	853
22116	Grañén	Cabras madres y chivas de reposición	Caprinos	31	3	76
22116	Grañén	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1000
22116	Grañén	Conejas madres	Conejas madres	71	7	550
22116	Grañén	Equinos (caballos, mulas y asnos)	Equinos	41	4	5
22116	Grañén	Gallinas ponedoras	Aves	61	6	443012
22116	Grañén	Lechones de menos de 20 kg	Porcinos	52	5	10000
22116	Grañén	Otros bovinos de dos años o más	Bovinos	12	1	310
22116	Grañén	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	10
22116	Grañén	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	928
22116	Grañén	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	62464
22116	Grañén	Ovejas madres y corderas para reposición	Ovinos	21	2	6323
22116	Grañén	Pollos de carne	Aves	62	6	90000
22116	Grañén	Vacas	Bovinos	11	1	396
22117	Graus	Bovinos de entre uno y dos años	Bovinos	13	1	251
22117	Graus	Bovinos de menos de un año	Bovinos	14	1	3416
22117	Graus	Cabras madres y chivas de reposición	Caprinos	31	3	135
22117	Graus	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2475
22117	Graus	Colmenas	Colmenas	81	8	617
22117	Graus	Conejas madres	Conejas madres	71	7	45
22117	Graus	Equinos (caballos, mulas y asnos)	Equinos	41	4	11
22117	Graus	Gallinas ponedoras	Aves	61	6	18270
22117	Graus	Lechones de menos de 20 kg	Porcinos	52	5	6461
22117	Graus	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	11
22117	Graus	Otros bovinos de dos años o más	Bovinos	12	1	127
22117	Graus	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	47
22117	Graus	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	542
22117	Graus	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	15745
22117	Graus	Ovejas madres y corderas para reposición	Ovinos	21	2	10130
22117	Graus	Pollos de carne	Aves	62	6	231988
22117	Graus	Vacas	Bovinos	11	1	694
22119	Gurrea de Gállego	Bovinos de entre uno y dos años	Bovinos	13	1	287
22119	Gurrea de Gállego	Bovinos de menos de un año	Bovinos	14	1	288
22119	Gurrea de Gállego	Cabras madres y chivas de reposición	Caprinos	31	3	25
22119	Gurrea de Gállego	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	300
22119	Gurrea de Gállego	Conejas madres	Conejas madres	71	7	100
22119	Gurrea de Gállego	Equinos (caballos, mulas y asnos)	Equinos	41	4	2
22119	Gurrea de Gállego	Gallinas ponedoras	Aves	61	6	32
22119	Gurrea de Gállego	Lechones de menos de 20 kg	Porcinos	52	5	6560
22119	Gurrea de Gállego	Otros bovinos de dos años o más	Bovinos	12	1	1
22119	Gurrea de Gállego	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	13
22119	Gurrea de Gállego	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2428
22119	Gurrea de Gállego	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	9301
22119	Gurrea de Gállego	Ovejas madres y corderas para reposición	Ovinos	21	2	10787
22119	Gurrea de Gállego	Vacas	Bovinos	11	1	50
22122	Hoz de Jaca	Bovinos de entre uno y dos años	Bovinos	13	1	19
22122	Hoz de Jaca	Bovinos de menos de un año	Bovinos	14	1	12
22122	Hoz de Jaca	Equinos (caballos, mulas y asnos)	Equinos	41	4	1
22122	Hoz de Jaca	Gallinas ponedoras	Aves	61	6	8
22122	Hoz de Jaca	Otros bovinos de dos años o más	Bovinos	12	1	3
22122	Hoz de Jaca	Vacas	Bovinos	11	1	91
22124	Huerto	Bovinos de entre uno y dos años	Bovinos	13	1	82
22124	Huerto	Bovinos de menos de un año	Bovinos	14	1	82
22124	Huerto	Cabras madres y chivas de reposición	Caprinos	31	3	43
22124	Huerto	Colmenas	Colmenas	81	8	5
22124	Huerto	Conejas madres	Conejas madres	71	7	1
22124	Huerto	Gallinas ponedoras	Aves	61	6	79
22124	Huerto	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	13
22124	Huerto	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	6
22124	Huerto	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	69
22124	Huerto	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2200
22124	Huerto	Ovejas madres y corderas para reposición	Ovinos	21	2	3678
22124	Huerto	Pollos de carne	Aves	62	6	15520
22125	Huesca	Bovinos de entre uno y dos años	Bovinos	13	1	810
22125	Huesca	Bovinos de menos de un año	Bovinos	14	1	1727
22125	Huesca	Cabras madres y chivas de reposición	Caprinos	31	3	220
22125	Huesca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	15458
22125	Huesca	Colmenas	Colmenas	81	8	156
22125	Huesca	Conejas madres	Conejas madres	71	7	913
22125	Huesca	Equinos (caballos, mulas y asnos)	Equinos	41	4	137
22125	Huesca	Gallinas ponedoras	Aves	61	6	196244
22125	Huesca	Lechones de menos de 20 kg	Porcinos	52	5	53736
22125	Huesca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	69
22125	Huesca	Otros bovinos de dos años o más	Bovinos	12	1	46
22125	Huesca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	4
22125	Huesca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	100
22125	Huesca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	87378
22125	Huesca	Ovejas madres y corderas para reposición	Ovinos	21	2	4479
22125	Huesca	Pollos de carne	Aves	62	6	48012
22125	Huesca	Vacas	Bovinos	11	1	412
22126	Ibieca	Cabras madres y chivas de reposición	Caprinos	31	3	60
22126	Ibieca	Equinos (caballos, mulas y asnos)	Equinos	41	4	6
22126	Ibieca	Gallinas ponedoras	Aves	61	6	50000
22126	Ibieca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	20
22126	Ibieca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	400
22126	Ibieca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2248
22126	Ibieca	Ovejas madres y corderas para reposición	Ovinos	21	2	1150
22127	Igriés	Cabras madres y chivas de reposición	Caprinos	31	3	35
22127	Igriés	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	43
22127	Igriés	Equinos (caballos, mulas y asnos)	Equinos	41	4	40
22127	Igriés	Lechones de menos de 20 kg	Porcinos	52	5	5340
22127	Igriés	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	380000
22127	Igriés	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	2
22127	Igriés	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	6
22127	Igriés	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	712
22127	Igriés	Ovejas madres y corderas para reposición	Ovinos	21	2	382
22128	Ilche	Bovinos de entre uno y dos años	Bovinos	13	1	465
22128	Ilche	Bovinos de menos de un año	Bovinos	14	1	772
22128	Ilche	Cabras madres y chivas de reposición	Caprinos	31	3	69
22128	Ilche	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	720
22128	Ilche	Colmenas	Colmenas	81	8	12
22128	Ilche	Gallinas ponedoras	Aves	61	6	36
22128	Ilche	Lechones de menos de 20 kg	Porcinos	52	5	2312
22128	Ilche	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	11
