Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
22075	Camporrells	2015	1	PP	0
22075	Camporrells	2015	2	PSOE	5
22075	Camporrells	2015	7	CHA	0
22076	Canal de Berdún	2007	1	PSOE	3
22076	Canal de Berdún	2007	3	PAR	4
22076	Canal de Berdún	2011	1	PP	1
22076	Canal de Berdún	2011	2	PSOE	3
22076	Canal de Berdún	2011	3	PAR	3
22076	Canal de Berdún	2015	1	PP	2
22076	Canal de Berdún	2015	2	PSOE	5
22077	Candasnos	2007	1	PSOE	4
22077	Candasnos	2007	2	PP	3
22077	Candasnos	2011	1	PP	4
22077	Candasnos	2011	2	PSOE	3
22077	Candasnos	2015	1	PP	4
22077	Candasnos	2015	2	PSOE	3
22078	Canfranc	2007	1	PSOE	5
22078	Canfranc	2007	2	PP	0
22078	Canfranc	2007	3	PAR	2
22078	Canfranc	2011	1	PP	1
22078	Canfranc	2011	2	PSOE	5
22078	Canfranc	2011	3	PAR	0
22078	Canfranc	2011	4	CHA	1
22078	Canfranc	2015	1	PP	0
22078	Canfranc	2015	2	PSOE	6
22078	Canfranc	2015	7	CHA	1
22079	Capdesaso	2007	1	PSOE	5
22079	Capdesaso	2007	2	PP	0
22079	Capdesaso	2007	3	PAR	0
22079	Capdesaso	2007	4	CHA	0
22079	Capdesaso	2011	1	PP	0
22079	Capdesaso	2011	2	PSOE	4
22079	Capdesaso	2011	3	PAR	1
22079	Capdesaso	2011	4	CHA	0
22079	Capdesaso	2015	1	PP	0
22079	Capdesaso	2015	2	PSOE	4
22079	Capdesaso	2015	4	PAR	1
22080	Capella	2007	1	PSOE	4
22080	Capella	2007	2	PP	0
22080	Capella	2007	3	PAR	3
22080	Capella	2011	2	PSOE	3
22080	Capella	2011	3	PAR	4
22080	Capella	2015	2	PSOE	2
22080	Capella	2015	4	PAR	5
22081	Casbas de Huesca	2007	1	PSOE	3
22081	Casbas de Huesca	2007	2	PP	4
22081	Casbas de Huesca	2011	1	PP	3
22081	Casbas de Huesca	2011	2	PSOE	1
22081	Casbas de Huesca	2011	3	PAR	3
22081	Casbas de Huesca	2015	1	PP	3
22081	Casbas de Huesca	2015	2	PSOE	1
22081	Casbas de Huesca	2015	4	PAR	3
22082	Castejón del Puente	2007	3	PAR	3
22082	Castejón del Puente	2007	20	AEI-CP	4
22082	Castejón del Puente	2011	1	PP	4
22082	Castejón del Puente	2011	2	PSOE	1
22082	Castejón del Puente	2011	3	PAR	2
22082	Castejón del Puente	2015	1	PP	4
22082	Castejón del Puente	2015	2	PSOE	1
22082	Castejón del Puente	2015	4	PAR	2
