Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2009	25	Jiloca	13315	969	112	29	3146	31	19	24	33	91	3	7510	3043	10	20825
2009	26	Cuencas Mineras	7976	862	109	20	2991	20	27	18	32	55	1	5885	1741	9	13861
2009	27	Andorra-Sierra de Arcos	7237	1273	108	17	1413	19	12	29	8	29	3	3983	1062	10	11220
2009	28	Bajo Aragón	17458	4835	537	31	2696	38	39	91	25	55	7	11122	2754	14	28580
2009	29	Comunidad de Teruel	26354	9486	802	46	4333	79	38	236	77	118	6	20287	5037	29	46641
2009	30	Maestrazgo	3605	143	29	13	2021	13	6	1	26	62	3	3045	724	4	6650
2009	31	Sierra de Albarracín	6688	321	27	36	580	18	15	8	19	53	3	3291	2204	7	9979
2009	32	Gúdar-Javalambre	11789	991	68	43	2419	30	32	13	32	72	1	7675	3961	13	19464
2009	33	Matarraña / Matarranya	7371	365	37	36	1171	34	29	8	19	43	5	3218	1462	9	10589
2010	01	La Jacetania	24926	13345	928	312	2873	36	43	90	42	108	1	19906	2109	19	44832
2010	02	Alto Gállego	18072	9844	450	193	1526	22	38	47	29	62	4	14324	2097	12	32396
2010	03	Sobrarbe	6313	1250	169	111	1927	20	24	24	39	114	1	5049	1365	5	11362
2010	04	La Ribagorza	13206	3101	294	98	2787	39	38	23	35	223	4	9402	2746	14	22608
2010	05	Cinco Villas	20248	4444	555	48	3240	70	63	102	39	91	20	11645	2950	23	31893
2010	06	Hoya de Huesca / Plana de Uesca	38575	19570	2660	104	6531	80	245	468	56	183	10	33963	4011	45	72538
2010	07	Somontano de Barbastro	14219	3919	706	120	2333	40	62	98	45	98	5	9538	2091	21	23757
2010	08	Cinca Medio	12095	3254	596	17	2447	33	23	69	15	23	5	8056	1556	18	20151
2010	09	La Litera / La Llitera	10337	2017	323	12	2447	21	43	54	15	42	0	6731	1742	15	17068
2010	10	Los Monegros	11953	396	146	31	4866	52	63	25	33	88	11	8045	2309	25	19998
2010	11	Bajo Cinca / Baix Cinca	12450	2188	423	127	3101	36	43	93	20	32	5	7387	1298	21	19837
2010	12	Tarazona y el Moncayo	11349	1393	209	23	2935	26	29	33	6	43	3	6126	1413	13	17475
2010	13	Campo de Borja	9802	635	153	23	2378	20	31	24	11	37	6	4705	1377	10	14507
2010	14	Aranda	5986	818	141	6	1953	19	13	28	13	27	2	4280	1253	7	10266
2010	15	Ribera Alta del Ebro	13832	1747	257	24	2513	30	35	105	20	32	4	7388	2601	20	21220
2010	16	Valdejalón	16284	2229	243	33	4134	31	53	90	15	30	7	10067	3185	17	26351
2010	17	Central	349449	132781	20961	510	23559	494	396	5847	124	216	40	197764	12450	386	547213
2010	18	Ribera Baja del Ebro	5709	142	51	22	1353	10	30	14	10	27	1	2729	1063	6	8438
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	8290	981	217	20	2135	22	23	18	11	21	3	4986	1522	13	13276
2010	20	Comunidad de Calatayud	33798	5720	850	56	6242	77	80	105	55	184	10	18305	4895	31	52103
2010	21	Campo de Cariñena	7617	490	70	14	1773	25	22	20	11	30	9	3728	1260	4	11345
2010	22	Campo de Belchite	5457	63	19	10	834	16	10	8	22	27	4	1702	684	5	7159
2010	23	Bajo Martín	5961	389	52	11	670	12	11	12	10	26	2	2421	1216	10	8382
2010	24	Campo de Daroca	8814	285	50	59	1131	37	24	14	24	68	0	3072	1372	8	11886
2010	25	Jiloca	13674	1087	134	33	3203	34	21	24	36	93	6	7485	2804	10	21159
2010	26	Cuencas Mineras	8111	1011	113	23	2848	21	31	16	32	57	2	5903	1740	9	14014
2010	27	Andorra-Sierra de Arcos	7462	1369	118	15	1237	26	14	27	10	31	3	3878	1017	11	11340
2010	28	Bajo Aragón	18431	5450	608	30	2772	39	49	94	26	55	7	11856	2712	14	30287
2010	29	Comunidad de Teruel	27730	10810	905	57	4574	82	59	261	74	122	6	21998	5016	32	49728
2010	30	Maestrazgo	3780	183	24	23	1960	12	13	1	28	61	3	3063	750	5	6843
