Mes y año	Mes (código)	Mes nombre	Año	Sector código	Sector descripción	Sexo	Temporalidad	Duración contrato * 1.00 / Número de contratos	Días duración contrato	Número de contratos	Duración contrato	CCAA nombre
Agosto 2018	201808	Agosto	2018	3	Construcción	Mujeres	Temporal	123,823529411764705882352941176470588235	1	34	4210	Aragón
Agosto 2018	201808	Agosto	2018	4	Servicios	Hombres	Temporal	0	0	3726	0	Aragón
Agosto 2018	201808	Agosto	2018	4	Servicios	Hombres	Temporal	38,39092210181966877939071764465344510325	1	9782	375540	Aragón
Agosto 2018	201808	Agosto	2018	4	Servicios	Mujeres	Temporal	0	0	4469	0	Aragón
Agosto 2018	201808	Agosto	2018	4	Servicios	Mujeres	Temporal	40,146499203299278282875620957915455994	1	10669	428323	Aragón
Julio 2018	201807	Julio	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	5671	0	Aragón
Julio 2018	201807	Julio	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	34,2791771620486985726280436607892527288	1	2382	81653	Aragón
Julio 2018	201807	Julio	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	0	1586	0	Aragón
Julio 2018	201807	Julio	2018	1	Agricultura, ganadería y pesca	Mujeres	Temporal	26,89764868603042876901798063623789764869	1	723	19447	Aragón
Julio 2018	201807	Julio	2018	2	Industria y energía	Hombres	Temporal	0	0	1492	0	Aragón
Julio 2018	201807	Julio	2018	2	Industria y energía	Hombres	Temporal	49,16360529688167449807774455360956856044	1	4682	230184	Aragón
Julio 2018	201807	Julio	2018	2	Industria y energía	Mujeres	Temporal	0	0	912	0	Aragón
Julio 2018	201807	Julio	2018	2	Industria y energía	Mujeres	Temporal	30,34663250366032210834553440702781844802	1	2732	82907	Aragón
Julio 2018	201807	Julio	2018	3	Construcción	Hombres	Temporal	0	0	1362	0	Aragón
Julio 2018	201807	Julio	2018	3	Construcción	Hombres	Temporal	94,63783783783783783783783783783783783784	1	555	52524	Aragón
Julio 2018	201807	Julio	2018	3	Construcción	Mujeres	Temporal	0	0	41	0	Aragón
Julio 2018	201807	Julio	2018	3	Construcción	Mujeres	Temporal	135,258620689655172413793103448275862069	1	58	7845	Aragón
Julio 2018	201807	Julio	2018	4	Servicios	Hombres	Temporal	0	0	4437	0	Aragón
Julio 2018	201807	Julio	2018	4	Servicios	Hombres	Temporal	45,25847287877573912346767085970675426649	1	12481	564871	Aragón
Julio 2018	201807	Julio	2018	4	Servicios	Mujeres	Temporal	0	0	6100	0	Aragón
Julio 2018	201807	Julio	2018	4	Servicios	Mujeres	Temporal	44,65842349304482225656877897990726429675	1	13587	606774	Aragón
Junio 2018	201806	Junio	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	0	7518	0	Aragón
Junio 2018	201806	Junio	2018	1	Agricultura, ganadería y pesca	Hombres	Temporal	30,60040160642570281124497991967871485944	1	1992	60956	Aragón
