Municipio código	Municipio nombre	Viviendas en el edificio	Número de edificios
22254	Zaidín	02	53
22254	Zaidín	03	6
22254	Zaidín	04	5
22254	Zaidín	05 a 09	13
22901	Valle de Hecho	00	36
22901	Valle de Hecho	01	469
22901	Valle de Hecho	02	43
22901	Valle de Hecho	03	9
22901	Valle de Hecho	04	8
22901	Valle de Hecho	05 a 09	15
22901	Valle de Hecho	10 a 19	2
22901	Valle de Hecho	20 a 39	1
22902	Puente la Reina de Jaca	00	14
22902	Puente la Reina de Jaca	01	127
22902	Puente la Reina de Jaca	02	3
22902	Puente la Reina de Jaca	05 a 09	3
22902	Puente la Reina de Jaca	10 a 19	1
22903	San Miguel del Cinca	00	13
22903	San Miguel del Cinca	01	396
22903	San Miguel del Cinca	02	19
22903	San Miguel del Cinca	03	1
22903	San Miguel del Cinca	04	1
22904	Sotonera (La)	00	3
22904	Sotonera (La)	01	666
22904	Sotonera (La)	02	23
22904	Sotonera (La)	03	3
22905	Lupiñén-Ortilla	00	2
22905	Lupiñén-Ortilla	01	193
22905	Lupiñén-Ortilla	02	10
22905	Lupiñén-Ortilla	04	1
22905	Lupiñén-Ortilla	05 a 09	1
22906	Santa María de Dulcis	00	7
22906	Santa María de Dulcis	01	97
22906	Santa María de Dulcis	02	5
22906	Santa María de Dulcis	03	1
22907	Aínsa-Sobrarbe	00	38
22907	Aínsa-Sobrarbe	01	496
22907	Aínsa-Sobrarbe	02	54
22907	Aínsa-Sobrarbe	03	12
22907	Aínsa-Sobrarbe	04	11
22907	Aínsa-Sobrarbe	05 a 09	30
22907	Aínsa-Sobrarbe	10 a 19	4
22908	Hoz y Costeán	00	13
22908	Hoz y Costeán	01	150
22908	Hoz y Costeán	02	1
22909	Vencillón	00	8
22909	Vencillón	01	164
22909	Vencillón	02	4
44001	Ababuj	00	2
44001	Ababuj	01	76
44001	Ababuj	02	8
44002	Abejuela	00	3
44002	Abejuela	01	131
44002	Abejuela	02	8
44003	Aguatón	00	6
44003	Aguatón	01	32
44003	Aguatón	02	1
44004	Aguaviva	00	23
44004	Aguaviva	01	486
44004	Aguaviva	02	16
44004	Aguaviva	03	4
44004	Aguaviva	04	1
44004	Aguaviva	05 a 09	1
44004	Aguaviva	10 a 19	2
44005	Aguilar del Alfambra	00	4
44005	Aguilar del Alfambra	01	84
