Municipio código	Municipio nombre	Clase de propietario	Número de edificios
50027	Ambel	La comunidad	7
50027	Ambel	Una sociedad	1
50028	Anento	Una persona	136
50028	Anento	La comunidad	2
50029	Aniñón	Una persona	407
50029	Aniñón	La comunidad	31
50030	Añón de Moncayo	Una persona	190
50030	Añón de Moncayo	Un organismo público	1
50031	Aranda de Moncayo	Una persona	297
50031	Aranda de Moncayo	La comunidad	1
50032	Arándiga	Una persona	432
50032	Arándiga	La comunidad	2
50033	Ardisa	Una persona	96
50033	Ardisa	La comunidad	1
50034	Ariza	Una persona	505
50034	Ariza	La comunidad	51
50035	Artieda	Una persona	48
50035	Artieda	La comunidad	1
50036	Asín	Una persona	99
50037	Atea	Una persona	231
50038	Ateca	Una persona	672
50038	Ateca	La comunidad	87
50038	Ateca	Un organismo público	1
50039	Azuara	Una persona	713
50040	Badules	Una persona	97
50040	Badules	La comunidad	1
50041	Bagüés	Una persona	25
50042	Balconchán	Una persona	41
50043	Bárboles	Una persona	208
50043	Bárboles	La comunidad	19
50044	Bardallur	Una persona	191
50045	Belchite	Una persona	852
50045	Belchite	La comunidad	27
50045	Belchite	Una sociedad	4
50046	Belmonte de Gracián	Una persona	190
50047	Berdejo	Una persona	86
50047	Berdejo	La comunidad	1
50048	Berrueco	Una persona	42
50050	Bijuesca	Una persona	238
50050	Bijuesca	La comunidad	1
50050	Bijuesca	Una sociedad	1
50051	Biota	Una persona	545
50051	Biota	La comunidad	19
50051	Biota	Una sociedad	1
50052	Bisimbre	Una persona	73
50053	Boquiñeni	Una persona	393
50054	Bordalba	Una persona	154
50055	Borja	Una persona	1967
50055	Borja	La comunidad	100
50055	Borja	Un organismo público	1
50056	Botorrita	Una persona	227
50056	Botorrita	La comunidad	1
50057	Brea de Aragón	Una persona	502
50057	Brea de Aragón	La comunidad	65
50057	Brea de Aragón	Una sociedad	3
50057	Brea de Aragón	Un organismo público	1
50058	Bubierca	Una persona	140
50058	Bubierca	La comunidad	1
50059	Bujaraloz	Una persona	362
50059	Bujaraloz	La comunidad	17
50059	Bujaraloz	Una sociedad	1
50060	Bulbuente	Una persona	213
50060	Bulbuente	La comunidad	3
50061	Bureta	Una persona	149
50062	Burgo de Ebro (El)	Una persona	607
50062	Burgo de Ebro (El)	La comunidad	7
50063	Buste (El)	Una persona	100
50064	Cabañas de Ebro	Una persona	233
50064	Cabañas de Ebro	La comunidad	5
50065	Cabolafuente	Una persona	103
50065	Cabolafuente	La comunidad	1
50066	Cadrete	Una persona	885
50066	Cadrete	La comunidad	15
50066	Cadrete	Una sociedad	1
50067	Calatayud	Una persona	1765
50067	Calatayud	La comunidad	532
50067	Calatayud	Una sociedad	3
50067	Calatayud	Un organismo público	3
50068	Calatorao	Una persona	1206
50068	Calatorao	La comunidad	18
50068	Calatorao	Una sociedad	3
50069	Calcena	Una persona	95
50069	Calcena	Una sociedad	1
50070	Calmarza	Una persona	90
50071	Campillo de Aragón	Una persona	219
50072	Carenas	Una persona	413
50072	Carenas	La comunidad	2
50073	Cariñena	Una persona	582
50073	Cariñena	La comunidad	116
50074	Caspe	Una persona	2447
50074	Caspe	La comunidad	144
50074	Caspe	Una sociedad	2
50075	Castejón de Alarba	Una persona	148
50076	Castejón de las Armas	Una persona	118
50076	Castejón de las Armas	La comunidad	2
50077	Castejón de Valdejasa	Una persona	202
50077	Castejón de Valdejasa	La comunidad	1
50077	Castejón de Valdejasa	Una sociedad	1
50078	Castiliscar	Una persona	342
50078	Castiliscar	La comunidad	1
50079	Cervera de la Cañada	Una persona	219
50080	Cerveruela	Una persona	97
50081	Cetina	Una persona	541
50081	Cetina	La comunidad	45
50081	Cetina	Una sociedad	1
50082	Cimballa	Una persona	174
50083	Cinco Olivas	Una persona	119
50084	Clarés de Ribota	Una persona	122
50084	Clarés de Ribota	La comunidad	3
50085	Codo	Una persona	280
50085	Codo	La comunidad	1
50086	Codos	Una persona	267
50087	Contamina	Una persona	31
50088	Cosuenda	Una persona	221
50088	Cosuenda	La comunidad	1
50088	Cosuenda	Una sociedad	1
50089	Cuarte de Huerva	Una persona	576
50089	Cuarte de Huerva	La comunidad	38
50089	Cuarte de Huerva	Una sociedad	2
50090	Cubel	Una persona	203
50091	Cuerlas (Las)	Una persona	123
50092	Chiprana	Una persona	351
50092	Chiprana	La comunidad	1
50093	Chodes	Una persona	107
50093	Chodes	La comunidad	1
50094	Daroca	Una persona	808
50094	Daroca	La comunidad	76
50095	Ejea de los Caballeros	Una persona	3794
50095	Ejea de los Caballeros	La comunidad	402
50095	Ejea de los Caballeros	Una sociedad	2
50096	Embid de Ariza	Una persona	115
50096	Embid de Ariza	La comunidad	1
50098	Encinacorba	Una persona	212
50099	Épila	Una persona	1837
50099	Épila	La comunidad	62
50099	Épila	Una sociedad	3
50100	Erla	Una persona	270
50101	Escatrón	Una persona	963
50101	Escatrón	La comunidad	8
50101	Escatrón	Una sociedad	45
50102	Fabara	Una persona	606
50102	Fabara	La comunidad	1
50104	Farlete	Una persona	189
50105	Fayón	Una persona	221
50105	Fayón	La comunidad	2
50106	Fayos (Los)	Una persona	112
50106	Fayos (Los)	La comunidad	1
50107	Figueruelas	Una persona	383
50107	Figueruelas	La comunidad	3
50107	Figueruelas	Una sociedad	2
50107	Figueruelas	Un organismo público	1
50108	Fombuena	Una persona	30
50109	Frago (El)	Una persona	115
50110	Frasno (El)	Una persona	450
50110	Frasno (El)	Una sociedad	2
50111	Fréscano	Una persona	148
50111	Fréscano	La comunidad	1
50113	Fuendejalón	Una persona	421
50113	Fuendejalón	La comunidad	1
50114	Fuendetodos	Una persona	119
50114	Fuendetodos	La comunidad	2
50115	Fuentes de Ebro	Una persona	1345
50115	Fuentes de Ebro	La comunidad	26
50115	Fuentes de Ebro	Una sociedad	2
50116	Fuentes de Jiloca	Una persona	258
50116	Fuentes de Jiloca	La comunidad	2
50117	Gallocanta	Una persona	122
50118	Gallur	Una persona	1139
50118	Gallur	La comunidad	62
50119	Gelsa	Una persona	616
50119	Gelsa	La comunidad	1
50119	Gelsa	Una sociedad	1
50120	Godojos	Una persona	66
50121	Gotor	Una persona	188
50121	Gotor	La comunidad	9
50122	Grisel	Una persona	72
50123	Grisén	Una persona	268
50124	Herrera de los Navarros	Una persona	433
50124	Herrera de los Navarros	La comunidad	1
50125	Ibdes	Una persona	475
50126	Illueca	Una persona	500
50126	Illueca	La comunidad	106
50128	Isuerre	Una persona	56
50128	Isuerre	La comunidad	1
50129	Jaraba	Una persona	222
50129	Jaraba	La comunidad	3
50130	Jarque	Una persona	324
50130	Jarque	La comunidad	13
50131	Jaulín	Una persona	163
50131	Jaulín	Una sociedad	1
50132	Joyosa (La)	Una persona	194
50132	Joyosa (La)	La comunidad	2
50132	Joyosa (La)	Un organismo público	1
50133	Lagata	Una persona	148
50133	Lagata	La comunidad	1
50134	Langa del Castillo	Una persona	196
50134	Langa del Castillo	La comunidad	1
50135	Layana	Una persona	113
50135	Layana	La comunidad	2
50136	Lécera	Una persona	615
50136	Lécera	La comunidad	4
50136	Lécera	Una sociedad	2
50137	Leciñena	Una persona	476
50137	Leciñena	Una sociedad	3
50138	Lechón	Una persona	37
50139	Letux	Una persona	343
50139	Letux	La comunidad	2
50140	Litago	Una persona	156
50141	Lituénigo	Una persona	76
50141	Lituénigo	La comunidad	1
50142	Lobera de Onsella	Una persona	33
50143	Longares	Una persona	333
50143	Longares	La comunidad	2
50143	Longares	Una sociedad	1
50144	Longás	Una persona	45
50146	Lucena de Jalón	Una persona	143
50147	Luceni	Una persona	514
50147	Luceni	La comunidad	7
50148	Luesia	Una persona	206
50148	Luesia	La comunidad	43
50148	Luesia	Un organismo público	2
50149	Luesma	Una persona	57
50150	Lumpiaque	Una persona	558
50150	Lumpiaque	La comunidad	1
50150	Lumpiaque	Una sociedad	1
50151	Luna	Una persona	530
50151	Luna	La comunidad	10
50152	Maella	Una persona	1087
50152	Maella	La comunidad	5
50153	Magallón	Una persona	632
50153	Magallón	La comunidad	2
50153	Magallón	Una sociedad	1
50154	Mainar	Una persona	131
50155	Malanquilla	Una persona	119
50156	Maleján	Una persona	170
50157	Malón	Una persona	295
50157	Malón	La comunidad	1
50159	Maluenda	Una persona	533
50159	Maluenda	La comunidad	3
50159	Maluenda	Un organismo público	1
50160	Mallén	Una persona	1198
50160	Mallén	La comunidad	8
50160	Mallén	Una sociedad	1
50160	Mallén	Un organismo público	1
50161	Manchones	Una persona	154
50161	Manchones	La comunidad	1
50161	Manchones	Una sociedad	1
50162	Mara	Una persona	188
50162	Mara	La comunidad	1
50163	María de Huerva	Una persona	640
50163	María de Huerva	La comunidad	14
50164	Mediana de Aragón	Una persona	222
50164	Mediana de Aragón	La comunidad	1
50165	Mequinenza	Una persona	922
50165	Mequinenza	La comunidad	11
50166	Mesones de Isuela	Una persona	241
50166	Mesones de Isuela	La comunidad	1
50167	Mezalocha	Una persona	153
50168	Mianos	Una persona	36
50169	Miedes de Aragón	Una persona	308
50169	Miedes de Aragón	La comunidad	2
50169	Miedes de Aragón	Una sociedad	1
50170	Monegrillo	Una persona	215
50170	Monegrillo	La comunidad	3
50171	Moneva	Una persona	145
50172	Monreal de Ariza	Una persona	177
50172	Monreal de Ariza	La comunidad	2
50173	Monterde	Una persona	262
50173	Monterde	La comunidad	1
50174	Montón	Una persona	144
50175	Morata de Jalón	Una persona	829
50175	Morata de Jalón	La comunidad	9
50176	Morata de Jiloca	Una persona	234
50176	Morata de Jiloca	La comunidad	3
50177	Morés	Una persona	357
50177	Morés	La comunidad	3
50178	Moros	Una persona	407
50178	Moros	La comunidad	5
50178	Moros	Una sociedad	1
50179	Moyuela	Una persona	237
50180	Mozota	Una persona	143
50180	Mozota	La comunidad	2
50181	Muel	Una persona	515
50181	Muel	La comunidad	15
50182	Muela (La)	Una persona	1155
50182	Muela (La)	La comunidad	10
50182	Muela (La)	Una sociedad	1
50183	Munébrega	Una persona	317
50183	Munébrega	La comunidad	1
50184	Murero	Una persona	160
50185	Murillo de Gállego	Una persona	138
50186	Navardún	Una persona	41
50187	Nigüella	Una persona	83
50188	Nombrevilla	Una persona	54
50189	Nonaspe	Una persona	698
50189	Nonaspe	La comunidad	12
50190	Novallas	Una persona	467
50190	Novallas	La comunidad	3
50190	Novallas	Una sociedad	1
50191	Novillas	Una persona	308
50191	Novillas	La comunidad	4
50192	Nuévalos	Una persona	250
50192	Nuévalos	Una sociedad	1
50193	Nuez de Ebro	Una persona	340
50193	Nuez de Ebro	La comunidad	3
50194	Olvés	Una persona	192
50195	Orcajo	Una persona	64
50196	Orera	Una persona	95
50196	Orera	Una sociedad	1
50197	Orés	Una persona	113
50198	Oseja	Una persona	75
50199	Osera de Ebro	Una persona	268
50199	Osera de Ebro	La comunidad	1
50199	Osera de Ebro	Una sociedad	1
50200	Paniza	Una persona	377
50200	Paniza	La comunidad	2
50201	Paracuellos de Jiloca	Una persona	266
50201	Paracuellos de Jiloca	La comunidad	2
50202	Paracuellos de la Ribera	Una persona	370
50202	Paracuellos de la Ribera	La comunidad	2
50203	Pastriz	Una persona	372
50203	Pastriz	La comunidad	1
50204	Pedrola	Una persona	1042
50204	Pedrola	La comunidad	11
50205	Pedrosas (Las)	Una persona	69
50206	Perdiguera	Una persona	256
50206	Perdiguera	La comunidad	2
50207	Piedratajada	Una persona	93
50207	Piedratajada	La comunidad	1
50208	Pina de Ebro	Una persona	882
50208	Pina de Ebro	La comunidad	24
50209	Pinseque	Una persona	1032
50209	Pinseque	La comunidad	11
50209	Pinseque	Un organismo público	3
50210	Pintanos (Los)	Una persona	65
50211	Plasencia de Jalón	Una persona	190
50211	Plasencia de Jalón	La comunidad	1
50212	Pleitas	Una persona	55
50213	Plenas	Una persona	182
50214	Pomer	Una persona	85
50215	Pozuel de Ariza	Una persona	104
50215	Pozuel de Ariza	La comunidad	1
50216	Pozuelo de Aragón	Una persona	162
50217	Pradilla de Ebro	Una persona	303
50217	Pradilla de Ebro	La comunidad	1
50218	Puebla de Albortón	Una persona	93
50218	Puebla de Albortón	La comunidad	1
50219	Puebla de Alfindén (La)	Una persona	1388
50219	Puebla de Alfindén (La)	La comunidad	36
50220	Puendeluna	Una persona	67
50221	Purujosa	Una persona	32
50222	Quinto	Una persona	974
50222	Quinto	La comunidad	7
50222	Quinto	Una sociedad	1
50222	Quinto	Un organismo público	1
50223	Remolinos	Una persona	497
50223	Remolinos	La comunidad	1
50224	Retascón	Una persona	92
50224	Retascón	La comunidad	1
50225	Ricla	Una persona	838
50225	Ricla	La comunidad	26
50227	Romanos	Una persona	96
50228	Rueda de Jalón	Una persona	207
50229	Ruesca	Una persona	59
50229	Ruesca	La comunidad	1
50230	Sádaba	Una persona	695
50230	Sádaba	La comunidad	13
50230	Sádaba	Una sociedad	1
50230	Sádaba	Un organismo público	2
50231	Salillas de Jalón	Una persona	193
50232	Salvatierra de Esca	Una persona	225
50232	Salvatierra de Esca	La comunidad	1
50232	Salvatierra de Esca	Una sociedad	1
50233	Samper del Salz	Una persona	116
50233	Samper del Salz	La comunidad	1
50234	San Martín de la Virgen de Moncayo	Una persona	120
50234	San Martín de la Virgen de Moncayo	La comunidad	2
50235	San Mateo de Gállego	Una persona	993
50235	San Mateo de Gállego	La comunidad	23
50235	San Mateo de Gállego	Una sociedad	1
50236	Santa Cruz de Grío	Una persona	125
50236	Santa Cruz de Grío	La comunidad	15
50237	Santa Cruz de Moncayo	Una persona	109
50238	Santa Eulalia de Gállego	Una persona	109
50239	Santed	Una persona	76
50240	Sástago	Una persona	726
50240	Sástago	La comunidad	13
50240	Sástago	Una sociedad	2
50241	Saviñán	Una persona	444
50241	Saviñán	La comunidad	7
50241	Saviñán	Una sociedad	2
50242	Sediles	Una persona	47
50243	Sestrica	Una persona	318
50243	Sestrica	La comunidad	1
50244	Sierra de Luna	Una persona	163
50244	Sierra de Luna	La comunidad	1
50245	Sigüés	Una persona	113
50246	Sisamón	Una persona	169
50246	Sisamón	La comunidad	1
50247	Sobradiel	Una persona	284
50247	Sobradiel	La comunidad	3
50248	Sos del Rey Católico	Una persona	447
50248	Sos del Rey Católico	La comunidad	6
50249	Tabuenca	Una persona	316
50249	Tabuenca	La comunidad	2
50250	Talamantes	Una persona	83
50251	Tarazona	Una persona	1887
50251	Tarazona	La comunidad	308
50251	Tarazona	Una sociedad	5
50251	Tarazona	Un organismo público	1
50252	Tauste	Una persona	1851
50252	Tauste	La comunidad	131
50252	Tauste	Un organismo público	1
50253	Terrer	Una persona	277
50253	Terrer	La comunidad	2
50254	Tierga	Una persona	131
50255	Tobed	Una persona	267
50256	Torralba de los Frailes	Una persona	185
50256	Torralba de los Frailes	La comunidad	1
50257	Torralba de Ribota	Una persona	154
50258	Torralbilla	Una persona	133
50259	Torrehermosa	Una persona	109
50259	Torrehermosa	La comunidad	1
50260	Torrelapaja	Una persona	87
50261	Torrellas	Una persona	195
50262	Torres de Berrellén	Una persona	499
50262	Torres de Berrellén	La comunidad	33
50262	Torres de Berrellén	Una sociedad	2
50263	Torrijo de la Cañada	Una persona	408
50264	Tosos	Una persona	226
50265	Trasmoz	Una persona	83
50266	Trasobares	Una persona	204
50267	Uncastillo	Una persona	289
50267	Uncastillo	La comunidad	114
50267	Uncastillo	Una sociedad	1
50268	Undués de Lerda	Una persona	46
50269	Urrea de Jalón	Una persona	237
50270	Urriés	Una persona	72
50271	Used	Una persona	320
50271	Used	La comunidad	1
50272	Utebo	Una persona	1595
50272	Utebo	La comunidad	345
50272	Utebo	Una sociedad	1
50273	Valdehorna	Una persona	51
50274	Val de San Martín	Una persona	96
50275	Valmadrid	Una persona	78
50276	Valpalmas	Una persona	127
50277	Valtorres	Una persona	82
50278	Velilla de Ebro	Una persona	239
50278	Velilla de Ebro	La comunidad	1
50279	Velilla de Jiloca	Una persona	119
50280	Vera de Moncayo	Una persona	314
50280	Vera de Moncayo	La comunidad	18
50280	Vera de Moncayo	Una sociedad	2
50281	Vierlas	Una persona	80
50282	Vilueña (La)	Una persona	59
50283	Villadoz	Una persona	78
50284	Villafeliche	Una persona	261
50284	Villafeliche	La comunidad	2
50285	Villafranca de Ebro	Una persona	288
50285	Villafranca de Ebro	La comunidad	6
50286	Villalba de Perejil	Una persona	48
50287	Villalengua	Una persona	308
50288	Villanueva de Gállego	Una persona	1034
50288	Villanueva de Gállego	La comunidad	40
50289	Villanueva de Jiloca	Una persona	130
50290	Villanueva de Huerva	Una persona	396
50290	Villanueva de Huerva	La comunidad	1
50290	Villanueva de Huerva	Una sociedad	1
50291	Villar de los Navarros	Una persona	192
50291	Villar de los Navarros	La comunidad	1
50292	Villarreal de Huerva	Una persona	132
50292	Villarreal de Huerva	La comunidad	1
50293	Villarroya de la Sierra	Una persona	453
50293	Villarroya de la Sierra	La comunidad	8
50294	Villarroya del Campo	Una persona	69
50295	Vistabella	Una persona	165
50296	Zaida (La)	Una persona	292
50296	Zaida (La)	La comunidad	6
50297	Zaragoza	Una persona	20647
50297	Zaragoza	La comunidad	14551
50297	Zaragoza	Una sociedad	126
50297	Zaragoza	Un organismo público	42
50298	Zuera	Una persona	1958
50298	Zuera	La comunidad	133
50298	Zuera	Una sociedad	3
50901	Biel	Una persona	172
50901	Biel	La comunidad	2
50902	Marracos	Una persona	72
50902	Marracos	La comunidad	1
