Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22214	Secastilla	Liquidaciones	Consolidada	723508,38	46283,66	106040,97	23866,48	23707,78	367025,54	156583,95
2010	22215	Seira	Liquidaciones	Consolidada	287777,79	17987,1	150860,03	27486,98	7903,46	0	83540,22
2010	22217	Sena	Liquidaciones	Consolidada	539981,13	9669,58	0	30887,49	362761,69	0	136662,37
2010	22218	Senés de Alcubierre	Liquidaciones	Consolidada	85668,1	0	0	1860,53	13922,75	0	69884,82
2010	22220	Sesa	Liquidaciones	Consolidada	243868,92	4268,13	121308,61	0	48934,28	0	69357,9
2010	22221	Sesué	Liquidaciones	Consolidada	312720,51	34137,56	12865	22563,11	27834,42	59284,29	156036,13
2010	22222	Siétamo	Liquidaciones	Consolidada	439924,44	10140,68	67487,33	48693,2	170013,67	0	143589,56
2010	22223	Sopeira	Liquidaciones	Consolidada	679683,98	0	537854,47	5797,95	8946,33	42680,02	84405,21
2010	22225	Tamarite de Litera	Liquidaciones	Consolidada	3466963,68	316595,15	1139650,6	214848,89	1163193,52	1000	631675,52
2010	22226	Tardienta	Liquidaciones	Consolidada	2647052,88	28152,61	200195,75	1362523,22	691988,3	68145,17	296047,83
2010	22227	Tella-Sin	Liquidaciones	Consolidada	640740,75	91617,61	231529,82	0	20187,19	46684,98	250721,15
2010	22228	Tierz	Liquidaciones	Consolidada	766123,89	5478,57	35587,43	60867,76	219911,59	56000	388278,54
2010	22229	Tolva	Liquidaciones	Consolidada	260373,86	4722,67	134448,64	12385,4	61419,66	0	47397,49
2010	22230	Torla-Ordesa	Liquidaciones	Consolidada	686728,53	0	572658,47	6211,54	14565,96	0	93292,56
