Municipio código	Municipio nombre	Personas	Sexo	Jefe explotación
22215	Seira	12	Hombres	1
22215	Seira	11	Mujeres	1
22217	Sena	115	Hombres	1
22217	Sena	17	Mujeres	1
22218	Senés de Alcubierre	17	Hombres	1
22218	Senés de Alcubierre	4	Mujeres	1
22220	Sesa	32	Hombres	1
22220	Sesa	2	Mujeres	1
22221	Sesué	11	Hombres	1
22222	Siétamo	54	Hombres	1
22222	Siétamo	6	Mujeres	1
22223	Sopeira	15	Hombres	1
22223	Sopeira	7	Mujeres	1
22225	Tamarite de Litera	411	Hombres	1
22225	Tamarite de Litera	69	Mujeres	1
22226	Tardienta	73	Hombres	1
22226	Tardienta	5	Mujeres	1
22227	Tella-Sin	20	Hombres	1
22227	Tella-Sin	2	Mujeres	1
22228	Tierz	16	Hombres	1
22229	Tolva	43	Hombres	1
22229	Tolva	17	Mujeres	1
22230	Torla	32	Hombres	1
22230	Torla	3	Mujeres	1
22232	Torralba de Aragón	42	Hombres	1
22232	Torralba de Aragón	4	Mujeres	1
22233	Torre la Ribera	22	Hombres	1
22233	Torre la Ribera	1	Mujeres	1
22234	Torrente de Cinca	80	Hombres	1
22234	Torrente de Cinca	12	Mujeres	1
22235	Torres de Alcanadre	22	Hombres	1
22235	Torres de Alcanadre	1	Mujeres	1
22236	Torres de Barbués	41	Hombres	1
22236	Torres de Barbués	5	Mujeres	1
22239	Tramaced	22	Hombres	1
22239	Tramaced	7	Mujeres	1
22242	Valfarta	24	Hombres	1
22242	Valfarta	6	Mujeres	1
22243	Valle de Bardají	20	Hombres	1
22243	Valle de Bardají	9	Mujeres	1
22244	Valle de Lierp	31	Hombres	1
22244	Valle de Lierp	3	Mujeres	1
22245	Velilla de Cinca	48	Hombres	1
22245	Velilla de Cinca	5	Mujeres	1
22246	Veracruz	18	Hombres	1
22246	Veracruz	2	Mujeres	1
22247	Viacamp y Litera	38	Hombres	1
22247	Viacamp y Litera	4	Mujeres	1
22248	Vicién	10	Hombres	1
22248	Vicién	1	Mujeres	1
22249	Villanova	7	Hombres	1
22249	Villanova	1	Mujeres	1
22250	Villanúa	11	Hombres	1
22250	Villanúa	2	Mujeres	1
22251	Villanueva de Sigena	102	Hombres	1
22251	Villanueva de Sigena	20	Mujeres	1
22252	Yebra de Basa	22	Hombres	1
22252	Yebra de Basa	4	Mujeres	1
22253	Yésero	2	Hombres	1
22253	Yésero	1	Mujeres	1
22254	Zaidín	300	Hombres	1
22254	Zaidín	24	Mujeres	1
22901	Valle de Hecho	58	Hombres	1
22901	Valle de Hecho	6	Mujeres	1
22902	Puente la Reina de Jaca	46	Hombres	1
22902	Puente la Reina de Jaca	1	Mujeres	1
22903	San Miguel del Cinca	172	Hombres	1
22903	San Miguel del Cinca	29	Mujeres	1
22904	Sotonera (La)	200	Hombres	1
22904	Sotonera (La)	22	Mujeres	1
22905	Lupiñén-Ortilla	62	Hombres	1
22905	Lupiñén-Ortilla	9	Mujeres	1
22906	Santa María de Dulcis	48	Hombres	1
22906	Santa María de Dulcis	12	Mujeres	1
22907	Aínsa-Sobrarbe	122	Hombres	1
22907	Aínsa-Sobrarbe	11	Mujeres	1
22908	Hoz y Costeán	80	Hombres	1
22908	Hoz y Costeán	18	Mujeres	1
22909	Vencillón	61	Hombres	1
22909	Vencillón	9	Mujeres	1
44001	Ababuj	18	Hombres	1
44001	Ababuj	3	Mujeres	1
44002	Abejuela	9	Hombres	1
44002	Abejuela	2	Mujeres	1
44003	Aguatón	6	Hombres	1
44003	Aguatón	3	Mujeres	1
44004	Aguaviva	34	Hombres	1
44004	Aguaviva	8	Mujeres	1
44005	Aguilar del Alfambra	15	Hombres	1
44005	Aguilar del Alfambra	6	Mujeres	1
44006	Alacón	63	Hombres	1
44006	Alacón	7	Mujeres	1
44007	Alba	59	Hombres	1
44007	Alba	4	Mujeres	1
44008	Albalate del Arzobispo	275	Hombres	1
44008	Albalate del Arzobispo	62	Mujeres	1
44009	Albarracín	48	Hombres	1
44009	Albarracín	7	Mujeres	1
44010	Albentosa	42	Hombres	1
44010	Albentosa	11	Mujeres	1
44011	Alcaine	7	Hombres	1
44011	Alcaine	2	Mujeres	1
44012	Alcalá de la Selva	34	Hombres	1
44012	Alcalá de la Selva	2	Mujeres	1
44013	Alcañiz	510	Hombres	1
44013	Alcañiz	110	Mujeres	1
44014	Alcorisa	287	Hombres	1
44014	Alcorisa	65	Mujeres	1
44016	Alfambra	97	Hombres	1
44016	Alfambra	16	Mujeres	1
44017	Aliaga	47	Hombres	1
44017	Aliaga	6	Mujeres	1
44018	Almohaja	5	Hombres	1
44018	Almohaja	1	Mujeres	1
44019	Alobras	12	Hombres	1
44020	Alpeñés	11	Hombres	1
44020	Alpeñés	1	Mujeres	1
44021	Allepuz	36	Hombres	1
44021	Allepuz	6	Mujeres	1
44022	Alloza	168	Hombres	1
44022	Alloza	45	Mujeres	1
44023	Allueva	1	Hombres	1
44024	Anadón	3	Hombres	1
44024	Anadón	2	Mujeres	1
44025	Andorra	220	Hombres	1
44025	Andorra	45	Mujeres	1
44026	Arcos de las Salinas	11	Hombres	1
44026	Arcos de las Salinas	2	Mujeres	1
44027	Arens de Lledó	45	Hombres	1
44027	Arens de Lledó	17	Mujeres	1
44028	Argente	58	Hombres	1
44028	Argente	10	Mujeres	1
44029	Ariño	32	Hombres	1
44029	Ariño	7	Mujeres	1
44031	Azaila	30	Hombres	1
44031	Azaila	8	Mujeres	1
44032	Bádenas	6	Hombres	1
44032	Bádenas	2	Mujeres	1
44033	Báguena	99	Hombres	1
44033	Báguena	14	Mujeres	1
44034	Bañón	39	Hombres	1
44034	Bañón	2	Mujeres	1
44035	Barrachina	12	Hombres	1
44035	Barrachina	6	Mujeres	1
44036	Bea	4	Hombres	1
44036	Bea	1	Mujeres	1
44037	Beceite	54	Hombres	1
44037	Beceite	6	Mujeres	1
44038	Belmonte de San José	34	Hombres	1
44038	Belmonte de San José	14	Mujeres	1
44039	Bello	69	Hombres	1
44039	Bello	17	Mujeres	1
44040	Berge	36	Hombres	1
44040	Berge	9	Mujeres	1
44041	Bezas	2	Hombres	1
44041	Bezas	1	Mujeres	1
44042	Blancas	39	Hombres	1
44042	Blancas	2	Mujeres	1
44043	Blesa	23	Hombres	1
44043	Blesa	5	Mujeres	1
44044	Bordón	16	Hombres	1
44044	Bordón	6	Mujeres	1
44045	Bronchales	12	Hombres	1
44045	Bronchales	3	Mujeres	1
44046	Bueña	22	Hombres	1
44046	Bueña	1	Mujeres	1
44047	Burbáguena	60	Hombres	1
44047	Burbáguena	5	Mujeres	1
44048	Cabra de Mora	10	Hombres	1
44048	Cabra de Mora	4	Mujeres	1
44049	Calaceite	204	Hombres	1
44049	Calaceite	38	Mujeres	1
44050	Calamocha	243	Hombres	1
44050	Calamocha	54	Mujeres	1
44051	Calanda	263	Hombres	1
44051	Calanda	61	Mujeres	1
44052	Calomarde	6	Hombres	1
44052	Calomarde	2	Mujeres	1
44053	Camañas	35	Hombres	1
44053	Camañas	1	Mujeres	1
44054	Camarena de la Sierra	7	Hombres	1
44055	Camarillas	23	Hombres	1
44055	Camarillas	3	Mujeres	1
44056	Caminreal	104	Hombres	1
44056	Caminreal	27	Mujeres	1
44059	Cantavieja	65	Hombres	1
44059	Cantavieja	15	Mujeres	1
44060	Cañada de Benatanduz	14	Hombres	1
44060	Cañada de Benatanduz	3	Mujeres	1
44061	Cañada de Verich (La)	8	Hombres	1
44062	Cañada Vellida	20	Hombres	1
44062	Cañada Vellida	2	Mujeres	1
44063	Cañizar del Olivar	9	Hombres	1
44064	Cascante del Río	14	Hombres	1
44064	Cascante del Río	1	Mujeres	1
44065	Castejón de Tornos	22	Hombres	1
44065	Castejón de Tornos	2	Mujeres	1
44066	Castel de Cabra	8	Hombres	1
44066	Castel de Cabra	5	Mujeres	1
44067	Castelnou	18	Hombres	1
44067	Castelnou	3	Mujeres	1
44068	Castelserás	64	Hombres	1
44068	Castelserás	19	Mujeres	1
44070	Castellar (El)	14	Hombres	1
44070	Castellar (El)	5	Mujeres	1
44071	Castellote	109	Hombres	1
44071	Castellote	48	Mujeres	1
44074	Cedrillas	65	Hombres	1
44074	Cedrillas	14	Mujeres	1
44075	Celadas	72	Hombres	1
44075	Celadas	27	Mujeres	1
44076	Cella	243	Hombres	1
44076	Cella	37	Mujeres	1
44077	Cerollera (La)	8	Hombres	1
44077	Cerollera (La)	2	Mujeres	1
44080	Codoñera (La)	34	Hombres	1
44080	Codoñera (La)	11	Mujeres	1
44082	Corbalán	13	Hombres	1
44082	Corbalán	3	Mujeres	1
44084	Cortes de Aragón	13	Hombres	1
44084	Cortes de Aragón	2	Mujeres	1
44085	Cosa	30	Hombres	1
44085	Cosa	3	Mujeres	1
44086	Cretas	144	Hombres	1
44086	Cretas	21	Mujeres	1
44087	Crivillén	18	Hombres	1
44087	Crivillén	2	Mujeres	1
44088	Cuba (La)	7	Hombres	1
44088	Cuba (La)	5	Mujeres	1
44089	Cubla	10	Hombres	1
44089	Cubla	2	Mujeres	1
44090	Cucalón	24	Hombres	1
44090	Cucalón	4	Mujeres	1
44092	Cuervo (El)	9	Hombres	1
44092	Cuervo (El)	2	Mujeres	1
44093	Cuevas de Almudén	20	Hombres	1
44093	Cuevas de Almudén	8	Mujeres	1
44094	Cuevas Labradas	17	Hombres	1
44094	Cuevas Labradas	4	Mujeres	1
44096	Ejulve	19	Hombres	1
44096	Ejulve	8	Mujeres	1
44097	Escorihuela	51	Hombres	1
44097	Escorihuela	4	Mujeres	1
44099	Escucha	17	Hombres	1
44099	Escucha	5	Mujeres	1
44100	Estercuel	17	Hombres	1
44101	Ferreruela de Huerva	16	Hombres	1
44101	Ferreruela de Huerva	3	Mujeres	1
44102	Fonfría	5	Hombres	1
44102	Fonfría	1	Mujeres	1
44103	Formiche Alto	27	Hombres	1
44103	Formiche Alto	8	Mujeres	1
44105	Fórnoles	24	Hombres	1
44105	Fórnoles	11	Mujeres	1
44106	Fortanete	36	Hombres	1
44106	Fortanete	8	Mujeres	1
44107	Foz-Calanda	46	Hombres	1
44107	Foz-Calanda	13	Mujeres	1
44108	Fresneda (La)	79	Hombres	1
44108	Fresneda (La)	14	Mujeres	1
44109	Frías de Albarracín	12	Hombres	1
44109	Frías de Albarracín	3	Mujeres	1
44110	Fuenferrada	13	Hombres	1
44110	Fuenferrada	4	Mujeres	1
44111	Fuentes Calientes	32	Hombres	1
44111	Fuentes Calientes	2	Mujeres	1
44112	Fuentes Claras	68	Hombres	1
44112	Fuentes Claras	12	Mujeres	1
44113	Fuentes de Rubielos	6	Hombres	1
44114	Fuentespalda	61	Hombres	1
44114	Fuentespalda	12	Mujeres	1
44115	Galve	32	Hombres	1
44115	Galve	3	Mujeres	1
44116	Gargallo	11	Hombres	1
44116	Gargallo	2	Mujeres	1
44117	Gea de Albarracín	18	Hombres	1
44117	Gea de Albarracín	4	Mujeres	1
44118	Ginebrosa (La)	60	Hombres	1
44118	Ginebrosa (La)	8	Mujeres	1
44119	Griegos	10	Hombres	1
44119	Griegos	4	Mujeres	1
44120	Guadalaviar	24	Hombres	1
44120	Guadalaviar	7	Mujeres	1
44121	Gúdar	17	Hombres	1
44121	Gúdar	3	Mujeres	1
44122	Híjar	117	Hombres	1
44122	Híjar	13	Mujeres	1
44123	Hinojosa de Jarque	27	Hombres	1
44123	Hinojosa de Jarque	15	Mujeres	1
44124	Hoz de la Vieja (La)	15	Hombres	1
44124	Hoz de la Vieja (La)	5	Mujeres	1
44125	Huesa del Común	20	Hombres	1
44125	Huesa del Común	2	Mujeres	1
44126	Iglesuela del Cid (La)	17	Hombres	1
44126	Iglesuela del Cid (La)	1	Mujeres	1
44127	Jabaloyas	7	Hombres	1
44127	Jabaloyas	1	Mujeres	1
44128	Jarque de la Val	21	Hombres	1
44128	Jarque de la Val	2	Mujeres	1
44129	Jatiel	10	Hombres	1
44129	Jatiel	1	Mujeres	1
44130	Jorcas	4	Hombres	1
44130	Jorcas	4	Mujeres	1
44131	Josa	5	Hombres	1
44131	Josa	1	Mujeres	1
44132	Lagueruela	13	Hombres	1
44132	Lagueruela	4	Mujeres	1
44133	Lanzuela	8	Hombres	1
44133	Lanzuela	3	Mujeres	1
44135	Libros	40	Hombres	1
44135	Libros	6	Mujeres	1
44136	Lidón	17	Hombres	1
44136	Lidón	7	Mujeres	1
44137	Linares de Mora	26	Hombres	1
44137	Linares de Mora	7	Mujeres	1
44138	Loscos	34	Hombres	1
44138	Loscos	8	Mujeres	1
44141	Lledó	32	Hombres	1
44141	Lledó	7	Mujeres	1
44142	Maicas	13	Hombres	1
44143	Manzanera	41	Hombres	1
44143	Manzanera	4	Mujeres	1
44144	Martín del Río	28	Hombres	1
44145	Mas de las Matas	72	Hombres	1
44145	Mas de las Matas	11	Mujeres	1
44146	Mata de los Olmos (La)	25	Hombres	1
44146	Mata de los Olmos (La)	7	Mujeres	1
44147	Mazaleón	126	Hombres	1
44147	Mazaleón	30	Mujeres	1
44148	Mezquita de Jarque	16	Hombres	1
44148	Mezquita de Jarque	4	Mujeres	1
44149	Mirambel	22	Hombres	1
44149	Mirambel	5	Mujeres	1
44150	Miravete de la Sierra	12	Hombres	1
44150	Miravete de la Sierra	2	Mujeres	1
44151	Molinos	58	Hombres	1
44151	Molinos	8	Mujeres	1
44152	Monforte de Moyuela	22	Hombres	1
44152	Monforte de Moyuela	1	Mujeres	1
44153	Monreal del Campo	117	Hombres	1
44153	Monreal del Campo	29	Mujeres	1
44154	Monroyo	61	Hombres	1
44154	Monroyo	11	Mujeres	1
44155	Montalbán	11	Hombres	1
44155	Montalbán	4	Mujeres	1
44156	Monteagudo del Castillo	14	Hombres	1
44156	Monteagudo del Castillo	4	Mujeres	1
44157	Monterde de Albarracín	6	Hombres	1
44157	Monterde de Albarracín	3	Mujeres	1
44158	Mora de Rubielos	64	Hombres	1
44158	Mora de Rubielos	12	Mujeres	1
44159	Moscardón	6	Hombres	1
44159	Moscardón	2	Mujeres	1
44160	Mosqueruela	59	Hombres	1
44160	Mosqueruela	18	Mujeres	1
44161	Muniesa	114	Hombres	1
44161	Muniesa	18	Mujeres	1
44163	Noguera de Albarracín	3	Hombres	1
44163	Noguera de Albarracín	1	Mujeres	1
44164	Nogueras	12	Hombres	1
44164	Nogueras	3	Mujeres	1
44165	Nogueruelas	13	Hombres	1
44165	Nogueruelas	1	Mujeres	1
44167	Obón	13	Hombres	1
44167	Obón	1	Mujeres	1
44168	Odón	59	Hombres	1
44168	Odón	11	Mujeres	1
44169	Ojos Negros	54	Hombres	1
44169	Ojos Negros	9	Mujeres	1
44171	Olba	5	Hombres	1
44171	Olba	3	Mujeres	1
44172	Oliete	74	Hombres	1
44172	Oliete	19	Mujeres	1
44173	Olmos (Los)	39	Hombres	1
44173	Olmos (Los)	9	Mujeres	1
44174	Orihuela del Tremedal	16	Hombres	1
44174	Orihuela del Tremedal	5	Mujeres	1
44175	Orrios	39	Hombres	1
44175	Orrios	9	Mujeres	1
44176	Palomar de Arroyos	14	Hombres	1
44176	Palomar de Arroyos	3	Mujeres	1
