Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	37	7380	199,459459459459459459459459459459459459	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	30	6661	222,033333333333333333333333333333333333	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Otros	8	Otros	Otros	1	5	453	90,6	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	2	540	270	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Otros	8	Otros	Otros	1	3	1711	570,333333333333333333333333333333333333	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	10	1800	180	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	9538	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	916	44330	48,3951965065502183406113537117903930131	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	5326	0	0	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	657	32724	49,80821917808219178082191780821917808219	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	11	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	13061	509356	38,99823903223336651098690758747415971212	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	8	0	0	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	10571	420309	39,76057137451518304796140384069624444234	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	525	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	269	13090	48,66171003717472118959107806691449814126	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1408	0	0	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	592	24020	40,57432432432432432432432432432432432432	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	24	8640	360	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	14	5078	362,714285714285714285714285714285714286	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	22	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	51	53928	1057,411764705882352941176470588235294118	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	17	18224	1072	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	2	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	9	0	0	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	18	20219	1123,277777777777777777777777777777777778	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	7	7105	1015	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	24	7956	331,5	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	86	19767	229,848837209302325581395348837209302326	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	13	2784	214,153846153846153846153846153846153846	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	42	10826	257,761904761904761904761904761904761905	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Otros	8	Otros	Otros	0	6	0	0	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Otros	8	Otros	Otros	1	4	721	180,25	Aragón
Julio 2020	202007	Julio	2020	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	9	1620	180	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Otros	8	Otros	Otros	0	2	0	0	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Otros	8	Otros	Otros	1	1	180	180	Aragón
Julio 2020	202007	Julio	2020	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	16	2880	180	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	11193	0	0	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	671	37748	56,25633383010432190760059612518628912072	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	5434	0	0	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	472	23662	50,13135593220338983050847457627118644068	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	6	0	0	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	8581	415188	48,38457056287146020277356951404265237152	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	14	0	0	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	6752	350680	51,93720379146919431279620853080568720379	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	398	0	0	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	140	6275	44,82142857142857142857142857142857142857	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1001	0	0	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	387	19728	50,97674418604651162790697674418604651163	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	41	14760	360	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	15	5400	360	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	17	0	0	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	26	31204	1200,153846153846153846153846153846153846	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	15	17524	1168,266666666666666666666666666666666667	Aragón
Junio 2020	202006	Junio	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	2	0	0	Aragón
Junio 2020	202006	Junio	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0	Aragón
