Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
22199	Sabiñánigo	2019	1933	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22112	Fraga	2011	1909	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22125	Huesca	2015	1893	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN
22112	Fraga	2019	1890	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50074	Caspe	2011	1880	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50251	Tarazona	2011	1871	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50252	Tauste	2008	1871	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2016	1860	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50089	Cuarte de Huerva	2015	1852	TA	TIERRA ARAGONESA
44013	Alcañiz	2015	1846	ALTOARAGONenCOMUN	Alto Aragón en Común
22199	Sabiñánigo	2011	1841	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50298	Zuera	2008	1837	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44013	Alcañiz	2019	1835	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22158	Monzón	2019	1821	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
44013	Alcañiz	2016	1810	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22125	Huesca	2011	1796	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
50089	Cuarte de Huerva	2015	1788	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50067	Calatayud	2015	1777	TA	TIERRA ARAGONESA
50025	Almunia de Doña Godina (La)	2011	1768	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50298	Zuera	2008	1744	PP	PARTIDO POPULAR
